task_type,method,chi_max,theta,x_fraction,special_angle,substeps,infidelity,fidelity,overlap_squared_raw,norm_squared_exact,norm_squared_approx,fidelity_normalized,infidelity_normalized,norm_loss,fidelity_definition,max_bond,param_count,runtime_s,peak_memory_mb,norm_before,norm_after,discarded_weight,variational_converged,variational_failed,failure_message
substep_sweep,hybrid_tdvp,8,0.6283185307179586,0.1,0,1,0.019509844263802756,0.9804901557361972,0.9804901557361968,0.9999999999999991,1.0000000000000004,0.9804901557361972,0.019509844263802756,-6.661338147750939e-16,normalized_state_fidelity_v2,8,936,0.3577859959914349,263.70703125,0.9999999999999996,1.0000000000000002,0.010481233941880571,,,
substep_sweep,hybrid_tdvp,8,0.6283185307179586,0.1,0,2,0.02169686269649662,0.9783031373035034,0.9783031373035023,0.9999999999999991,0.9999999999999998,0.9783031373035034,0.02169686269649662,-4.440892098500626e-16,normalized_state_fidelity_v2,8,936,0.1195582720101811,263.70703125,0.9999999999999996,0.9999999999999999,0.006539107769012525,,,
substep_sweep,hybrid_tdvp,8,0.6283185307179586,0.1,0,4,0.028665499439790354,0.9713345005602096,0.9713345005602085,0.9999999999999991,0.9999999999999998,0.9713345005602096,0.028665499439790354,-4.440892098500626e-16,normalized_state_fidelity_v2,8,936,0.23948953801300377,263.70703125,0.9999999999999996,0.9999999999999999,0.003623992348791361,,,
substep_sweep,hybrid_tdvp,8,0.6283185307179586,0.1,0,8,0.03093879826095214,0.9690612017390479,0.9690612017390479,0.9999999999999991,1.0000000000000009,0.9690612017390479,0.03093879826095214,-8.881784197001252e-16,normalized_state_fidelity_v2,8,936,0.2183419440407306,263.70703125,0.9999999999999996,1.0000000000000004,0.0018933261043245766,,,
substep_sweep,hybrid_tdvp,8,0.6283185307179586,0.1,0,16,0.03201527468659715,0.9679847253134028,0.967984725313402,0.9999999999999991,1.0,0.9679847253134028,0.03201527468659715,-4.440892098500626e-16,normalized_state_fidelity_v2,8,936,0.5210151139763184,263.70703125,0.9999999999999996,1.0,0.0009663945007618208,,,
substep_sweep,hybrid_tdvp,8,0.6283185307179586,0.1,0,32,0.032544011633915404,0.9674559883660846,0.9674559883660846,0.9999999999999991,1.0000000000000009,0.9674559883660846,0.032544011633915404,-8.881784197001252e-16,normalized_state_fidelity_v2,8,936,1.6183772679651156,263.70703125,0.9999999999999996,1.0000000000000004,0.0004880282534528734,,,
substep_sweep,hybrid_tdvp,8,0.6283185307179586,0.1,0,64,0.03280613398671717,0.9671938660132828,0.9671938660132828,0.9999999999999991,1.0000000000000009,0.9671938660132828,0.03280613398671717,-8.881784197001252e-16,normalized_state_fidelity_v2,8,936,2.7915155260125175,263.70703125,0.9999999999999996,1.0000000000000004,0.0002452101872314285,,,
substep_sweep,hybrid_tdvp,12,0.6283185307179586,0.1,0,1,0.0014560002256640558,0.9985439997743359,0.9985439997743359,0.9999999999999991,1.0000000000000009,0.9985439997743359,0.0014560002256640558,-8.881784197001252e-16,normalized_state_fidelity_v2,12,1704,0.0300924539915286,263.70703125,0.9999999999999996,1.0000000000000004,0.0007189368236253163,,,
substep_sweep,hybrid_tdvp,12,0.6283185307179586,0.1,0,2,0.0013795852028584132,0.9986204147971416,0.9986204147971416,0.9999999999999991,1.0000000000000009,0.9986204147971416,0.0013795852028584132,-8.881784197001252e-16,normalized_state_fidelity_v2,12,1704,0.06879461399512365,263.70703125,0.9999999999999996,1.0000000000000004,0.0004673348550025031,,,
substep_sweep,hybrid_tdvp,12,0.6283185307179586,0.1,0,4,0.0013793199490883534,0.9986206800509116,0.998620680050913,0.9999999999999991,1.0000000000000022,0.9986206800509116,0.0013793199490883534,-1.5543122344752192e-15,normalized_state_fidelity_v2,12,1704,0.13922091701533645,263.70703125,0.9999999999999996,1.000000000000001,0.00026318230465511937,,,
