representation,u_minus_i_l2,u_minus_i_fro,max_bond,bond_dims,max_coeff,frobenius_norm,near_zero_branch_count,mpo_vs_identity_fro,notes,section,chi_max,input_max_bond,input_norm,copy_infidelity,canonical_infidelity,copy_max_bond,canonical_max_bond,identical_across_methods,method,x_fraction,theta,input_output_infidelity,exact_infidelity,phase_aligned_distance,norm_before,norm_after,norm_change,output_max_bond,peak_bond,bond_profile,discarded_weight,compression_residual,variational_objective_initial,variational_objective_final,variational_converged,variational_sweeps,variational_worse_than_input,unchanged_input_baseline_infidelity,pass_check,failure_message
dense_gate_matrix,0.0,0.0,1,[1],1.0,2.0,0,,4×4 dense gate matrix at θ=0 via normal benchmark construction,gate_construction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dense_make_gate,0.0,0.0,1,[1],1.0,2.0,0,,4×4 dense gate matrix at θ=0 via normal benchmark construction,gate_construction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mpo_from_gate_theta0,0.0,0.0,1,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.4142135623730951,17.142135623730955,0,0.0,MPO.from_gate(RZZ(0)); tensor Frobenius diff vs I_MPO=4.182e+00; operator-action infidelity=0.000e+00; bond>1 on support is allowed if action matches identity,gate_construction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mpo_identity_reference,0.0,0.0,1,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,16.970562748477146,0,0.0,Minimal bond-dimension-one identity MPO reference,gate_construction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,continuity,8,8,,,,,,,variational_mpo,1e-10,6.283185307179587e-10,0.0,0.0,3.141024724949389e-10,0.9999999999999996,0.9999999999999994,1.1102230246251565e-16,8,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",0.0,0.0,0.0,0.0,True,0,False,0.0,True,
,,,,,,,,,,continuity,8,8,,,,,,,hybrid_tdvp,1e-08,6.283185307179586e-08,6.661338147750939e-16,8.881784197001252e-16,2.499291934183003e-08,0.9999999999999996,1.000000000000013,1.354472090042691e-14,8,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",1.976891631691396e-15,,,,,,,6.661338147750939e-16,True,
,,,,,,,,,,continuity,8,8,,,,,,,tebd_swap,1e-08,6.283185307179586e-08,0.29976596553886803,0.299765965843272,0.5713144895665011,0.9999999999999996,0.8013495349020667,0.19865046509793283,8,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",1.054712962130882,,,,,,,6.661338147750939e-16,True,
,,,,,,,,,,continuity,8,8,,,,,,,mpo_zipup,1e-08,6.283185307179586e-08,0.0,9.992007221626409e-16,3.141024066010477e-08,0.9999999999999996,0.9999999999999984,1.1102230246251565e-15,8,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",1.9739208802178694e-15,0.0,,,,,,6.661338147750939e-16,True,
,,,,,,,,,,continuity,8,8,,,,,,,variational_mpo,1e-08,6.283185307179586e-08,0.0,9.992007221626409e-16,3.141024066010477e-08,0.9999999999999996,0.9999999999999984,1.1102230246251565e-15,8,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",0.0,0.0,0.0,0.0,True,0,False,6.661338147750939e-16,True,
,,,,,,,,,,continuity,8,8,,,,,,,hybrid_tdvp,1e-06,6.283185307179586e-06,3.6193270602780103e-12,6.247002914960831e-12,2.499292969116389e-06,0.9999999999999996,1.0000000000000295,2.9976021664879227e-14,8,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",2.970755539481589e-14,,,,,,,9.865663841424066e-12,True,
,,,,,,,,,,continuity,8,8,,,,,,,tebd_swap,1e-06,6.283185307179586e-06,0.29976594789600375,0.299765978336877,0.5713145026330506,0.9999999999999996,0.801349525158943,0.19865047484105658,8,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",1.0547129221297553,,,,,,,9.865663841424066e-12,True,
,,,,,,,,,,continuity,8,8,,,,,,,mpo_zipup,1e-06,6.283185307179586e-06,0.054025387579412665,0.05402538757008024,0.2340416111638237,0.9999999999999996,0.9726122621219203,0.027387737878079244,8,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",0.11036599780843201,0.054025387570080574,,,,,,9.865663841424066e-12,True,
,,,,,,,,,,continuity,8,8,,,,,,,variational_mpo,1e-06,6.283185307179586e-06,0.054025387579412665,0.05402538757008024,0.2340416111638237,0.9999999999999996,0.9726122621219203,0.027387737878079244,8,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",0.0,0.054025387570080574,0.05402538757007935,0.05402538757007935,True,1,True,9.865663841424066e-12,True,
,,,,,,,,,,continuity,8,8,,,,,,,hybrid_tdvp,0.0001,0.0006283185307179586,3.619050403802504e-08,6.246976436141694e-08,0.0002499395231245277,0.9999999999999996,0.9999999999258481,7.415146274780682e-11,8,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",2.9711600119300524e-10,,,,,,,9.866031791538887e-08,True,
,,,,,,,,,,continuity,8,8,,,,,,,tebd_swap,0.0001,0.0006283185307179586,0.2997642200129438,0.29976726910969465,0.571315852598489,0.9999999999999996,0.8013485279279536,0.19865147207204592,8,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",1.0547089884533776,,,,,,,9.866031791538887e-08,True,
,,,,,,,,,,continuity,8,8,,,,,,,mpo_zipup,0.0001,0.0006283185307179586,0.05402548089017589,0.05402538757008013,0.2340416111638237,0.9999999999999996,0.9726122621219215,0.027387737878078022,8,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",0.11036599780843216,0.05402538757008013,,,,,,9.866031791538887e-08,True,
,,,,,,,,,,continuity,8,8,,,,,,,variational_mpo,0.0001,0.0006283185307179586,0.05402548089017589,0.05402538757008013,0.2340416111638237,0.9999999999999996,0.9726122621219215,0.027387737878078022,8,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",0.0,0.05402538757008013,0.05402538757007935,0.05402538757007935,True,1,True,9.866031791538887e-08,True,
,,,,,,,,,,continuity,12,8,,,,,,,hybrid_tdvp,0.0,0.0,0.0,0.0,1.009520460366029e-13,0.9999999999999996,1.0000000000000204,2.0872192862952943e-14,8,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",2.02595136062951e-30,,,,,,,0.0,True,
,,,,,,,,,,continuity,12,8,,,,,,,tebd_swap,0.0,0.0,0.24403805838488868,0.24403805838488868,0.5109584741534838,0.9999999999999996,0.8756718397654795,0.12432816023452009,12,12,"[1, 2, 4, 8, 12, 12, 12, 12, 12, 8, 4, 2, 1]",0.4716442927404556,,,,,,,0.0,True,
,,,,,,,,,,continuity,12,8,,,,,,,mpo_zipup,0.0,0.0,0.0,0.0,1.9835377377718347e-15,0.9999999999999996,0.9999999999999994,1.1102230246251565e-16,8,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",1.6779613264519288e-32,0.0,,,,,,0.0,True,
,,,,,,,,,,continuity,12,8,,,,,,,variational_mpo,0.0,0.0,0.0,0.0,1.9835377377718347e-15,0.9999999999999996,0.9999999999999994,1.1102230246251565e-16,8,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",0.0,0.0,0.0,0.0,True,0,False,0.0,True,
,,,,,,,,,,continuity,12,8,,,,,,,hybrid_tdvp,1e-12,6.283185307179586e-12,0.0,0.0,3.1407472520922265e-12,0.9999999999999996,1.0000000000000318,3.219646771412954e-14,8,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",1.973921089137276e-23,,,,,,,0.0,True,
,,,,,,,,,,continuity,12,8,,,,,,,tebd_swap,1e-12,6.283185307179586e-12,0.2440380583849141,0.24403805838491222,0.5109584741535103,0.9999999999999996,0.8756718397654646,0.12432816023453497,12,12,"[1, 2, 4, 8, 12, 12, 12, 12, 12, 8, 4, 2, 1]",0.4716442927404674,,,,,,,0.0,True,
,,,,,,,,,,continuity,12,8,,,,,,,mpo_zipup,1e-12,6.283185307179586e-12,0.0,0.0,3.1410925479736585e-12,0.9999999999999996,0.9999999999999994,1.1102230246251565e-16,8,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",1.9739208818958328e-23,0.0,,,,,,0.0,True,
,,,,,,,,,,continuity,12,8,,,,,,,variational_mpo,1e-12,6.283185307179586e-12,0.0,0.0,3.1410925479736585e-12,0.9999999999999996,0.9999999999999994,1.1102230246251565e-16,8,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",0.0,0.0,0.0,0.0,True,0,False,0.0,True,
,,,,,,,,,,continuity,12,8,,,,,,,hybrid_tdvp,1e-10,6.283185307179587e-10,0.0,0.0,2.499292118657398e-10,0.9999999999999996,1.0000000000000224,2.2870594307278225e-14,8,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",1.9768916308013294e-19,,,,,,,0.0,True,
,,,,,,,,,,continuity,12,8,,,,,,,tebd_swap,1e-10,6.283185307179587e-10,0.24403805838742443,0.24403805838725245,0.5109584741561433,0.9999999999999996,0.8756718397640453,0.12432816023595428,12,12,"[1, 2, 4, 8, 12, 12, 12, 12, 12, 8, 4, 2, 1]",0.4716442927416308,,,,,,,0.0,True,
,,,,,,,,,,continuity,12,8,,,,,,,mpo_zipup,1e-10,6.283185307179587e-10,0.0,0.0,3.141024724949389e-10,0.9999999999999996,0.9999999999999994,1.1102230246251565e-16,8,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",1.9739208802180394e-19,0.0,,,,,,0.0,True,
,,,,,,,,,,continuity,12,8,,,,,,,variational_mpo,1e-10,6.283185307179587e-10,0.0,0.0,3.141024724949389e-10,0.9999999999999996,0.9999999999999994,1.1102230246251565e-16,8,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",0.0,0.0,0.0,0.0,True,0,False,0.0,True,
,,,,,,,,,,continuity,12,8,,,,,,,hybrid_tdvp,1e-08,6.283185307179586e-08,6.661338147750939e-16,8.881784197001252e-16,2.499291934183003e-08,0.9999999999999996,1.000000000000013,1.354472090042691e-14,8,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",1.976891631691396e-15,,,,,,,6.661338147750939e-16,True,
,,,,,,,,,,continuity,12,8,,,,,,,tebd_swap,1e-08,6.283185307179586e-08,0.2440380586383949,0.244038058621175,0.5109584744194168,0.9999999999999996,0.8756718396222818,0.12432816037771777,12,12,"[1, 2, 4, 8, 12, 12, 12, 12, 12, 8, 4, 2, 1]",0.47164429285796394,,,,,,,6.661338147750939e-16,True,
,,,,,,,,,,continuity,12,8,,,,,,,mpo_zipup,1e-08,6.283185307179586e-08,0.0,9.992007221626409e-16,3.141024066010477e-08,0.9999999999999996,0.9999999999999984,1.1102230246251565e-15,8,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",1.9739208802178694e-15,0.0,,,,,,6.661338147750939e-16,True,
,,,,,,,,,,continuity,12,8,,,,,,,variational_mpo,1e-08,6.283185307179586e-08,0.0,9.992007221626409e-16,3.141024066010477e-08,0.9999999999999996,0.9999999999999984,1.1102230246251565e-15,8,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",0.0,0.0,0.0,0.0,True,0,False,6.661338147750939e-16,True,
,,,,,,,,,,continuity,12,8,,,,,,,hybrid_tdvp,1e-06,6.283185307179586e-06,3.6193270602780103e-12,6.247002914960831e-12,2.499292969116389e-06,0.9999999999999996,1.0000000000000295,2.9976021664879227e-14,8,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",2.970755539481589e-14,,,,,,,9.865663841424066e-12,True,
,,,,,,,,,,continuity,12,8,,,,,,,tebd_swap,1e-06,6.283185307179586e-06,0.2440380837432199,0.24403808201788846,0.5109585007517461,0.9999999999999996,0.8756718254433578,0.1243281745566418,12,12,"[1, 2, 4, 8, 12, 12, 12, 12, 12, 8, 4, 2, 1]",0.47164430449401096,,,,,,,9.865663841424066e-12,True,
,,,,,,,,,,continuity,12,8,,,,,,,mpo_zipup,1e-06,6.283185307179586e-06,0.006274184955328277,0.0062741849455247856,0.07927204607886498,0.9999999999999996,0.9968579713552344,0.0031420286447652046,12,12,"[1, 2, 4, 8, 12, 12, 12, 12, 12, 8, 4, 2, 1]",0.012576972145545305,0.00627418494552523,,,,,,9.865663841424066e-12,True,
,,,,,,,,,,continuity,12,8,,,,,,,variational_mpo,1e-06,6.283185307179586e-06,0.006274184955328277,0.0062741849455247856,0.07927204607886498,0.9999999999999996,0.9968579713552344,0.0031420286447652046,12,12,"[1, 2, 4, 8, 12, 12, 12, 12, 12, 8, 4, 2, 1]",0.0,0.00627418494552523,0.006274184945525452,0.006274184945525452,True,1,True,9.865663841424066e-12,True,
,,,,,,,,,,continuity,12,8,,,,,,,hybrid_tdvp,0.0001,0.0006283185307179586,9.324297067792031e-08,5.094874744315803e-09,7.137839138156529e-05,0.9999999999999996,0.9999999999847309,1.5268675213064853e-11,11,11,"[1, 2, 4, 8, 10, 11, 11, 10, 9, 8, 4, 2, 1]",6.169160088600737e-11,,,,,,,9.866031791538887e-08,True,
,,,,,,,,,,continuity,12,8,,,,,,,tebd_swap,0.0001,0.0006283185307179586,0.2440406724113604,0.24404046614593877,0.51096118401446,0.9999999999999996,0.8756703835881974,0.12432961641180218,12,12,"[1, 2, 4, 8, 12, 12, 12, 12, 12, 8, 4, 2, 1]",0.47164549931204724,,,,,,,9.866031791538887e-08,True,
,,,,,,,,,,continuity,12,8,,,,,,,mpo_zipup,0.0001,0.0006283185307179586,0.0062742829866385685,0.006274184945525119,0.079272046078865,0.9999999999999996,0.9968579713552342,0.0031420286447653156,12,12,"[1, 2, 4, 8, 12, 12, 12, 12, 12, 8, 4, 2, 1]",0.012576972145545314,0.006274184945525119,,,,,,9.866031791538887e-08,True,
,,,,,,,,,,continuity,12,8,,,,,,,variational_mpo,0.0001,0.0006283185307179586,0.0062742829866385685,0.006274184945525119,0.079272046078865,0.9999999999999996,0.9968579713552342,0.0031420286447653156,12,12,"[1, 2, 4, 8, 12, 12, 12, 12, 12, 8, 4, 2, 1]",0.0,0.006274184945525119,0.0062741849455243415,0.0062741849455243415,True,1,True,9.866031791538887e-08,True,
,,,,,,,,,,continuity,16,8,,,,,,,hybrid_tdvp,0.0,0.0,0.0,0.0,1.009520460366029e-13,0.9999999999999996,1.0000000000000204,2.0872192862952943e-14,8,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",2.02595136062951e-30,,,,,,,0.0,True,
,,,,,,,,,,continuity,16,8,,,,,,,tebd_swap,0.0,0.0,4.440892098500626e-16,4.440892098500626e-16,4.200650939040479e-15,0.9999999999999996,1.0000000000000022,2.6645352591003757e-15,8,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",3.0429404458180792e-30,,,,,,,0.0,True,
,,,,,,,,,,continuity,16,8,,,,,,,mpo_zipup,0.0,0.0,0.0,0.0,1.9835377377718347e-15,0.9999999999999996,0.9999999999999994,1.1102230246251565e-16,8,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",1.6779613264519288e-32,0.0,,,,,,0.0,True,
,,,,,,,,,,continuity,16,8,,,,,,,variational_mpo,0.0,0.0,0.0,0.0,1.9835377377718347e-15,0.9999999999999996,0.9999999999999994,1.1102230246251565e-16,8,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",0.0,0.0,0.0,0.0,True,0,False,0.0,True,
,,,,,,,,,,continuity,16,8,,,,,,,hybrid_tdvp,1e-12,6.283185307179586e-12,0.0,0.0,3.1407472520922265e-12,0.9999999999999996,1.0000000000000318,3.219646771412954e-14,8,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",1.973921089137276e-23,,,,,,,0.0,True,
,,,,,,,,,,continuity,16,8,,,,,,,tebd_swap,1e-12,6.283185307179586e-12,0.0,0.0,3.1009194968344026e-12,0.9999999999999996,1.0000000000000158,1.6209256159527285e-14,8,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",5.767731133481463e-23,,,,,,,0.0,True,
