#time	operator	index	value
0.5	Z	24	-0.904837418035554
0.5	Z	25	-0.90483741803844
0.5	Z	26	-0.904837418038437
0.5	Z	27	-0.904837418038437
0.5	Z	28	-0.904837418038438
0.5	Z	29	-0.904837418038437
0.5	Z	30	-0.904837418038438

0.6	Z	1	0.886920436720072
0.6	Z	2	0.886920436720072
0.6	Z	3	0.886920436720072
0.6	Z	4	0.886920436720072
0.6	Z	5	0.886920436720098
0.6	Z	6	0.886920436718222
0.6	Z	7	0.886920436540699
0.6	Z	8	0.886920423148359
0.6	Z	9	0.886919888954074
0.6	Z	10	0.886902415986065
0.6	Z	11	0.886502984277988
0.6	Z	12	0.880450780567427
0.6	Z	13	0.826225200652847
0.6	Z	14	0.593334545492825
0.6	Z	15	0.255886766445945
0.6	Z	16	-0.255886691113407
0.6	Z	17	-0.593338940316588
0.6	Z	18	-0.826220378213799
0.6	Z	19	-0.88045096344169
0.6	Z	20	-0.886503246734625
0.6	Z	21	-0.886902445143227
0.6	Z	22	-0.886919890935742
0.6	Z	23	-0.886920424079368
0.6	Z	24	-0.886920436606963
0.6	Z	25	-0.886920436719068
0.6	Z	26	-0.886920436720098
0.6	Z	27	-0.886920436720072
0.6	Z	28	-0.886920436720073
0.6	Z	29	-0.886920436720073
0.6	Z	30	-0.886920436720073

0.7	Z	1	0.869358235402139
0.7	Z	2	0.869358235402139
0.7	Z	3	0.869358235402139
0.7	Z	4	0.869358235402149
0.7	Z	5	0.86935823540152
0.7	Z	6	0.869358235353698
0.7	Z	7	0.869358231663373
0.7	Z	8	0.869358104776085
0.7	Z	9	0.86935419101762
0.7	Z	10	0.869264560905088
0.7	Z	11	0.867819312830731
0.7	Z	12	0.852614183148496
0.7	Z	13	0.761232997512322
0.7	Z	14	0.516568490224652
0.7	Z	15	0.281002640632409
0.7	Z	16	-0.28099454254276
0.7	Z	17	-0.516585455130132
0.7	Z	18	-0.761225637877495
0.7	Z	19	-0.852612305921584
0.7	Z	20	-0.867819567338904
0.7	Z	21	-0.869264647437909
0.7	Z	22	-0.869354203788229
0.7	Z	23	-0.869358103655897
0.7	Z	24	-0.869358233164304
0.7	Z	25	-0.869358235387243
0.7	Z	26	-0.869358235401974
0.7	Z	27	-0.869358235402149
0.7	Z	28	-0.869358235402139
0.7	Z	29	-0.869358235402139
0.7	Z	30	-0.869358235402139

0.8	Z	1	0.852143749130756
0.8	Z	2	0.852143749130756
0.8	Z	3	0.852143749130758
0.8	Z	4	0.852143749130677
0.8	Z	5	0.852143749124359
0.8	Z	6	0.852143748632141
0.8	Z	7	0.852143719600527
0.8	Z	8	0.852142811449989
0.8	Z	9	0.852122290830199
0.8	Z	10	0.851775721878593
0.8	Z	11	0.847693492598319
0.8	Z	12	0.817013657853736
0.8	Z	13	0.691228064019132
0.8	Z	14	0.481347953686084
0.8	Z	15	0.279719271040279
0.8	Z	16	-0.279701167845464
0.8	Z	17	-0.481375367506026
0.8	Z	18	-0.691224238916395
0.8	Z	19	-0.817008329265426
0.8	Z	20	-0.847693142137232
0.8	Z	21	-0.851775857272908
0.8	Z	22	-0.852122331977828
0.8	Z	23	-0.852142809935403
0.8	Z	24	-0.852143721255597
0.8	Z	25	-0.852143748705084
0.8	Z	26	-0.852143749127182
0.8	Z	27	-0.852143749130922
0.8	Z	28	-0.852143749130757
0.8	Z	29	-0.852143749130754
0.8	Z	30	-0.852143749130754

0.9	Z	1	0.835270211415389
0.9	Z	2	0.835270211415389
0.9	Z	3	0.835270211415409
0.9	Z	4	0.835270211413649
0.9	Z	5	0.835270211294789
0.9	Z	6	0.835270204458412
0.9	Z	7	0.835269997194314
0.9	Z	8	0.835265198084869
0.9	Z	9	0.835181568344183
0.9	Z	10	0.834110906186665
0.9	Z	11	0.824686529246783
0.9	Z	12	0.773282963621549
0.9	Z	13	0.62940018310785
0.9	Z	14	0.478258063435169
0.9	Z	15	0.236291007050618
0.9	Z	16	-0.236267097879919
0.9	Z	17	-0.478284765523731
0.9	Z	18	-0.629407548866539
0.9	Z	19	-0.773274736850524
0.9	Z	20	-0.824684495656072
0.9	Z	21	-0.834110922915881
0.9	Z	22	-0.83518163765868
0.9	Z	23	-0.835265198380737
0.9	Z	24	-0.835269997287647
0.9	Z	25	-0.835270204611958
0.9	Z	26	-0.835270211284159
0.9	Z	27	-0.835270211413773
0.9	Z	28	-0.83527021141541
0.9	Z	29	-0.835270211415389
0.9	Z	30	-0.835270211415389

1	Z	1	0.818730753082466
1	Z	2	0.818730753082479
1	Z	3	0.818730753082301
1	Z	4	0.818730753046602
1	Z	5	0.818730751297875
1	Z	6	0.81873070397004
1	Z	7	0.818729570981566
1	Z	8	0.81870921645298
1	Z	9	0.818431780402867
1	Z	10	0.815686677300887
1	Z	11	0.797370429216743
1	Z	12	0.724472285894398
1	Z	13	0.587084614732445
1	Z	14	0.48293677941943
1	Z	15	0.167705159208399
1	Z	16	-0.167683538013934
1	Z	17	-0.482948850217479
1	Z	18	-0.587106749887665
1	Z	19	-0.724464924161591
1	Z	20	-0.797365672677964
1	Z	21	-0.81568612092615
1	Z	22	-0.818431842310158
1	Z	23	-0.818709226902704
1	Z	24	-0.818729569343475
1	Z	25	-0.818730704895157
1	Z	26	-0.818730751118452
1	Z	27	-0.818730753026663
1	Z	28	-0.818730753082074
1	Z	29	-0.818730753082495
1	Z	30	-0.818730753082467

1.1	Z	1	0.802518797967317
1.1	Z	2	0.802518797967304
1.1	Z	3	0.802518797963651
1.1	Z	4	0.80251879767413
1.1	Z	5	0.802518784957055
1.1	Z	6	0.802518518887557
1.1	Z	7	0.802513520407317
1.1	Z	8	0.802441976552476
1.1	Z	9	0.801668002693945
1.1	Z	10	0.795673622646464
1.1	Z	11	0.765134412359
1.1	Z	12	0.676852735325164
1.1	Z	13	0.56737965035982
1.1	Z	14	0.470896362450212
