#time	operator	index_1	index_2	value
0	ZZ	9	4	1
0	ZZ	9	5	1
0	ZZ	9	6	1
0	ZZ	9	7	1
0	ZZ	9	8	1
0	ZZ	9	10	1
0	ZZ	9	11	1
0	ZZ	9	12	1
0	ZZ	9	13	1
0	ZZ	9	14	1
0	ZZ	9	15	1
0	ZZ	9	16	-1
0	ZZ	9	17	-1
0	ZZ	9	18	-1
0	ZZ	9	19	-1
0	ZZ	9	20	-1
0	ZZ	9	21	-1
0	ZZ	9	22	-1
0	ZZ	9	23	-1
0	ZZ	9	24	-1
0	ZZ	9	25	-1
0	ZZ	9	26	-1
0	ZZ	9	27	-1
0	ZZ	9	28	-1
0	ZZ	9	29	-1
0	ZZ	9	30	-1
0	ZZ	10	1	1
0	ZZ	10	2	1
0	ZZ	10	3	1
0	ZZ	10	4	1
0	ZZ	10	5	1
0	ZZ	10	6	1
0	ZZ	10	7	1
0	ZZ	10	8	1
0	ZZ	10	9	1
0	ZZ	10	11	1
0	ZZ	10	12	1
0	ZZ	10	13	1
0	ZZ	10	14	1
0	ZZ	10	15	1
0	ZZ	10	16	-1
0	ZZ	10	17	-1
0	ZZ	10	18	-1
0	ZZ	10	19	-1
0	ZZ	10	20	-1
0	ZZ	10	21	-1
0	ZZ	10	22	-1
0	ZZ	10	23	-1
0	ZZ	10	24	-1
0	ZZ	10	25	-1
0	ZZ	10	26	-1
0	ZZ	10	27	-1
0	ZZ	10	28	-1
0	ZZ	10	29	-1
0	ZZ	10	30	-1
0	ZZ	11	1	1
0	ZZ	11	2	1
0	ZZ	11	3	1
0	ZZ	11	4	1
0	ZZ	11	5	1
0	ZZ	11	6	1
0	ZZ	11	7	1
0	ZZ	11	8	1
0	ZZ	11	9	1
0	ZZ	11	10	1
0	ZZ	11	12	1
0	ZZ	11	13	1
0	ZZ	11	14	1
0	ZZ	11	15	1
0	ZZ	11	16	-1
0	ZZ	11	17	-1
0	ZZ	11	18	-1
0	ZZ	11	19	-1
0	ZZ	11	20	-1
0	ZZ	11	21	-1
0	ZZ	11	22	-1
0	ZZ	11	23	-1
0	ZZ	11	24	-1
0	ZZ	11	25	-1
0	ZZ	11	26	-1
0	ZZ	11	27	-1
0	ZZ	11	28	-1
0	ZZ	11	29	-1
0	ZZ	11	30	-1
0	ZZ	12	1	1
0	ZZ	12	2	1
0	ZZ	12	3	1
0	ZZ	12	4	1
0	ZZ	12	5	1
0	ZZ	12	6	1
0	ZZ	12	7	1
0	ZZ	12	8	1
0	ZZ	12	9	1
0	ZZ	12	10	1
0	ZZ	12	11	1
0	ZZ	12	13	1
0	ZZ	12	14	1
0	ZZ	12	15	1
0	ZZ	12	16	-1
0	ZZ	12	17	-1
