#time	operator	index	value
0.2	Y	5	-5.97000603255165e-28
0.2	Z	5	0.960789439153376
0.2	X	6	-3.27210888650567e-26
0.2	Y	6	3.92567934431213e-26
0.2	Z	6	0.960789439153376
0.2	X	7	-1.22789642873319e-24
0.2	Y	7	-1.53584295844087e-24
0.2	Z	7	0.960789439153376
0.2	X	8	-7.08764616166124e-20
0.2	Y	8	-1.84222577524861e-20
0.2	Z	8	0.960789439153376
0.2	X	9	-4.97275239462051e-19
0.2	Y	9	2.25508159413289e-18
0.2	Z	9	0.960789439153401
0.2	X	10	4.22730463005898e-17
0.2	Y	10	8.61205956946283e-18
0.2	Z	10	0.96078943916734
0.2	X	11	-7.48684891366342e-18
0.2	Y	11	-6.42913279868985e-18
0.2	Z	11	0.960789431169626
0.2	X	12	-3.11446489160205e-17
0.2	Y	12	5.15010546366632e-17
0.2	Z	12	0.960787491942915
0.2	X	13	-1.25756906363172e-17
0.2	Y	13	1.52932205235947e-17
0.2	Z	13	0.960591024114832
0.2	X	14	2.15654828895539e-17
0.2	Y	14	-6.29026794070763e-17
0.2	Z	14	0.949951180705285
0.2	X	15	-9.03171819453792e-17
0.2	Y	15	-1.02178467075526e-16
0.2	Z	15	0.701766544228209
0.2	X	16	-9.40712458874377e-17
0.2	Y	16	6.58939963420697e-18
0.2	Z	16	-0.701763568547587
0.2	X	17	-8.20601354934271e-16
0.2	Y	17	-1.74226001495528e-16
0.2	Z	17	-0.949953923309771
0.2	X	18	6.32455115639752e-17
0.2	Y	18	-5.4157896080492e-16
0.2	Z	18	-0.960591246409195
0.2	X	19	-6.44527054404205e-17
0.2	Y	19	-1.65058677444773e-16
0.2	Z	19	-0.960787499537287
0.2	X	20	-1.33369372931746e-17
0.2	Y	20	-3.3185220172856e-17
0.2	Z	20	-0.960789433140203
0.2	X	21	2.8016661505622e-17
0.2	Y	21	1.37556822039554e-17
0.2	Z	21	-0.960789439169371
0.2	X	22	5.07849785087123e-19
0.2	Y	22	-1.28569683070186e-18
0.2	Z	22	-0.960789439153398
0.2	X	23	-7.20031964441503e-21
0.2	Y	23	-1.67313842940054e-20
0.2	Z	23	-0.960789439153375
0.2	X	24	-4.70070376044713e-22
0.2	Y	24	-2.21545060061448e-21
