variant,k,N,seed,err_dense_U,err_mpo_U,err_dense_pred,err_mpo_pred,ess,ess_over_N,log_weight_var,max_weight,weight_signal_corr,prefactor_dense_pred,prefactor_mpo_pred
mc,1,8,13425,1.7297254251681073,1.7297254251681053,1.1800572898710624,1.1800572898710606,nan,nan,nan,nan,nan,3.3377060474257907,3.337706047425786
mc,1,8,13426,1.6904454265681035,1.690445426568101,1.0012847806586564,1.0012847806586567,nan,nan,nan,nan,nan,2.8320610332104836,2.832061033210484
mc,1,8,13427,1.835719588612207,1.8357195886122022,0.3053624817601446,0.30536248176014463,nan,nan,nan,nan,nan,0.8636955262902067,0.8636955262902068
mc,1,16,13505,1.1280323522080882,1.1280323522080873,0.6120097194096996,0.6120097194096995,nan,nan,nan,nan,nan,2.4480388776387985,2.448038877638798
mc,1,16,13506,1.241458737604681,1.24145873760468,0.804586903978115,0.8045869039781153,nan,nan,nan,nan,nan,3.21834761591246,3.218347615912461
mc,1,16,13507,1.4695013457281432,1.4695013457281454,0.9648178778995316,0.964817877899533,nan,nan,nan,nan,nan,3.859271511598126,3.859271511598132
mc,1,32,13665,0.7670706604747931,0.7670706604747933,0.21036222801524035,0.21036222801524024,nan,nan,nan,nan,nan,1.1899884634806974,1.1899884634806968
mc,1,32,13666,0.8106187470672582,0.8106187470672573,0.7245253727176747,0.724525372717672,nan,nan,nan,nan,nan,4.098534433523029,4.098534433523014
mc,1,32,13667,1.3777590631873848,1.3777590631873842,0.7462417194605926,0.74624171946061,nan,nan,nan,nan,nan,4.221380641879154,4.221380641879253
mc,1,64,13985,0.742071165806861,0.7420711658068624,0.39627983424691826,0.39627983424691904,nan,nan,nan,nan,nan,3.170238673975346,3.1702386739753523
mc,1,64,13986,0.6100748986937462,0.6100748986937464,0.27078241598925085,0.2707824159892509,nan,nan,nan,nan,nan,2.1662593279140068,2.166259327914007
mc,1,64,13987,0.7680068044635324,0.7680068044635312,0.2870870084569429,0.2870870084569428,nan,nan,nan,nan,nan,2.2966960676555432,2.2966960676555424
mc,1,128,14625,0.5313573544310034,0.5313573544310031,0.1799982563545386,0.1799982563545374,nan,nan,nan,nan,nan,2.036447802720781,2.0364478027207675
