method,x_fraction,theta,median_infidelity,minimum_infidelity,maximum_infidelity,sample_count,below_plot_floor
hybrid_tdvp,0.0001,0.0006283185307179586,7.251934608376587e-08,5.0152009878345893e-08,8.455364075565797e-08,9,False
hybrid_tdvp,0.0001467799267622069,0.0009222454792211941,1.5623812854581587e-07,1.0804643069128872e-07,1.8216462727149718e-07,9,False
hybrid_tdvp,0.00021544346900318845,0.0013536712389686342,3.3660456721928966e-07,2.3276991378828882e-07,3.924595418647314e-07,9,False
hybrid_tdvp,0.00031622776601683794,0.0019869176531592202,7.251915605799297e-07,5.014581507811755e-07,8.45521186398912e-07,9,False
hybrid_tdvp,0.00046415888336127773,0.0029163962761324636,1.562374148833534e-06,1.0802620400429674e-06,1.8215964918688599e-06,9,False
hybrid_tdvp,0.0006812920690579609,0.0042806843182029595,3.3660187258588437e-06,2.3270307625278264e-06,3.92443262553499e-06,9,False
hybrid_tdvp,0.001,0.006283185307179587,7.18351655604188e-06,4.361426907406596e-06,8.45467230370378e-06,9,False
hybrid_tdvp,0.0014677992676220691,0.009222454792211942,1.4383666713024823e-05,9.393388959111348e-06,1.6891068304270007e-05,9,False
hybrid_tdvp,0.002154434690031882,0.013536712389686328,3.0988827421252196e-05,2.022637791265769e-05,3.638675176298456e-05,9,False
hybrid_tdvp,0.0031622776601683794,0.019869176531592203,6.676213509249074e-05,4.353445994687011e-05,7.837869617643989e-05,9,False
hybrid_tdvp,0.004641588833612777,0.029163962761324633,0.00014382243292665464,9.362777258281607e-05,0.00016880904691929377,9,False
hybrid_tdvp,0.006812920690579608,0.0428068431820296,0.000309779119191389,0.00020105357401234425,0.0003634842815168904,9,False
hybrid_tdvp,0.01,0.06283185307179587,0.0006669767892949485,0.00043046550030856334,0.0007822827011335631,9,False
hybrid_tdvp,0.01467799267622069,0.09222454792211941,0.0014347806986302336,0.0009165997019819905,0.0016819244830241775,9,False
hybrid_tdvp,0.021544346900318822,0.13536712389686328,0.0030802237860082515,0.001932273928809236,0.0036082701579064347,9,False
hybrid_tdvp,0.03162277660168379,0.198691765315922,0.00658162353810865,0.003990606775377992,0.00769997822852353,9,False
hybrid_tdvp,0.046415888336127774,0.29163962761324635,0.013900026970245505,0.00737337151579609,0.0162374343801992,9,False
hybrid_tdvp,0.06812920690579609,0.42806843182029597,0.028393748579707556,0.011220466272208185,0.03439204428248532,9,False
hybrid_tdvp,0.1,0.6283185307179586,0.05240104308625049,0.018095915360026082,0.07010424398176351,9,False
hybrid_tdvp,0.1467799267622069,0.9222454792211943,0.08098137987335052,0.028767918951239202,0.12057088383635584,9,False
hybrid_tdvp,0.21544346900318823,1.353671238968633,0.12594705684546614,0.041524585913143564,0.16788889670369078,9,False
hybrid_tdvp,0.25,1.5707963267948966,0.1495594376011019,0.047269596117138324,0.19272687727793747,9,False
