seed,gate_type,slope,intercept,r_squared,n_points
11,rxx,1.956095996157846,-2.363182288743454,0.9998552243543156,13
11,ryy,1.9467984937555598,-2.2482059111181734,0.999752257306024,13
11,rzz,1.957014269464973,-1.9962107877655964,0.9998472813180042,13
22,rxx,1.9733445492295805,-1.87905042185246,0.9999461354792305,13
22,ryy,1.9782753365149128,-1.8379248152496857,0.999960339117303,13
22,rzz,1.976966465595986,-1.6929483361264044,0.9999564317346888,13
33,rxx,1.979640282596073,-1.7169057942958315,0.9999632412313639,13
33,ryy,1.9739730198034324,-1.8174425907593221,0.999942988661504,13
33,rzz,1.9690766151286236,-1.886783685364101,0.9999188843361139,13
