task_id,seed,n_sub,infidelity_vs_exact,norm_drift,discarded_weight,final_bond_profile,final_max_bond,min_kept_singular,cap_reached,positive_weight_truncated,cap_truncation_occurred,distance_to_finest,adjacent_refinement_distance
f15e05ae3928b01041a2fe2e,11,1,0.13995993444401655,4.440892098500626e-16,0.010227234954835079,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",8,0.004885372912745615,True,True,True,0.16383643667814118,0.10513546039491353
350e5010d6cc8dd4ae302c51,11,2,0.1345310128099937,4.440892098500626e-16,0.00625512342945844,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",8,0.002632116860423228,True,True,True,0.15706701678346696,0.0945085236753474
f2c48a66cd72b890cf2bd274,11,4,0.1649625128611193,8.881784197001252e-16,0.0034374297097544827,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",8,0.001853205732821691,True,True,True,0.07053994447474084,0.043518310197066916
3b2c5b5a793950d3af2c595f,11,8,0.18001881627784933,8.881784197001252e-16,0.0017855200072900183,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",8,0.0014714505638784277,True,True,True,0.029310876839746387,0.01512957316591313
ada6606f6a086bf0adadc67f,11,16,0.18645666957308604,6.661338147750939e-16,0.0009077935518886418,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",8,0.0013950716336934548,True,True,True,0.014238458556704522,0.007281499631099211
fd514e33ab4614ffc3ecdf95,11,32,0.1896355462142062,3.3306690738754696e-16,0.0004572759602591432,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",8,0.0013932917232773213,True,True,True,0.006962169378454453,0.003602275233816358
425940d6f83e9cea63ead991,11,64,0.19122201932984362,4.440892098500626e-16,0.00022942970632738115,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",8,0.0013918201096714195,True,True,True,0.0033604788620812485,0.001794039678052621
d75970b72792f7bcd868c308,11,128,0.1920150921343703,6.661338147750939e-16,0.00011490572965314317,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",8,0.0013919310480727774,True,True,True,0.0015665042149918412,0.0008954989640276124
23eaee09c250f14570f75e20,11,256,0.19241164364937957,3.3306690738754696e-16,5.7499675786069316e-05,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",8,0.0013917934512842245,True,True,True,0.0006710117234585781,0.00044739781002617996
be57ee4bf150ff428dc913a8,11,512,0.19260992926887055,5.551115123125783e-16,2.876142548218647e-05,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",8,0.0013918066504447428,True,True,True,0.00022361437494619846,0.0002236143749461997
1cf1595fd8cdcb676d559131,11,1024,0.19270907524906722,1.1102230246251565e-15,1.4383595143177298e-05,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",8,0.001391808523594287,True,True,True,0.0,
54336ebfd1a65391df35349d,22,1,0.17274173923903213,-1.4432899320127035e-15,0.026495803356568814,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",8,0.008466383934441218,True,True,True,0.321586110672157,0.24158870191450219
5fc03839d1c2727313cf9fa2,22,2,0.22406138606272163,-1.6653345369377348e-15,0.013936673275725259,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",8,0.0048583159926090195,True,True,True,0.16378299868333507,0.11531895422841508
4b1074f56aff812dbe0e613f,22,4,0.2517126887451413,-1.4432899320127035e-15,0.006571244203907521,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",8,0.004910103906765888,True,True,True,0.05387150592302128,0.027578582301007782
c91393dda1f56bd11e4e54ac,22,8,0.260625552642077,-1.1102230246251565e-15,0.0032743235002949786,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",8,0.004917120047877649,True,True,True,0.026433470256741032,0.013442849912567096
