task_id,family,gate,control,target,theta,x,seed,chi_max,method,n_sub,svd_threshold,infidelity_normalized,fidelity_normalized,norm_approx,norm_exact,norm_drift,discarded_weight,final_bond_profile,final_max_bond,final_param_count,min_kept_singular,cap_reached,positive_weight_truncated,cap_truncation_occurred,git_commit,git_dirty,git_diff_hash
bcbdc637e96478beeb4cee99,pauli,rxx,,,0.006283185307179587,0.001,11,8,mpo_zipup,1,1e-13,6.098534758858243e-06,0.9999939014652411,0.9999969507279726,0.9999999999999994,-3.0492720268782136e-06,6.098546911736406e-06,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",8,936,0.001415528624999916,True,True,True,724ef9179e6c47d81d15f4bed538ea5d7163eb8b,true,004ec68aadd3d3108195d617ae178ce96cf96301cf5f90ee80404b345eda37ce
ae011425f7389990805f9c93,pauli,rxx,,,0.006283185307179587,0.001,11,8,tebd_swap,1,1e-13,0.016476209998582902,0.9835237900014171,0.9892277735573941,0.9999999999999994,-0.010772226442605337,0.021618669768138848,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",8,936,0.0007451918006018425,True,True,True,724ef9179e6c47d81d15f4bed538ea5d7163eb8b,true,004ec68aadd3d3108195d617ae178ce96cf96301cf5f90ee80404b345eda37ce
89b6ae572a8d44865d97c77d,pauli,rxx,,,0.019869176530534244,0.00316227766,11,8,gate_local_2tdvp,1,1e-13,6.0915846271880625e-05,0.9999390841537281,0.9999999999999999,0.9999999999999996,3.3306690738754696e-16,2.499156608275649e-06,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",8,936,0.001417323847633122,True,True,True,724ef9179e6c47d81d15f4bed538ea5d7163eb8b,true,004ec68aadd3d3108195d617ae178ce96cf96301cf5f90ee80404b345eda37ce
17523c0f6b590fb5e35504d0,pauli,rxx,,,0.019869176530534244,0.00316227766,11,8,mpo_zipup,1,1e-13,6.171869805049468e-05,0.9999382813019495,0.9999691401748096,0.9999999999999996,-3.0859825189910595e-05,6.171993703082978e-05,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",8,936,0.0014291401629605695,True,True,True,724ef9179e6c47d81d15f4bed538ea5d7163eb8b,true,004ec68aadd3d3108195d617ae178ce96cf96301cf5f90ee80404b345eda37ce
3039d6d934f8d4b0a627041c,pauli,rxx,,,0.019869176530534244,0.00316227766,11,8,tebd_swap,1,1e-13,0.016502447175226864,0.9834975528247731,0.9892070047889123,0.9999999999999996,-0.01079299521108723,0.021660648427065485,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",8,936,0.0017869840674800688,True,True,True,724ef9179e6c47d81d15f4bed538ea5d7163eb8b,true,004ec68aadd3d3108195d617ae178ce96cf96301cf5f90ee80404b345eda37ce
b18e1e2b68f7a324f8e08ab3,pauli,rxx,,,0.06283185307179587,0.01,11,8,gate_local_2tdvp,1,1e-13,0.000608809666132859,0.9993911903338671,1.0000000000000002,0.9999999999999996,6.661338147750939e-16,2.5216728922086563e-05,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",8,936,0.0014540641825307415,True,True,True,724ef9179e6c47d81d15f4bed538ea5d7163eb8b,true,004ec68aadd3d3108195d617ae178ce96cf96301cf5f90ee80404b345eda37ce
f34bceec5f74bbd62bf328c4,pauli,rxx,,,0.06283185307179587,0.01,11,8,mpo_zipup,1,1e-13,0.0006570551738469543,0.999342944826153,0.9996714184301493,0.9999999999999996,-0.00032858156985027254,0.0006571861833908806,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",8,936,0.0016058896888737993,True,True,True,724ef9179e6c47d81d15f4bed538ea5d7163eb8b,true,004ec68aadd3d3108195d617ae178ce96cf96301cf5f90ee80404b345eda37ce
61a7105b4414466783bea53d,pauli,rxx,,,0.06283185307179587,0.01,11,8,tebd_swap,1,1e-13,0.016840995082303523,0.9831590049176965,0.9889947163791672,0.9999999999999996,-0.011005283620832307,0.02208971859914211,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",8,936,0.00406076177093858,True,True,True,724ef9179e6c47d81d15f4bed538ea5d7163eb8b,true,004ec68aadd3d3108195d617ae178ce96cf96301cf5f90ee80404b345eda37ce
6e7d1342878fa6f2f65938e2,pauli,rxx,,,0.6283185307179586,0.1,11,8,gate_local_2tdvp,1,1e-13,0.03727752207757329,0.9627224779224267,0.9999999999999996,0.9999999999999994,1.1102230246251565e-16,0.0033845325910211166,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",8,936,0.003082371250031386,True,True,True,724ef9179e6c47d81d15f4bed538ea5d7163eb8b,true,004ec68aadd3d3108195d617ae178ce96cf96301cf5f90ee80404b345eda37ce
5dad1932dcfc3c6ba69aa994,pauli,rxx,,,0.6283185307179586,0.1,11,8,mpo_zipup,1,1e-13,0.021146825694425053,0.978853174305575,0.9893700896558242,0.9999999999999994,-0.010629910344175264,0.0213182719896194,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",8,936,0.011547830791302949,True,True,True,724ef9179e6c47d81d15f4bed538ea5d7163eb8b,true,004ec68aadd3d3108195d617ae178ce96cf96301cf5f90ee80404b345eda37ce
