task_id,family,gate,control,target,theta,x,seed,chi_max,method,n_sub,svd_threshold,infidelity_normalized,fidelity_normalized,norm_approx,norm_exact,norm_drift,discarded_weight,final_bond_profile,final_max_bond,final_param_count,min_kept_singular,cap_reached,positive_weight_truncated,cap_truncation_occurred,git_commit,git_dirty,git_diff_hash,resolution_label
decf50810b015e2862a6cf2f,cnot_rank,cx,1,10,,,22,8,gate_local_2tdvp,128,1e-300,0.26892986409551844,0.7310701359044816,1.0,1.0000000000000013,-1.3322676295501878e-15,0.00020464893239781034,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",8,936,0.0049177658694525795,True,True,True,2df89739fab8b33530f176547eb23ed65b259bc7,true,54e7477d1624238eae90d9c40a1503a2ca6d07853944dcaf5d868d91ca9cfee9,n_sub_128
e0a5cb13505df38833a8c076,cnot_rank,cx,1,10,,,22,8,gate_local_2tdvp,256,1e-300,0.26920484239845566,0.7307951576015443,0.9999999999999994,1.0000000000000013,-1.887379141862766e-15,0.00010232888212907764,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",8,936,0.0049178424921294175,True,True,True,2df89739fab8b33530f176547eb23ed65b259bc7,true,54e7477d1624238eae90d9c40a1503a2ca6d07853944dcaf5d868d91ca9cfee9,fine_resolution
7d1457c9de526dcd83535a03,cnot_rank,cx,1,10,,,33,8,mpo_zipup,1,1e-300,0.10299783161262921,0.8970021683873708,0.947101984153433,0.9999999999999996,-0.052898015846566504,0.10723878954725194,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",8,936,0.041140723078228324,True,True,True,2df89739fab8b33530f176547eb23ed65b259bc7,true,54e7477d1624238eae90d9c40a1503a2ca6d07853944dcaf5d868d91ca9cfee9,direct
0ca1079f1a2c79f78fbabf48,cnot_rank,cx,1,10,,,33,8,tebd_swap,1,1e-300,0.30666300082701226,0.6933369991729877,0.8442460974296715,0.9999999999999996,-0.15575390257032806,0.4860782338137,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",8,936,0.029310478365095517,True,True,True,2df89739fab8b33530f176547eb23ed65b259bc7,true,54e7477d1624238eae90d9c40a1503a2ca6d07853944dcaf5d868d91ca9cfee9,direct
9b177830bfc240644db3f98e,cnot_rank,cx,1,10,,,33,8,gate_local_2tdvp,1,1e-300,0.2077373944211538,0.7922626055788462,1.0,0.9999999999999996,4.440892098500626e-16,0.026880903342684486,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",8,936,0.01225310316995353,True,True,True,2df89739fab8b33530f176547eb23ed65b259bc7,true,54e7477d1624238eae90d9c40a1503a2ca6d07853944dcaf5d868d91ca9cfee9,n_sub_1
ec67d853ab69667616433a5d,cnot_rank,cx,1,10,,,33,8,gate_local_2tdvp,16,1e-300,0.2905332347015751,0.7094667652984249,1.0000000000000002,0.9999999999999996,6.661338147750939e-16,0.0022513078330141305,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",8,936,0.0018452814599907482,True,True,True,2df89739fab8b33530f176547eb23ed65b259bc7,true,54e7477d1624238eae90d9c40a1503a2ca6d07853944dcaf5d868d91ca9cfee9,n_sub_16
42e02094bd95a28bf9939a75,cnot_rank,cx,1,10,,,33,8,gate_local_2tdvp,128,1e-300,0.2954759526778685,0.7045240473221315,1.0,0.9999999999999996,4.440892098500626e-16,0.00028223458944708253,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",8,936,0.001806572806222175,True,True,True,2df89739fab8b33530f176547eb23ed65b259bc7,true,54e7477d1624238eae90d9c40a1503a2ca6d07853944dcaf5d868d91ca9cfee9,n_sub_128
e36fa2eb42aabff87f42babe,cnot_rank,cx,1,10,,,33,8,gate_local_2tdvp,256,1e-300,0.2958229934459321,0.7041770065540679,0.9999999999999999,0.9999999999999996,3.3306690738754696e-16,0.00014114638735838761,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",8,936,0.001806610947172674,True,True,True,2df89739fab8b33530f176547eb23ed65b259bc7,true,54e7477d1624238eae90d9c40a1503a2ca6d07853944dcaf5d868d91ca9cfee9,fine_resolution
4df3857d674b55692a268ea5,cnot_rank,cx,1,10,,,11,10,mpo_zipup,1,1e-300,0.0180122953267996,0.9819877046732004,0.9909529275768867,0.9999999999999993,-0.009047072423112645,0.01813538569480985,"[1, 2, 4, 8, 10, 10, 10, 10, 10, 8, 4, 2, 1]",10,1288,0.01782233071943754,True,True,True,2df89739fab8b33530f176547eb23ed65b259bc7,true,54e7477d1624238eae90d9c40a1503a2ca6d07853944dcaf5d868d91ca9cfee9,direct
3bc0c2ee54132ae950e0acc7,cnot_rank,cx,1,10,,,11,10,tebd_swap,1,1e-300,0.06002457428770358,0.9399754257122964,0.9655274113812985,0.9999999999999993,-0.03447258861870084,0.22531010521337475,"[1, 2, 4, 8, 10, 10, 10, 10, 10, 8, 4, 2, 1]",10,1288,0.006823501195312969,True,True,True,2df89739fab8b33530f176547eb23ed65b259bc7,true,54e7477d1624238eae90d9c40a1503a2ca6d07853944dcaf5d868d91ca9cfee9,direct
