gate,method,chi_max,n_sub,x,theta,n_states,infidelity_min,infidelity_median,infidelity_max,is_identity_angle,seeds
rxx,gate_local_2tdvp,8,1,0.0,0.0,3,0.0,0.0,2.220446049250313e-16,True,"[11, 22, 33]"
rxx,gate_local_2tdvp,8,1,0.0001,0.0006283185307179586,3,5.7711939116522615e-08,6.090895743326996e-08,6.667113394698276e-08,False,"[11, 22, 33]"
rxx,gate_local_2tdvp,8,1,0.000316227766,0.001986917653053424,3,5.770982721697848e-07,6.090987691997896e-07,6.667025753692712e-07,False,"[11, 22, 33]"
rxx,gate_local_2tdvp,8,1,0.001,0.006283185307179587,3,5.770294482454474e-06,6.091235283611773e-06,6.66671103000116e-06,False,"[11, 22, 33]"
rxx,gate_local_2tdvp,8,1,0.00316227766,0.019869176530534244,3,5.767911513177015e-05,6.0915846271880625e-05,6.665341516254308e-05,False,"[11, 22, 33]"
rxx,gate_local_2tdvp,8,1,0.01,0.06283185307179587,3,0.0005758310424177626,0.000608809666132859,0.0006657308209734314,False,"[11, 22, 33]"
rxx,gate_local_2tdvp,8,1,0.1,0.6283185307179586,3,0.03727752207757329,0.0533053932237596,0.05923123929125651,False,"[11, 22, 33]"
rxx,gate_local_2tdvp,8,1,0.25,1.5707963267948966,3,0.13361173742365273,0.1589891520732427,0.18751214246201664,False,"[11, 22, 33]"
rxx,mpo_zipup,8,1,0.0,0.0,3,0.0,0.0,2.220446049250313e-16,True,"[11, 22, 33]"
rxx,mpo_zipup,8,1,0.0001,0.0006283185307179586,3,5.771226274653429e-08,6.090968163174892e-08,6.667117491421237e-08,False,"[11, 22, 33]"
rxx,mpo_zipup,8,1,0.000316227766,0.001986917653053424,3,5.771308040358747e-07,6.091711041156245e-07,6.667066952958933e-07,False,"[11, 22, 33]"
rxx,mpo_zipup,8,1,0.001,0.006283185307179587,3,5.773564066169357e-06,6.098534758858243e-06,6.667123663706143e-06,False,"[11, 22, 33]"
rxx,mpo_zipup,8,1,0.00316227766,0.019869176530534244,3,5.80174925859378e-05,6.171869805049468e-05,6.669497991751427e-05,False,"[11, 22, 33]"
rxx,mpo_zipup,8,1,0.01,0.06283185307179587,3,0.0006106509831393936,0.0006570551738469543,0.0006701431481674902,False,"[11, 22, 33]"
rxx,mpo_zipup,8,1,0.1,0.6283185307179586,3,0.021146825694425053,0.03529606141045394,0.043114983247858785,False,"[11, 22, 33]"
rxx,mpo_zipup,8,1,0.25,1.5707963267948966,3,0.04078906060756926,0.0815336142719707,0.09281474156362501,False,"[11, 22, 33]"
rxx,tebd_swap,8,1,0.0,0.0,3,0.01647655250273572,0.05981319124312212,0.06972273567495968,True,"[11, 22, 33]"
rxx,tebd_swap,8,1,0.0001,0.0006283185307179586,3,0.016476112015855526,0.05981446255562517,0.06972359013576002,False,"[11, 22, 33]"
rxx,tebd_swap,8,1,0.000316227766,0.001986917653053424,3,0.01647547391989468,0.05981765109958659,0.06972583042934544,False,"[11, 22, 33]"
rxx,tebd_swap,8,1,0.001,0.006283185307179587,3,0.016476209998582902,0.05983172143637305,0.0697364646871631,False,"[11, 22, 33]"
rxx,tebd_swap,8,1,0.00316227766,0.019869176530534244,3,0.016502447175226864,0.059917171038688655,0.06980974741927448,False,"[11, 22, 33]"
rxx,tebd_swap,8,1,0.01,0.06283185307179587,3,0.016840995082303523,0.06065112905868564,0.07042051178564956,False,"[11, 22, 33]"
rxx,tebd_swap,8,1,0.1,0.6283185307179586,3,0.02848544518607643,0.0813478405080631,0.08474668835766408,False,"[11, 22, 33]"
rxx,tebd_swap,8,1,0.25,1.5707963267948966,3,0.04608811469170171,0.10014268830950179,0.11472185191520645,False,"[11, 22, 33]"
ryy,gate_local_2tdvp,8,1,0.0,0.0,3,0.0,0.0,2.220446049250313e-16,True,"[11, 22, 33]"
ryy,gate_local_2tdvp,8,1,0.0001,0.0006283185307179586,3,5.8746945752474744e-08,6.028840904281907e-08,8.496692094350777e-08,False,"[11, 22, 33]"
ryy,gate_local_2tdvp,8,1,0.000316227766,0.001986917653053424,3,5.874636681557632e-07,6.028972263649734e-07,8.496650070188849e-07,False,"[11, 22, 33]"
ryy,gate_local_2tdvp,8,1,0.001,0.006283185307179587,3,5.874439322983704e-06,6.029357203618524e-06,8.496489332321389e-06,False,"[11, 22, 33]"
ryy,gate_local_2tdvp,8,1,0.00316227766,0.019869176530534244,3,5.873674209122548e-05,6.030268829659846e-05,8.495703983324443e-05,False,"[11, 22, 33]"
ryy,gate_local_2tdvp,8,1,0.01,0.06283185307179587,3,0.0005869834336990065,0.0006030075970954174,0.0008490474414951654,False,"[11, 22, 33]"
ryy,gate_local_2tdvp,8,1,0.1,0.6283185307179586,3,0.05412269991122687,0.055862210267182744,0.07896511514263371,False,"[11, 22, 33]"
