case_id,family,method,tdvp_chi,tdvp_error,tebd_recovery_chi,recovery_chi_ratio,recovery_status,tdvp_time,tebd_recovery_time,time_ratio
periodic_1d_n10_d4_s1_small,periodic_1d,hybrid_tdvp_padded4,16,2.0421833251153473e-12,8.0,0.5,recovered,0.024661446994286962,0.014899326997692697,0.6041546143316024
periodic_1d_n10_d4_s1_small,periodic_1d,hybrid_tdvp_unpadded,32,0.004881719394846115,8.0,0.25,recovered,0.016833657995448448,0.014899326997692697,0.8850914638827304
periodic_1d_n10_d4_s1_small,periodic_1d,hybrid_tdvp_padded4,32,2.0421833251153473e-12,8.0,0.25,recovered,0.02102720500261057,0.014899326997692697,0.7085738211922561
sparse_long_range_n8_d2_s0_small,sparse_long_range,hybrid_tdvp_unpadded,16,0.00011286410635443158,8.0,0.5,recovered,0.01457789599953685,0.01691560600011144,1.160359903833095
sparse_long_range_n8_d2_s0_small,sparse_long_range,hybrid_tdvp_padded4,16,0.0001145479998020164,8.0,0.5,recovered,0.01507666299585253,0.01691560600011144,1.1219728135307387
sparse_long_range_n8_d2_s0_small,sparse_long_range,hybrid_tdvp_unpadded,32,0.00011286410635443158,8.0,0.25,recovered,0.014617331995395944,0.01691560600011144,1.1572293771147422
sparse_long_range_n8_d2_s0_small,sparse_long_range,hybrid_tdvp_padded4,32,0.0001145479998020164,8.0,0.25,recovered,0.015057915996294469,0.01691560600011144,1.1233696617961024
sparse_long_range_n8_d2_s1_small,sparse_long_range,hybrid_tdvp_unpadded,16,9.838317087618784e-06,8.0,0.5,recovered,0.013696724010515027,0.007718185006524436,0.5635059157649053
sparse_long_range_n8_d2_s1_small,sparse_long_range,hybrid_tdvp_padded4,16,0.00012477432197689078,8.0,0.5,recovered,0.014457465993473306,0.007718185006524436,0.5338546194754145
sparse_long_range_n8_d2_s1_small,sparse_long_range,hybrid_tdvp_unpadded,32,9.838317087618784e-06,8.0,0.25,recovered,0.013696064008399844,0.007718185006524436,0.5635330706537912
sparse_long_range_n8_d2_s1_small,sparse_long_range,hybrid_tdvp_padded4,32,0.00012477432197689078,8.0,0.25,recovered,0.025661282998044044,0.007718185006524436,0.30077159458912217
sparse_long_range_n8_d4_s0_small,sparse_long_range,hybrid_tdvp_unpadded,16,0.0001307678698099293,16.0,1.0,recovered,0.029476551004336216,0.016314057997078635,0.5534588491943552
sparse_long_range_n8_d4_s0_small,sparse_long_range,hybrid_tdvp_padded4,16,0.00013005365674189108,16.0,1.0,recovered,0.02981246600393206,0.016314057997078635,0.5472226951949203
sparse_long_range_n8_d4_s0_small,sparse_long_range,hybrid_tdvp_unpadded,32,0.0001307678698099293,16.0,0.5,recovered,0.02923251100583002,0.016314057997078635,0.558079256134549
sparse_long_range_n8_d4_s0_small,sparse_long_range,hybrid_tdvp_padded4,32,0.00013005365674189108,16.0,0.5,recovered,0.029730850001215003,0.016314057997078635,0.5487249101997398
sparse_long_range_n8_d4_s1_small,sparse_long_range,hybrid_tdvp_unpadded,16,0.00010668539721588793,8.0,0.5,recovered,0.04810595100570936,0.012407691989210434,0.2579242636267154
sparse_long_range_n8_d4_s1_small,sparse_long_range,hybrid_tdvp_padded4,16,0.000357205075663681,8.0,0.5,recovered,0.025553318002494052,0.012407691989210434,0.4855608961622683
sparse_long_range_n8_d4_s1_small,sparse_long_range,hybrid_tdvp_unpadded,32,0.00010668539721588793,8.0,0.25,recovered,0.02538825800002087,0.012407691989210434,0.4887177367269639
sparse_long_range_n8_d4_s1_small,sparse_long_range,hybrid_tdvp_padded4,32,0.000357205075663681,8.0,0.25,recovered,0.02588758899946697,0.012407691989210434,0.47929113790650457
sparse_long_range_n10_d2_s0_small,sparse_long_range,hybrid_tdvp_unpadded,16,1.7930344430308472e-07,16.0,1.0,recovered,0.017529933000332676,0.010628984004142694,0.606333407203609
sparse_long_range_n10_d2_s0_small,sparse_long_range,hybrid_tdvp_padded4,16,6.836185161266223e-08,16.0,1.0,recovered,0.017183288000524044,0.010628984004142694,0.6185652014805629
sparse_long_range_n10_d2_s0_small,sparse_long_range,hybrid_tdvp_unpadded,32,1.7930344430308472e-07,16.0,0.5,recovered,0.01751364499796182,0.010628984004142694,0.6068973080920426
sparse_long_range_n10_d2_s0_small,sparse_long_range,hybrid_tdvp_padded4,32,6.836185161266223e-08,16.0,0.5,recovered,0.017397413990693167,0.010628984004142694,0.610951950090325
sparse_long_range_n10_d2_s1_small,sparse_long_range,hybrid_tdvp_unpadded,16,4.7068559554881593e-05,8.0,0.5,recovered,0.0173345130024245,0.010486593993846327,0.6049546354362314
sparse_long_range_n10_d2_s1_small,sparse_long_range,hybrid_tdvp_padded4,16,4.7170714147253185e-05,8.0,0.5,recovered,0.017233092003152706,0.010486593993846327,0.6085149427582618
sparse_long_range_n10_d2_s1_small,sparse_long_range,hybrid_tdvp_unpadded,32,4.7068559554881593e-05,8.0,0.25,recovered,0.016581705989665352,0.010486593993846327,0.6324194868961107
sparse_long_range_n10_d2_s1_small,sparse_long_range,hybrid_tdvp_padded4,32,4.7170714147253185e-05,8.0,0.25,recovered,0.016947284995694645,0.010486593993846327,0.6187772257627333
sparse_long_range_n10_d4_s0_small,sparse_long_range,hybrid_tdvp_unpadded,16,6.636131852526874e-05,32.0,2.0,recovered,0.037516016003792174,0.022605065008974634,0.6025443908193685
sparse_long_range_n10_d4_s0_small,sparse_long_range,hybrid_tdvp_padded4,16,0.00044660444658309713,32.0,2.0,recovered,0.033773496994399466,0.022605065008974634,0.6693137229089172
