case_id,family,n_qubits,depth_or_cycles,seed,angle_regime,chi_max,tdvp_variant,tebd_error,tdvp_error,tdvp_error_over_tebd_error,tdvp_infidelity_over_tebd_infidelity,tdvp_time_over_tebd_time,tdvp_peak_chi_over_tebd_peak_chi,outcome
periodic_1d_n10_d2_s0_small,periodic_1d,10,2,0,small,32,unpadded,2.3749855164109657e-15,0.0017798805599924534,749427963957.5133,14241179405587.072,1.1797562149727139,0.5,tebd_win
periodic_1d_n10_d2_s0_small,periodic_1d,10,2,0,small,32,padded4,2.3749855164109657e-15,6.882502922612998e-14,28.979136399171434,0.0,1.4686364269689054,1.0,both_good
periodic_1d_n10_d2_s1_small,periodic_1d,10,2,1,small,8,unpadded,1.0570401975593114e-15,0.0016302166169684807,1542246568042.1846,19959202458440.625,1.1338120652514498,0.5,tebd_win
periodic_1d_n10_d2_s1_small,periodic_1d,10,2,1,small,8,padded4,1.0570401975593114e-15,1.0457863145341834e-13,98.93534010805709,0.0,1.4426401168712002,1.0,both_good
periodic_1d_n10_d2_s1_small,periodic_1d,10,2,1,small,16,unpadded,1.0570401975593114e-15,0.0016302166169684807,1542246568042.1846,19959202458440.625,1.1401019925821387,0.5,tebd_win
periodic_1d_n10_d2_s1_small,periodic_1d,10,2,1,small,16,padded4,1.0570401975593114e-15,1.0457863145341834e-13,98.93534010805709,0.0,1.4484866512273995,1.0,both_good
periodic_1d_n10_d2_s1_small,periodic_1d,10,2,1,small,32,unpadded,1.0570401975593114e-15,0.0016302166169684807,1542246568042.1846,19959202458440.625,1.164994900185514,0.5,tebd_win
periodic_1d_n10_d2_s1_small,periodic_1d,10,2,1,small,32,padded4,1.0570401975593114e-15,1.0457863145341834e-13,98.93534010805709,0.0,1.471414293839558,1.0,both_good
periodic_1d_n10_d4_s0_small,periodic_1d,10,4,0,small,8,unpadded,3.4470608875972195e-15,0.0034888507420867613,1012123329367.3184,45483826655306.48,1.1792590406151986,0.5,tebd_win
periodic_1d_n10_d4_s0_small,periodic_1d,10,4,0,small,8,padded4,3.4470608875972195e-15,1.2991111098473405e-13,37.687501097576735,0.0,1.4599079748753792,1.0,both_good
periodic_1d_n10_d4_s0_small,periodic_1d,10,4,0,small,16,unpadded,3.4470608875972195e-15,0.0034888507420867613,1012123329367.3184,45483826655306.48,1.147399147659606,0.5,tebd_win
periodic_1d_n10_d4_s0_small,periodic_1d,10,4,0,small,16,padded4,3.4470608875972195e-15,1.2991111098473405e-13,37.687501097576735,0.0,1.4333189914294786,1.0,both_good
periodic_1d_n10_d4_s0_small,periodic_1d,10,4,0,small,32,unpadded,3.4470608875972195e-15,0.0034888507420867613,1012123329367.3184,45483826655306.48,1.1690038559645455,0.5,tebd_win
periodic_1d_n10_d4_s0_small,periodic_1d,10,4,0,small,32,padded4,3.4470608875972195e-15,1.2991111098473405e-13,37.687501097576735,0.0,1.4406208710572475,1.0,both_good
periodic_1d_n10_d4_s1_small,periodic_1d,10,4,1,small,8,unpadded,4.464905369617559e-15,0.004881719394846115,1093353383940.645,57392097212106.2,1.1448189577202401,0.5,tebd_win
periodic_1d_n10_d4_s1_small,periodic_1d,10,4,1,small,8,padded4,4.464905369617559e-15,2.0421833251153473e-12,457.3855784294641,0.0,1.4215598462019674,1.0,both_good
periodic_1d_n10_d4_s1_small,periodic_1d,10,4,1,small,16,unpadded,4.464905369617559e-15,0.004881719394846115,1093353383940.645,57392097212106.2,1.1375036079716725,0.5,tebd_win
periodic_1d_n10_d4_s1_small,periodic_1d,10,4,1,small,16,padded4,4.464905369617559e-15,2.0421833251153473e-12,457.3855784294641,0.0,1.676625914534309,1.0,both_good
periodic_1d_n10_d4_s1_small,periodic_1d,10,4,1,small,32,unpadded,4.464905369617559e-15,0.004881719394846115,1093353383940.645,57392097212106.2,1.1470110468074417,0.5,tebd_win
periodic_1d_n10_d4_s1_small,periodic_1d,10,4,1,small,32,padded4,4.464905369617559e-15,2.0421833251153473e-12,457.3855784294641,0.0,1.4327507680149059,1.0,both_good
sparse_long_range_n8_d2_s0_small,sparse_long_range,8,2,0,small,8,unpadded,3.711213983451393e-09,0.00011286410635443158,30411.640734730434,88641880.28850283,0.857100005711906,0.75,tebd_win
sparse_long_range_n8_d2_s0_small,sparse_long_range,8,2,0,small,8,padded4,3.711213983451393e-09,0.0001145479998020164,30865.371900622093,88639190.35655941,0.9019092197023588,0.75,tebd_win
sparse_long_range_n8_d2_s0_small,sparse_long_range,8,2,0,small,16,unpadded,3.711213983451393e-09,0.00011286410635443158,30411.640734730434,88641880.28850283,1.8630913323216836,0.75,tebd_win
sparse_long_range_n8_d2_s0_small,sparse_long_range,8,2,0,small,16,padded4,3.711213983451393e-09,0.0001145479998020164,30865.371900622093,88639190.35655941,1.9268349938015974,0.75,tebd_win
