case_id,family,n_qubits,depth_or_cycles,seed,angle_regime,chi_max,tdvp_variant,tebd_error,tdvp_error,tdvp_error_over_tebd_error,tdvp_infidelity_over_tebd_infidelity,tdvp_time_over_tebd_time,tdvp_peak_chi_over_tebd_peak_chi,outcome,tebd_accuracy_limited,tebd_bond_limited,tebd_hit_chi_max,tdvp_hit_chi_max
sparse_long_range_n8_d8_s1_medium,sparse_long_range,8,8,1,medium,8,unpadded,0.013554056065547715,0.003543066040961562,0.2614026402006319,0.4275366563007976,1.998296583497655,1.0,tdvp_win,True,True,True,True
sparse_long_range_n8_d8_s1_medium,sparse_long_range,8,8,1,medium,8,padded4,0.013554056065547715,0.003543066040960579,0.2614026402005594,0.4275366563013059,2.0026196422031872,1.0,tdvp_win,True,True,True,True
sparse_long_range_n8_d8_s2_small,sparse_long_range,8,8,2,small,8,unpadded,0.007432354860021615,0.0013351872230414662,0.1796452467875818,0.12899797655449785,1.7669531301722134,1.0,tdvp_win,True,True,True,True
sparse_long_range_n8_d8_s2_small,sparse_long_range,8,8,2,small,8,padded4,0.007432354860021615,0.002275426367801043,0.306151470248075,0.16342257460581006,1.7183472732290952,1.0,tdvp_win,True,True,True,True
sparse_long_range_n8_d8_s2_medium,sparse_long_range,8,8,2,medium,8,unpadded,0.03368945172701462,0.006136711810269774,0.18215528884220214,0.18974085551454115,2.0807773749087954,1.0,tdvp_win,True,True,True,True
sparse_long_range_n8_d8_s2_medium,sparse_long_range,8,8,2,medium,8,padded4,0.03368945172701462,0.006136711810303715,0.18215528884320964,0.18974085551499556,2.188498415299505,1.0,tdvp_win,True,True,True,True
sparse_long_range_n12_d4_s0_small,sparse_long_range,12,4,0,small,8,unpadded,0.008954426126240533,0.00043862925318908174,0.04898463028286078,0.03835405533854772,1.666855897760041,1.0,tdvp_win,True,True,True,True
sparse_long_range_n12_d4_s0_small,sparse_long_range,12,4,0,small,8,padded4,0.008954426126240533,0.00043572624862192117,0.04866043255916149,0.03825792274871227,2.1468210797869243,1.0,tdvp_win,True,True,True,True
sparse_long_range_n12_d4_s0_small,sparse_long_range,12,4,0,small,16,unpadded,0.0023962986660655207,0.00031653924826455715,0.13209507343434884,0.25039190027866925,1.3836182545779594,0.875,tdvp_win,True,True,True,False
sparse_long_range_n12_d4_s0_small,sparse_long_range,12,4,0,small,16,padded4,0.0023962986660655207,0.0003152823282554864,0.1315705478287262,0.2503482944584651,1.3759805285196833,0.75,tdvp_win,True,True,True,False
sparse_long_range_n12_d4_s0_small,sparse_long_range,12,4,0,small,24,unpadded,0.0016474039081856454,0.00031653924826455715,0.19214428634758735,0.5466464613693374,1.2751067901468143,0.5833333333333334,tdvp_win,True,True,True,False
sparse_long_range_n12_d4_s0_small,sparse_long_range,12,4,0,small,24,padded4,0.0016474039081856454,0.0003152823282554864,0.19138131619629334,0.5465512627335861,2.2037300239417923,0.5,tdvp_win,True,True,True,False
sparse_long_range_n12_d4_s0_small,sparse_long_range,12,4,0,small,32,unpadded,0.0005625614998708258,0.00031653924826455715,0.562674922363582,1.8999500848554307,0.971176009516515,0.4375,similar,True,True,True,False
sparse_long_range_n12_d4_s0_small,sparse_long_range,12,4,0,small,32,padded4,0.0005625614998708258,0.0003152823282554864,0.5604406421837983,1.8996192080111525,0.6957089902516131,0.375,similar,True,True,True,False
sparse_long_range_n12_d4_s0_small,sparse_long_range,12,4,0,small,48,unpadded,1.3187557862585614e-05,0.00031653924826455715,24.00287085470236,1272.4614830753123,4.171492296131054,0.2916666666666667,tebd_win,True,True,True,False
sparse_long_range_n12_d4_s0_small,sparse_long_range,12,4,0,small,48,padded4,1.3187557862585614e-05,0.0003152823282554864,23.907559803015012,1272.239883548387,0.73319293804442,0.25,tebd_win,True,True,True,False
sparse_long_range_n12_d4_s0_medium,sparse_long_range,12,4,0,medium,8,unpadded,0.03804560796456003,0.0024980202216190604,0.06565857020726278,0.04443161397442484,2.0293219185878493,1.0,tdvp_win,True,True,True,True
sparse_long_range_n12_d4_s0_medium,sparse_long_range,12,4,0,medium,8,padded4,0.03804560796456003,0.002171154129239498,0.05706714244813634,0.032939156928869125,1.9188639921619246,1.0,tdvp_win,True,True,True,True
sparse_long_range_n12_d4_s0_medium,sparse_long_range,12,4,0,medium,16,unpadded,0.027214221690795206,0.0014816357050438551,0.05444343482896649,0.04756116524528639,7.2289283782398135,1.0,tdvp_win,True,True,True,True
sparse_long_range_n12_d4_s0_medium,sparse_long_range,12,4,0,medium,16,padded4,0.027214221690795206,0.001947224412742858,0.0715517215545237,0.041519961089611306,12.61582407821203,1.0,tdvp_win,True,True,True,True
sparse_long_range_n12_d4_s0_medium,sparse_long_range,12,4,0,medium,24,unpadded,0.004555080169169365,0.0018590557829813775,0.40812800520267967,0.3300455794905866,2.0771424391555455,1.0,tdvp_win,True,True,True,True
sparse_long_range_n12_d4_s0_medium,sparse_long_range,12,4,0,medium,24,padded4,0.004555080169169365,0.0014353756471035485,0.31511534238601435,0.30939589376056803,1.5549715334955956,1.0,tdvp_win,True,True,True,True
sparse_long_range_n12_d4_s0_medium,sparse_long_range,12,4,0,medium,32,unpadded,0.005670456717793135,0.0017697141027476252,0.3120937502608033,0.14212529975210605,0.7267811067460792,1.0,tdvp_win,True,True,True,True
sparse_long_range_n12_d4_s0_medium,sparse_long_range,12,4,0,medium,32,padded4,0.005670456717793135,0.001369786495325282,0.2415654617426274,0.14005005210513252,0.6166701426434266,1.0,tdvp_win,True,True,True,True
sparse_long_range_n12_d4_s0_medium,sparse_long_range,12,4,0,medium,48,unpadded,0.00014635864690504922,0.0017688868731718021,12.085974491957245,20.35738051534048,1.1600832308593323,0.6875,tebd_win,True,True,True,False
