case_id,family,chi_max,unpadded_error,padded4_error,error_ratio,classification
periodic_1d_n8_d2_s0_small,periodic_1d,8,0.0026953365551056034,5.286870052505254e-13,1.96148790491142e-10,padding_required
periodic_1d_n8_d2_s0_small,periodic_1d,16,0.0026953365551056034,5.286870052505254e-13,1.96148790491142e-10,padding_required
periodic_1d_n8_d2_s0_small,periodic_1d,32,0.0026953365551056034,5.286870052505254e-13,1.96148790491142e-10,padding_required
periodic_1d_n8_d2_s1_small,periodic_1d,8,0.0008333457221609632,2.9382846912011173e-15,3.525889211480921e-12,padding_required
periodic_1d_n8_d2_s1_small,periodic_1d,16,0.0008333457221609632,2.9382846912011173e-15,3.525889211480921e-12,padding_required
periodic_1d_n8_d2_s1_small,periodic_1d,32,0.0008333457221609632,2.9382846912011173e-15,3.525889211480921e-12,padding_required
periodic_1d_n8_d4_s0_small,periodic_1d,8,0.006388952049136069,1.4156463570629261e-12,2.215772392992609e-10,padding_required
periodic_1d_n8_d4_s0_small,periodic_1d,16,0.006388952049136069,1.4156463570629261e-12,2.215772392992609e-10,padding_required
periodic_1d_n8_d4_s0_small,periodic_1d,32,0.006388952049136069,1.4156463570629261e-12,2.215772392992609e-10,padding_required
periodic_1d_n8_d4_s1_small,periodic_1d,8,0.0037235227045260763,3.1816310395641055e-12,8.544680110844277e-10,padding_required
periodic_1d_n8_d4_s1_small,periodic_1d,16,0.0037235227045260763,3.1816310395641055e-12,8.544680110844277e-10,padding_required
periodic_1d_n8_d4_s1_small,periodic_1d,32,0.0037235227045260763,3.1816310395641055e-12,8.544680110844277e-10,padding_required
periodic_1d_n10_d2_s0_small,periodic_1d,8,0.0017798805599924534,6.882502922612998e-14,3.866834144557531e-11,padding_required
periodic_1d_n10_d2_s0_small,periodic_1d,16,0.0017798805599924534,6.882502922612998e-14,3.866834144557531e-11,padding_required
periodic_1d_n10_d2_s0_small,periodic_1d,32,0.0017798805599924534,6.882502922612998e-14,3.866834144557531e-11,padding_required
periodic_1d_n10_d2_s1_small,periodic_1d,8,0.0016302166169684807,1.0457863145341834e-13,6.415014444392717e-11,padding_required
periodic_1d_n10_d2_s1_small,periodic_1d,16,0.0016302166169684807,1.0457863145341834e-13,6.415014444392717e-11,padding_required
periodic_1d_n10_d2_s1_small,periodic_1d,32,0.0016302166169684807,1.0457863145341834e-13,6.415014444392717e-11,padding_required
periodic_1d_n10_d4_s0_small,periodic_1d,8,0.0034888507420867613,1.2991111098473405e-13,3.723607588527311e-11,padding_required
periodic_1d_n10_d4_s0_small,periodic_1d,16,0.0034888507420867613,1.2991111098473405e-13,3.723607588527311e-11,padding_required
periodic_1d_n10_d4_s0_small,periodic_1d,32,0.0034888507420867613,1.2991111098473405e-13,3.723607588527311e-11,padding_required
periodic_1d_n10_d4_s1_small,periodic_1d,8,0.004881719394846115,2.0421833251153473e-12,4.1833279628308553e-10,padding_required
periodic_1d_n10_d4_s1_small,periodic_1d,16,0.004881719394846115,2.0421833251153473e-12,4.1833279628308553e-10,padding_required
periodic_1d_n10_d4_s1_small,periodic_1d,32,0.004881719394846115,2.0421833251153473e-12,4.1833279628308553e-10,padding_required
periodic_1d_n8_d4_s0_small,periodic_1d,24,0.006388952049136069,1.4156463570629261e-12,2.215772392992609e-10,padding_required
periodic_1d_n8_d4_s0_small,periodic_1d,48,0.006388952049136069,1.4156463570629261e-12,2.215772392992609e-10,padding_required
periodic_1d_n8_d4_s0_small,periodic_1d,64,0.006388952049136069,1.4156463570629261e-12,2.215772392992609e-10,padding_required
periodic_1d_n8_d4_s0_medium,periodic_1d,8,0.03997476560198393,1.1140138600782396e-15,2.786792726116577e-14,padding_required
periodic_1d_n8_d4_s0_medium,periodic_1d,16,0.03997476560198393,1.1140138600782396e-15,2.786792726116577e-14,padding_required
periodic_1d_n8_d4_s0_medium,periodic_1d,24,0.03997476560198393,1.1140138600782396e-15,2.786792726116577e-14,padding_required
periodic_1d_n8_d4_s0_medium,periodic_1d,32,0.03997476560198393,1.1140138600782396e-15,2.786792726116577e-14,padding_required
periodic_1d_n8_d4_s0_medium,periodic_1d,48,0.03997476560198393,1.1140138600782396e-15,2.786792726116577e-14,padding_required
periodic_1d_n8_d4_s0_medium,periodic_1d,64,0.03997476560198393,1.1140138600782396e-15,2.786792726116577e-14,padding_required
periodic_1d_n8_d4_s1_small,periodic_1d,24,0.0037235227045260763,3.1816310395641055e-12,8.544680110844277e-10,padding_required
periodic_1d_n8_d4_s1_small,periodic_1d,48,0.0037235227045260763,3.1816310395641055e-12,8.544680110844277e-10,padding_required
periodic_1d_n8_d4_s1_small,periodic_1d,64,0.0037235227045260763,3.1816310395641055e-12,8.544680110844277e-10,padding_required
periodic_1d_n8_d4_s1_medium,periodic_1d,8,0.012367349527416338,6.740228053684851e-15,5.450018242585363e-13,padding_required
periodic_1d_n8_d4_s1_medium,periodic_1d,16,0.012367349527416338,6.740228053684851e-15,5.450018242585363e-13,padding_required
periodic_1d_n8_d4_s1_medium,periodic_1d,24,0.012367349527416338,6.740228053684851e-15,5.450018242585363e-13,padding_required
periodic_1d_n8_d4_s1_medium,periodic_1d,32,0.012367349527416338,6.740228053684851e-15,5.450018242585363e-13,padding_required
periodic_1d_n8_d4_s1_medium,periodic_1d,48,0.012367349527416338,6.740228053684851e-15,5.450018242585363e-13,padding_required
periodic_1d_n8_d4_s1_medium,periodic_1d,64,0.012367349527416338,6.740228053684851e-15,5.450018242585363e-13,padding_required
periodic_1d_n8_d4_s2_small,periodic_1d,8,0.00529214205351481,1.1087796275636436e-12,2.0951433584955273e-10,padding_required
periodic_1d_n8_d4_s2_small,periodic_1d,16,0.00529214205351481,1.1087796275636436e-12,2.0951433584955273e-10,padding_required
periodic_1d_n8_d4_s2_small,periodic_1d,24,0.00529214205351481,1.1087796275636436e-12,2.0951433584955273e-10,padding_required
periodic_1d_n8_d4_s2_small,periodic_1d,32,0.00529214205351481,1.1087796275636436e-12,2.0951433584955273e-10,padding_required
periodic_1d_n8_d4_s2_small,periodic_1d,48,0.00529214205351481,1.1087796275636436e-12,2.0951433584955273e-10,padding_required
periodic_1d_n8_d4_s2_small,periodic_1d,64,0.00529214205351481,1.1087796275636436e-12,2.0951433584955273e-10,padding_required
periodic_1d_n8_d4_s2_medium,periodic_1d,8,0.05248631534466241,1.6023577502471038e-14,3.052905771199379e-13,padding_required
periodic_1d_n8_d4_s2_medium,periodic_1d,16,0.05248631534466241,1.6023577502471038e-14,3.052905771199379e-13,padding_required
periodic_1d_n8_d4_s2_medium,periodic_1d,24,0.05248631534466241,1.6023577502471038e-14,3.052905771199379e-13,padding_required
periodic_1d_n8_d4_s2_medium,periodic_1d,32,0.05248631534466241,1.6023577502471038e-14,3.052905771199379e-13,padding_required
periodic_1d_n8_d4_s2_medium,periodic_1d,48,0.05248631534466241,1.6023577502471038e-14,3.052905771199379e-13,padding_required
periodic_1d_n8_d4_s2_medium,periodic_1d,64,0.05248631534466241,1.6023577502471038e-14,3.052905771199379e-13,padding_required
periodic_1d_n8_d8_s0_small,periodic_1d,8,0.012255708156261806,1.2476928902252097e-14,1.0180504254156267e-12,padding_required
periodic_1d_n8_d8_s0_small,periodic_1d,16,0.012255708156261806,1.2476928902252097e-14,1.0180504254156267e-12,padding_required
periodic_1d_n8_d8_s0_small,periodic_1d,24,0.012255708156261806,1.2476928902252097e-14,1.0180504254156267e-12,padding_required
periodic_1d_n8_d8_s0_small,periodic_1d,32,0.012255708156261806,1.2476928902252097e-14,1.0180504254156267e-12,padding_required
periodic_1d_n8_d8_s0_small,periodic_1d,48,0.012255708156261806,1.2476928902252097e-14,1.0180504254156267e-12,padding_required
periodic_1d_n8_d8_s0_small,periodic_1d,64,0.012255708156261806,1.2476928902252097e-14,1.0180504254156267e-12,padding_required
periodic_1d_n8_d8_s0_medium,periodic_1d,8,0.029545165142466842,1.862592215052752e-15,6.304220017289898e-14,padding_required
periodic_1d_n8_d8_s0_medium,periodic_1d,16,0.029545165142466842,1.862592215052752e-15,6.304220017289898e-14,padding_required
periodic_1d_n8_d8_s0_medium,periodic_1d,24,0.029545165142466842,1.862592215052752e-15,6.304220017289898e-14,padding_required
periodic_1d_n8_d8_s0_medium,periodic_1d,32,0.029545165142466842,1.862592215052752e-15,6.304220017289898e-14,padding_required
periodic_1d_n8_d8_s0_medium,periodic_1d,48,0.029545165142466842,1.862592215052752e-15,6.304220017289898e-14,padding_required
periodic_1d_n8_d8_s0_medium,periodic_1d,64,0.029545165142466842,1.862592215052752e-15,6.304220017289898e-14,padding_required
