case_id,family,method,chi_max,J_over_pi,seed,lattice_shape,depth_or_cycles,patch_shape,patch_sites,ipr2_z,s2_z,ipr2_z_error,s2_z_error,reference_type,mean_abs_z_parity_error,max_abs_z_parity_error,num_z_parity_terms
heisenberg_floquet_2d_3x4_c2_J0.005_s0,heisenberg_floquet_2d,tebd_swap,64,0.005,0,3x4,2,1x1,[5],0.9894767722811043,0.010578988413014351,9.044472004671178e-08,9.140661682421891e-08,exact_statevector,1.8993022741927004e-07,4.1613414003549565e-07,22
heisenberg_floquet_2d_3x4_c2_J0.005_s0,heisenberg_floquet_2d,tebd_swap,64,0.005,0,3x4,2,2x2,"[4, 5, 10, 11]",0.9735447273093882,0.02681151037745844,4.003494374904548e-07,4.1122868685641856e-07,exact_statevector,1.8993022741927004e-07,4.1613414003549565e-07,22
heisenberg_floquet_2d_3x4_c2_J0.005_s0,heisenberg_floquet_2d,tebd_swap,64,0.005,0,3x4,2,1x2,"[5, 4]",0.9812478837189755,0.018930166607359966,4.0153643543483497e-07,4.0921007245578456e-07,exact_statevector,1.8993022741927004e-07,4.1613414003549565e-07,22
heisenberg_floquet_2d_3x4_c2_J0.005_s0,heisenberg_floquet_2d,hybrid_tdvp_unpadded,64,0.005,0,3x4,2,1x1,[5],0.9891512560142701,0.01090802071733422,0.00032542582211414484,0.00032894089770304537,exact_statevector,0.0016605768409437233,0.0036207180477144663,22
heisenberg_floquet_2d_3x4_c2_J0.005_s0,heisenberg_floquet_2d,hybrid_tdvp_unpadded,64,0.005,0,3x4,2,2x2,"[4, 5, 10, 11]",0.9766816685510632,0.02359450546591083,0.0031373415911124525,0.003217416140234467,exact_statevector,0.0016605768409437233,0.0036207180477144663,22
heisenberg_floquet_2d_3x4_c2_J0.005_s0,heisenberg_floquet_2d,hybrid_tdvp_unpadded,64,0.005,0,3x4,2,1x2,"[5, 4]",0.9844980357787408,0.015623376050969633,0.003250553596200745,0.0033071997664627893,exact_statevector,0.0016605768409437233,0.0036207180477144663,22
heisenberg_floquet_2d_3x4_c2_J0.005_s0,heisenberg_floquet_2d,hybrid_tdvp_padded4,64,0.005,0,3x4,2,1x1,[5],0.9891512560142701,0.01090802071733422,0.00032542582211414484,0.00032894089770304537,exact_statevector,0.0016605768409437233,0.0036207180477144663,22
heisenberg_floquet_2d_3x4_c2_J0.005_s0,heisenberg_floquet_2d,hybrid_tdvp_padded4,64,0.005,0,3x4,2,2x2,"[4, 5, 10, 11]",0.9766816685510632,0.02359450546591083,0.0031373415911124525,0.003217416140234467,exact_statevector,0.0016605768409437233,0.0036207180477144663,22
heisenberg_floquet_2d_3x4_c2_J0.005_s0,heisenberg_floquet_2d,hybrid_tdvp_padded4,64,0.005,0,3x4,2,1x2,"[5, 4]",0.9844980357787408,0.015623376050969633,0.003250553596200745,0.0033071997664627893,exact_statevector,0.0016605768409437233,0.0036207180477144663,22
heisenberg_floquet_2d_3x4_c2_J0.005_s1,heisenberg_floquet_2d,tebd_swap,16,0.005,1,3x4,2,1x1,[5],0.9797117864639183,0.020496846017046984,0.0037950565640224587,0.003866162671989703,exact_statevector,0.0027898509239151796,0.0049675858547924,22
