model,method,chi_max,tdvp_substeps,peak_max_bond,peak_param_count,cumulative_runtime_s,T_eps,n_eps,last_reliable_time,first_crossing_time,first_crossing_step,crossed,right_censored,max_simulated_time,epsilon
heisenberg,tebd_swap,24,2,24,9128,0.16516340599628165,0.0,0,0.0,0.1,1,1,0,0.1,0.01
heisenberg,tebd_swap,32,2,32,15016,0.43550736212637275,0.0,0,0.0,0.1,1,1,0,0.1,0.01
heisenberg,tebd_swap,48,2,48,27304,18.436504632991273,0.0,0,0.0,0.1,1,1,0,0.1,0.01
heisenberg,tebd_swap,64,2,64,43688,17.135010063357186,0.0,0,0.0,0.1,1,1,0,0.1,0.01
heisenberg,tebd_swap,96,2,96,72360,21.508924560330343,0.0,0,0.0,0.1,1,1,0,0.1,0.01
heisenberg,tebd_swap,128,2,128,109224,55.06467414496001,0.1,1,0.1,0.2,2,1,0,0.2,0.01
heisenberg,mpo_zipup,2,2,2,120,0.21726983308326453,0.0,0,0.0,0.1,1,1,0,0.1,0.01
heisenberg,mpo_zipup,4,2,4,424,0.20990753913065419,0.0,0,0.0,0.1,1,1,0,0.1,0.01
heisenberg,mpo_zipup,8,2,8,1448,0.22674727538833395,0.0,0,0.0,0.1,1,1,0,0.1,0.01
heisenberg,mpo_zipup,12,2,12,2856,0.5197748034843244,0.1,1,0.1,0.2,2,1,0,0.2,0.01
heisenberg,mpo_zipup,16,2,16,4776,0.5672318624565378,0.1,1,0.1,0.2,2,1,0,0.2,0.01
heisenberg,mpo_zipup,24,2,24,9128,9.787258373107761,0.2,2,0.2,0.30000000000000004,3,1,0,0.30000000000000004,0.01
heisenberg,mpo_zipup,32,2,32,15016,36.67036455764901,0.2,2,0.2,0.30000000000000004,3,1,0,0.30000000000000004,0.01
heisenberg,mpo_zipup,48,2,48,27304,170.18886014900636,0.30000000000000004,3,0.30000000000000004,0.4,4,1,0,0.4,0.01
heisenberg,mpo_zipup,64,2,64,43688,188.06026087288046,0.30000000000000004,3,0.30000000000000004,0.4,4,1,0,0.4,0.01
heisenberg,mpo_zipup,96,2,96,72360,285.7360549895675,0.4,4,0.4,0.5,5,1,0,0.5,0.01
heisenberg,mpo_zipup,128,2,128,109224,391.5572076065,0.6000000000000001,6,0.6000000000000001,0.7000000000000001,7,1,0,0.7000000000000001,0.01
