p,S_V,w,F_av
0,1.2424533248940002,-0.33333333333333337,1
0.01,1.2368822974557283,-0.32833333333333337,0.995
0.02,1.2311533301419841,-0.32333333333333347,0.9900000000000001
0.029999999999999999,1.2252634008577914,-0.31833333333333336,0.98499999999999999
0.040000000000000001,1.2192094762238195,-0.31333333333333346,0.98000000000000009
0.050000000000000003,1.2129885147707857,-0.30833333333333335,0.97499999999999998
0.059999999999999998,1.2065974703692894,-0.30333333333333323,0.96999999999999986
0.070000000000000007,1.200033295905452,-0.29833333333333334,0.96499999999999997
0.080000000000000002,1.1932929472128793,-0.29333333333333333,0.95999999999999996
0.089999999999999997,1.1863733872716122,-0.28833333333333344,0.95500000000000007
0.10000000000000001,1.1792715906848326,-0.28333333333333344,0.95000000000000007
0.11,1.1719845484441596,-0.27833333333333354,0.94500000000000017
0.12,1.1645092729944289,-0.27333333333333321,0.93999999999999984
0.13,1.1568428036088363,-0.26833333333333353,0.93500000000000016
0.14000000000000001,1.1489822120852933,-0.2633333333333332,0.92999999999999983
0.14999999999999999,1.1409246087747587,-0.2583333333333333,0.92499999999999993
0.16,1.1326671489521747,-0.2533333333333333,0.91999999999999993
0.17000000000000001,1.124207039540442,-0.24833333333333341,0.91500000000000004
0.17999999999999999,1.115541546197627,-0.2433333333333334,0.91000000000000003
0.19,1.1066680007772756,-0.23833333333333351,0.90500000000000014
0.20000000000000001,1.0975838091713381,-0.23333333333333339,0.90000000000000002
0.20999999999999999,1.0882864595447455,-0.22833333333333328,0.89499999999999991
0.22,1.0787735309701616,-0.22333333333333338,0.89000000000000001
0.23000000000000001,1.0690427024708209,-0.21833333333333327,0.8849999999999999
0.23999999999999999,1.0590917624786664,-0.21333333333333337,0.88
0.25,1.0489186187142212,-0.20833333333333337,0.875
0.26000000000000001,1.0385213084937479,-0.20333333333333337,0.87
0.27000000000000002,1.0278980094682781,-0.19833333333333347,0.8650000000000001
0.28000000000000003,1.0170470507980227,-0.19333333333333336,0.85999999999999999
0.28999999999999998,1.005966924764486,-0.18833333333333346,0.85500000000000009
0.29999999999999999,0.99465629882134876,-0.18333333333333335,0.84999999999999998
0.31,0.98311402808377135,-0.17833333333333323,0.84499999999999986
0.32000000000000001,0.97133916825430311,-0.17333333333333334,0.83999999999999997
0.33000000000000002,0.95933098898196345,-0.16833333333333333,0.83499999999999996
0.34000000000000002,0.94708898764937577,-0.16333333333333333,0.82999999999999996
0.35000000000000003,0.93461290358102045,-0.15833333333333344,0.82500000000000007
