J,entropy_mean,entropy_std,modes_mean,modes_std,entropy_old_raw_xyz_mean,modes_old_raw_xyz_mean,entropy_old_centered_xyz_mean,modes_old_centered_xyz_mean,resolved_rank_mean,resolved_rank_std,rank_tol,spectrum_discarded_weight_threshold,cut,m_spectrum,basis,orientation,weight_scope,centered,probability_power,raw_file,raw_sha256
0.7,8.455189637055528e-07,0.0,1.0000008455193212,0.0,1.7722708481741564e-06,1.0000017722724186,5.94955375672176e-06,1.0000059495714553,64.0,0.0,1e-16,1e-12,1,64,IXYZ,future_rows_history_columns,complete_retained_record,0,1,raw/cut_01_J_0p7.npz,3833c0ef2114da5253996a774761c647130d90ede3cc549bc0e0e270118a9712
0.75,1.0038476322016034e-06,0.0,1.000001003848136,0.0,2.1302381110261308e-06,1.00000213024038,8.928052447189924e-06,1.0000089280923024,64.0,0.0,1e-16,1e-12,1,64,IXYZ,future_rows_history_columns,complete_retained_record,0,1,raw/cut_01_J_0p75.npz,d60a54c408d4edddc8873e28e1491a04b952500cb3618941e28945da308a3380
0.8,1.2221292063371799e-06,0.0,1.0000012221299532,0.0,2.6465012234920252e-06,1.0000026465047256,1.0295090421951777e-05,1.0000102951434167,64.0,0.0,1e-16,1e-12,1,64,IXYZ,future_rows_history_columns,complete_retained_record,0,1,raw/cut_01_J_0p8.npz,6b355907feaafea201e3a91d5e30d4a7a5fb16f36a6f7e96c893f2f012593045
0.85,1.5482137553426865e-06,0.0,1.0000015482149538,0.0,3.421279925561124e-06,1.0000034212857782,1.2150219783237698e-05,1.0000121502935975,64.0,0.0,1e-16,1e-12,1,64,IXYZ,future_rows_history_columns,complete_retained_record,0,1,raw/cut_01_J_0p85.npz,e657d7cd32ce65646086f49b3c977d533e0d576b41b48db67553506bedd9b8a7
0.9,1.4830536330751978e-06,0.0,1.0000014830547328,0.0,3.239978213991192e-06,1.0000032399834626,1.0657507807092286e-05,1.0000106575645986,64.0,0.0,1e-16,1e-12,1,64,IXYZ,future_rows_history_columns,complete_retained_record,0,1,raw/cut_01_J_0p9.npz,4b69e005a50823bfcf0b138f88ee45a8a0c9a142c869ca3dddffd038d959693e
0.95,1.5912111809899503e-06,0.0,1.000001591212447,0.0,3.589101416220774e-06,1.0000035891078571,1.1873895648928866e-05,1.0000118739661439,64.0,0.0,1e-16,1e-12,1,64,IXYZ,future_rows_history_columns,complete_retained_record,0,1,raw/cut_01_J_0p95.npz,1b996adf978dc2fc5b640bdb91dbdfd51b373e322df9d1be36a9aba5f2655991
1.0,2.4698111747983977e-06,0.0,1.0000024698142247,0.0,5.920573905724385e-06,1.0000059205914325,2.3325511285249328e-05,1.000023325783327,64.0,0.0,1e-16,1e-12,1,64,IXYZ,future_rows_history_columns,complete_retained_record,0,1,raw/cut_01_J_1.npz,ba984b7c8fe7351d6132990df164866eaab373ca0859a88782a68bf9d192ce82
1.05,1.6767142131782545e-06,0.0,1.0000016767156188,0.0,3.862879759875345e-06,1.0000038628872208,1.2884279691916468e-05,1.0000128843626945,64.0,0.0,1e-16,1e-12,1,64,IXYZ,future_rows_history_columns,complete_retained_record,0,1,raw/cut_01_J_1p05.npz,6a6e756912eeb4c635c0d979ed88f277b3c3ecfc45b849f2de9b92d0bb301271
1.1,2.738715364509096e-06,0.0,1.0000027387191148,0.0,6.549725251458152e-06,1.000006549746701,2.296031099250631e-05,1.0000229605745825,64.0,0.0,1e-16,1e-12,1,64,IXYZ,future_rows_history_columns,complete_retained_record,0,1,raw/cut_01_J_1p1.npz,88cd14a130f0e9cd1ee909e5adf28dc10a5203b3ef4b6fdf1a7d9e43b4095b5b
1.15,2.84954972735421e-06,0.0,1.0000028495537874,0.0,6.878111186785845e-06,1.000006878134841,2.5936933467988847e-05,1.0000259372698332,64.0,0.0,1e-16,1e-12,1,64,IXYZ,future_rows_history_columns,complete_retained_record,0,1,raw/cut_01_J_1p15.npz,e77de0212400c46a373e16cb24f73308a6ccce266eb920a48d96a83e102414e3
1.2,3.017142922646292e-06,0.0,1.0000030171474743,0.0,7.478251516745223e-06,1.000007478279479,2.8923903185503974e-05,1.0000289243214857,64.0,0.0,1e-16,1e-12,1,64,IXYZ,future_rows_history_columns,complete_retained_record,0,1,raw/cut_01_J_1p2.npz,aaacda3681bd998d52f417b83428a472a8555fc97723d29455f5cf21b6e591ad
1.25,2.7225355253608278e-06,0.0,1.0000027225392314,0.0,6.484150570740637e-06,1.000006484171593,2.5067209685304733e-05,1.0000250675238704,64.0,0.0,1e-16,1e-12,1,64,IXYZ,future_rows_history_columns,complete_retained_record,0,1,raw/cut_01_J_1p25.npz,8c9dc0e15152ec0ac65a8c8f7e96e869898e0a08c68fbb960c3db9628621c4f5
1.3,4.436184231927628e-06,0.0,1.0000044361940719,0.0,1.057947736320048e-05,1.000010579533326,4.150581402466537e-05,1.000041506675403,64.0,0.0,1e-16,1e-12,1,64,IXYZ,future_rows_history_columns,complete_retained_record,0,1,raw/cut_01_J_1p3.npz,87060eb19ba2679eefea87d3e06ab8cd21a5ed13a047c52f43267a12e9e17c6e
1.35,4.596711475803087e-06,0.0,1.0000045967220408,0.0,1.1511092673393518e-05,1.0000115111589263,3.904094804113754e-05,1.0000390417101488,64.0,0.0,1e-16,1e-12,1,64,IXYZ,future_rows_history_columns,complete_retained_record,0,1,raw/cut_01_J_1p35.npz,59d670a916640bcf9b9cb12f88dc0ee89def6dea5d5db3a5b5def14f346d078f
1.4,5.286817512626181e-06,0.0,1.000005286831488,0.0,1.3420122098281298e-05,1.0000134202121485,4.8416750901916166e-05,1.0000484179230118,64.0,0.0,1e-16,1e-12,1,64,IXYZ,future_rows_history_columns,complete_retained_record,0,1,raw/cut_01_J_1p4.npz,b780662f3e7c6c6c81a2a8130baa11d38f64494bb1d4fd3e20c6bffadd9d6ccc
1.45,8.635278786003178e-06,0.0,1.0000086353160702,0.0,2.218455089943626e-05,1.0000221847969784,7.825621209394479e-05,1.0000782592741913,64.0,0.0,1e-16,1e-12,1,64,IXYZ,future_rows_history_columns,complete_retained_record,0,1,raw/cut_01_J_1p45.npz,2e9a969a5d51c54ef152b4d14ad30f5bdae492951edf7e3f6c0ab9eedfa4b67f
1.5,6.317214749514038e-06,0.0,1.0000063172347031,0.0,1.597047275269209e-05,1.0000159706002814,5.130175349263512e-05,1.00005130306945,64.0,0.0,1e-16,1e-12,1,64,IXYZ,future_rows_history_columns,complete_retained_record,0,1,raw/cut_01_J_1p5.npz,11c85f8ab5ba4615766498543e1d57639da375fbbe394f00c7cf4af0256a2317
1.55,7.317095553599599e-06,0.0,1.0000073171223236,0.0,1.847520875661765e-05,1.0000184753794243,6.411745488203495e-05,1.00006411951045,64.0,0.0,1e-16,1e-12,1,64,IXYZ,future_rows_history_columns,complete_retained_record,0,1,raw/cut_01_J_1p55.npz,7d5f88a9274c1909a2834481f69de7e64549fa60a29d1158f3ed5618714e30e8
1.6,6.712995803754394e-06,0.0,1.0000067130183359,0.0,1.5354196143389334e-05,1.0000153543140196,4.544930642922318e-05,1.0000454503392646,64.0,0.0,1e-16,1e-12,1,64,IXYZ,future_rows_history_columns,complete_retained_record,0,1,raw/cut_01_J_1p6.npz,39c7ffc3f65cb6f6d83498ca27f370f5d02cc2db5496d4f936e362e2230e4c7c
1.65,8.822262664382021e-06,0.0,1.0000088223015806,0.0,2.0740049936022773e-05,1.0000207402650123,7.759648374604177e-05,1.000077599494431,64.0,0.0,1e-16,1e-12,1,64,IXYZ,future_rows_history_columns,complete_retained_record,0,1,raw/cut_01_J_1p65.npz,47942a2d57b1efc93cc3eca65305363fc26162443e300bfaabeb3ac38809f117
1.7,9.333045385493297e-06,0.0,1.0000093330889386,0.0,2.241091221871118e-05,1.0000224111633451,8.152742153092472e-05,1.0000815307449815,64.0,0.0,1e-16,1e-12,1,64,IXYZ,future_rows_history_columns,complete_retained_record,0,1,raw/cut_01_J_1p7.npz,cea9ae3194ea055af49e87030820471b2cbf90edbe3d694cfd4a92f5627aab11
1.75,9.625100770294294e-06,0.0,1.0000096251470918,0.0,2.2102396738891898e-05,1.0000221026409986,7.76310548437793e-05,1.000077634068212,64.0,0.0,1e-16,1e-12,1,64,IXYZ,future_rows_history_columns,complete_retained_record,0,1,raw/cut_01_J_1p75.npz,d04733c503a47cc8fe1b7d68e14425c1160a3817d1a4cc4b18fec1dccbbb6e2f
