task_type,method,chi_max,theta,x_fraction,special_angle,substeps,infidelity,fidelity,overlap_squared_raw,norm_squared_exact,norm_squared_approx,fidelity_normalized,infidelity_normalized,norm_loss,fidelity_definition,max_bond,param_count,runtime_s,peak_memory_mb,norm_before,norm_after,discarded_weight,variational_converged,variational_failed,failure_message
angle_sweep,hybrid_tdvp,8,0.0006283185307179586,0.0001,0,1,6.246974970647301e-08,0.9999999375302503,0.9999999280225456,0.9999999999999993,0.9999999904922954,0.9999999375302503,6.246974970647301e-08,4.753851978733792e-09,normalized_state_fidelity_v2,8,936,0.1918705939897336,256.65625,0.9999999999999996,0.9999999952461477,1.901541688085715e-08,,,
angle_sweep,mpo_zipup,8,0.0006283185307179586,0.0001,0,1,6.247072414922172e-08,0.9999999375292759,0.9999998750585538,0.9999999999999993,0.9999999375292747,0.9999999375292759,6.247072414922172e-08,3.1235362740744677e-08,normalized_state_fidelity_v2,8,936,0.013822428998537362,256.65625,0.9999999999999996,0.9999999687646371,1.249414493247984e-07,,,
angle_sweep,no_update,8,0.0006283185307179586,0.0001,0,0,9.866031791538887e-08,0.9999999013396821,0.9999999013396801,0.9999999999999993,0.9999999999999987,0.9999999013396821,9.866031791538887e-08,3.3306690738754696e-16,normalized_state_fidelity_v2,8,0,0.0,0.0,1.0,1.0,0.0,,,analytic=9.8660317916221189e-08
angle_sweep,tebd_swap,8,0.0006283185307179586,0.0001,0,1,0.29976726910969465,0.7002327308903054,0.4496610745921997,0.9999999999999993,0.642159463212298,0.7002327308903054,0.29976726910969465,0.19865147207204636,normalized_state_fidelity_v2,8,936,0.010063768015243113,256.65625,0.9999999999999996,0.8013485279279536,1.0547089884533776,,,
angle_sweep,ttsvd_candidate,8,0.0006283185307179586,0.0001,0,0,6.247072403819942e-08,0.999999937529276,0.9999999375292755,0.9999999999999993,1.0000000000000002,0.999999937529276,6.247072403819942e-08,-4.440892098500626e-16,normalized_state_fidelity_v2,8,0,0.0,0.0,1.0,1.0,0.0,,,independent_ttsvd_candidate
angle_sweep,variational_mpo,8,0.0006283185307179586,0.0001,0,1,6.247072370513251e-08,0.9999999375292763,0.9999999375292751,0.9999999999999993,0.9999999999999994,0.9999999375292763,6.247072370513251e-08,0.0,normalized_state_fidelity_v2,8,936,1.5608367570093833,257.48828125,0.9999999999999996,0.9999999999999997,0.0,1,0,best_init=zipup
angle_sweep,hybrid_tdvp,8,0.0009222454792211941,0.0001467799267622069,0,1,1.3459206871235807e-07,0.9999998654079313,0.9999998449228837,0.9999999999999991,0.9999999795149506,0.9999998654079313,1.3459206871235807e-07,1.024252427317407e-08,normalized_state_fidelity_v2,8,936,0.11150611797347665,257.48828125,0.9999999999999996,0.9999999897574752,4.097010610619794e-08,,,
angle_sweep,mpo_zipup,8,0.0009222454792211941,0.0001467799267622069,0,1,1.3459658854131362e-07,0.9999998654034115,0.9999997308068421,0.9999999999999991,0.9999998654034135,0.9999998654034115,1.3459658854131362e-07,6.729829504781293e-08,normalized_state_fidelity_v2,8,936,0.004092880990356207,257.48828125,0.9999999999999996,0.9999999327017045,2.691931883900597e-07,,,
angle_sweep,no_update,8,0.0009222454792211941,0.0001467799267622069,0,0,2.1255720272783662e-07,0.9999997874427973,0.999999787442795,0.9999999999999991,0.9999999999999987,0.9999997874427973,2.1255720272783662e-07,2.220446049250313e-16,normalized_state_fidelity_v2,8,0,0.0,0.0,1.0,1.0,0.0,,,analytic=2.1255720337549017e-07
angle_sweep,tebd_swap,8,0.0009222454792211941,0.0001467799267622069,0,1,0.29976790754765503,0.700232092452345,0.4496601180887596,0.9999999999999991,0.6421586827218464,0.700232092452345,0.29976790754765503,0.19865195905783428,normalized_state_fidelity_v2,8,936,0.0029467360000126064,257.48828125,0.9999999999999996,0.8013480409421652,1.0547071754782025,,,
angle_sweep,ttsvd_candidate,8,0.0009222454792211941,0.0001467799267622069,0,0,1.3459658909642513e-07,0.9999998654034109,0.9999998654034118,0.9999999999999991,1.0000000000000018,0.9999998654034109,1.3459658909642513e-07,-1.3322676295501878e-15,normalized_state_fidelity_v2,8,0,0.0,0.0,1.0,1.0000000000000009,0.0,,,independent_ttsvd_candidate
angle_sweep,variational_mpo,8,0.0009222454792211941,0.0001467799267622069,0,1,1.3459658909642513e-07,0.9999998654034109,0.9999998654034102,0.9999999999999991,1.0000000000000002,0.9999998654034109,1.3459658909642513e-07,-4.440892098500626e-16,normalized_state_fidelity_v2,8,936,1.5100145820179023,257.48828125,0.9999999999999996,0.9999999999999999,0.0,1,0,best_init=zipup
angle_sweep,hybrid_tdvp,8,0.0013536712389686342,0.00021544346900318845,0,1,2.8998556900194927e-07,0.999999710014431,0.9999996658765763,0.9999999999999991,0.9999999558621334,0.999999710014431,2.8998556900194927e-07,2.2068933125396484e-08,normalized_state_fidelity_v2,8,936,0.019886594964191318,257.48828125,0.9999999999999996,0.9999999779310665,8.827575263103752e-08,,,
angle_sweep,mpo_zipup,8,0.0013536712389686342,0.00021544346900318845,0,1,2.90006561876055e-07,0.9999997099934381,0.999999419986956,0.9999999999999991,0.9999997099934346,0.9999997099934381,2.90006561876055e-07,1.4500329281741386e-07,normalized_state_fidelity_v2,8,936,0.00789092801278457,257.48828125,0.9999999999999996,0.9999998549967063,5.800131742692555e-07,,,
angle_sweep,no_update,8,0.0013536712389686342,0.00021544346900318845,0,0,4.579405752380694e-07,0.9999995420594248,0.9999995420594225,0.9999999999999991,0.9999999999999987,0.9999995420594248,4.579405752380694e-07,2.220446049250313e-16,normalized_state_fidelity_v2,8,0,0.0,0.0,1.0,1.0,0.0,,,analytic=4.5794057509774485e-07
angle_sweep,tebd_swap,8,0.0013536712389686342,0.00021544346900318845,0,1,0.2997688777695051,0.7002311222304949,0.4496586723317417,0.9999999999999991,0.642157507794588,0.7002311222304949,0.2997688777695051,0.19865269215240478,normalized_state_fidelity_v2,8,936,0.003043512988369912,257.48828125,0.9999999999999996,0.8013473078475951,1.0547045676356943,,,
angle_sweep,ttsvd_candidate,8,0.0013536712389686342,0.00021544346900318845,0,0,2.900065619870773e-07,0.999999709993438,0.9999997099934369,0.9999999999999991,0.9999999999999998,0.999999709993438,2.900065619870773e-07,-4.440892098500626e-16,normalized_state_fidelity_v2,8,0,0.0,0.0,1.0,0.9999999999999999,0.0,,,independent_ttsvd_candidate
angle_sweep,variational_mpo,8,0.0013536712389686342,0.00021544346900318845,0,1,2.900065617650327e-07,0.9999997099934382,0.9999997099934382,0.9999999999999991,1.0000000000000009,0.9999997099934382,2.900065617650327e-07,-8.881784197001252e-16,normalized_state_fidelity_v2,8,936,0.9823352320236154,257.48828125,0.9999999999999996,1.0000000000000007,0.0,1,0,best_init=zipup
