representation,u_minus_i_l2,u_minus_i_fro,max_bond,bond_dims,max_coeff,frobenius_norm,near_zero_branch_count,mpo_vs_identity_fro,notes,section,chi_max,input_max_bond,input_norm,copy_infidelity,canonical_infidelity,copy_max_bond,canonical_max_bond,identical_across_methods,method,x_fraction,theta,input_output_infidelity,exact_infidelity,phase_aligned_distance,norm_before,norm_after,norm_change,output_max_bond,peak_bond,bond_profile,discarded_weight,compression_residual,variational_objective_initial,variational_objective_final,variational_converged,variational_sweeps,variational_worse_than_input,unchanged_input_baseline_infidelity,pass_check,failure_message
dense_gate_matrix,0.0,0.0,1,[1],1.0,2.0,0,,4×4 dense gate matrix at θ=0 via normal benchmark construction,gate_construction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dense_make_gate,0.0,0.0,1,[1],1.0,2.0,0,,4×4 dense gate matrix at θ=0 via normal benchmark construction,gate_construction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mpo_from_gate_theta0,0.0,0.0,1,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.4142135623730951,17.142135623730955,0,0.0,MPO.from_gate(RZZ(0)); tensor Frobenius diff vs I_MPO=4.182e+00; operator-action infidelity=0.000e+00; bond>1 on support is allowed if action matches identity,gate_construction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mpo_identity_reference,0.0,0.0,1,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,16.970562748477146,0,0.0,Minimal bond-dimension-one identity MPO reference,gate_construction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,continuity,8,8,,,,,,,hybrid_tdvp,1e-12,6.283185307179586e-12,0.0,0.0,3.140911308994738e-12,0.9999999999999996,1.0000000000000318,3.219646771412954e-14,8,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",1.973921089137276e-23,,,,,,,1.7763568394002505e-15,True,
,,,,,,,,,,continuity,8,8,,,,,,,tebd_swap,1e-12,6.283185307179586e-12,0.5503369582209756,0.550336958220995,0.5486553494414869,0.9999999999999996,0.8013495350004483,0.1986504649995513,8,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",1.054712962534957,,,,,,,1.7763568394002505e-15,True,
,,,,,,,,,,continuity,8,8,,,,,,,mpo_zipup,1e-12,6.283185307179586e-12,2.6645352591003757e-15,1.5543122344752192e-15,3.141092390566715e-12,0.9999999999999996,0.9999999999999994,1.1102230246251565e-16,8,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",1.9739208818958328e-23,3.3306690738754696e-15,,,,,,1.7763568394002505e-15,True,
,,,,,,,,,,continuity,8,8,,,,,,,variational_mpo,1e-12,6.283185307179586e-12,2.6645352591003757e-15,1.5543122344752192e-15,3.141092390566715e-12,0.9999999999999996,0.9999999999999994,1.1102230246251565e-16,8,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",0.0,3.3306690738754696e-15,0.0,0.0,True,0,False,1.7763568394002505e-15,True,
,,,,,,,,,,continuity,8,8,,,,,,,hybrid_tdvp,1e-10,6.283185307179587e-10,0.0,0.0,2.499292117259056e-10,0.9999999999999996,1.0000000000000224,2.2870594307278225e-14,8,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",1.9768916308013294e-19,,,,,,,1.7763568394002505e-15,True,
,,,,,,,,,,continuity,8,8,,,,,,,tebd_swap,1e-10,6.283185307179587e-10,0.5503369582209344,0.5503369582228885,0.5486553494426398,0.9999999999999996,0.8013495349994756,0.19865046500052397,8,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",1.054712962530956,,,,,,,1.7763568394002505e-15,True,
,,,,,,,,,,continuity,8,8,,,,,,,mpo_zipup,1e-10,6.283185307179587e-10,2.6645352591003757e-15,1.7763568394002505e-15,3.141024721090605e-10,0.9999999999999996,0.9999999999999994,1.1102230246251565e-16,8,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",1.9739208802180394e-19,3.3306690738754696e-15,,,,,,1.7763568394002505e-15,True,
,,,,,,,,,,continuity,8,8,,,,,,,variational_mpo,1e-10,6.283185307179587e-10,2.6645352591003757e-15,1.7763568394002505e-15,3.141024721090605e-10,0.9999999999999996,0.9999999999999994,1.1102230246251565e-16,8,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",0.0,3.3306690738754696e-15,0.0,0.0,True,0,False,1.7763568394002505e-15,True,
,,,,,,,,,,continuity,8,8,,,,,,,hybrid_tdvp,1e-08,6.283185307179586e-08,0.0,0.0,2.499291934051559e-08,0.9999999999999996,1.000000000000013,1.354472090042691e-14,8,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",1.976891631691396e-15,,,,,,,3.1086244689504383e-15,True,
,,,,,,,,,,continuity,8,8,,,,,,,tebd_swap,1e-08,6.283185307179586e-08,0.550336958216933,0.5503369584124091,0.5486553495579307,0.9999999999999996,0.8013495349020667,0.19865046509793283,8,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",1.054712962130882,,,,,,,3.1086244689504383e-15,True,
,,,,,,,,,,continuity,8,8,,,,,,,mpo_zipup,1e-08,6.283185307179586e-08,4.440892098500626e-15,5.329070518200751e-15,3.1410240658854e-08,0.9999999999999996,0.9999999999999984,1.1102230246251565e-15,8,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",1.9739208802178694e-15,4.884981308350689e-15,,,,,,3.1086244689504383e-15,True,
,,,,,,,,,,continuity,8,8,,,,,,,variational_mpo,1e-08,6.283185307179586e-08,4.440892098500626e-15,5.329070518200751e-15,3.1410240658854e-08,0.9999999999999996,0.9999999999999984,1.1102230246251565e-15,8,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",0.0,4.884981308350689e-15,0.0,0.0,True,0,False,3.1086244689504383e-15,True,
,,,,,,,,,,continuity,8,8,,,,,,,hybrid_tdvp,1e-06,6.283185307179586e-06,3.560707284577802e-12,6.1879390500507725e-12,2.499292969120441e-06,0.9999999999999996,1.0000000000000295,2.9976021664879227e-14,8,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",2.970755539481589e-14,,,,,,,9.867884287473316e-12,True,
,,,,,,,,,,continuity,8,8,,,,,,,tebd_swap,1e-06,6.283185307179586e-06,0.5503369578217344,0.5503369773696777,0.5486553610907785,0.9999999999999996,0.801349525158943,0.19865047484105658,8,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",1.0547129221297553,,,,,,,9.867884287473316e-12,True,
,,,,,,,,,,continuity,8,8,,,,,,,mpo_zipup,1e-06,6.283185307179586e-06,0.1051320326468933,0.10513203263806481,0.23243361970696066,0.9999999999999996,0.9726122621219203,0.027387737878079244,8,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",0.11036599780843201,0.10513203263806525,,,,,,9.867884287473316e-12,True,
,,,,,,,,,,continuity,8,8,,,,,,,variational_mpo,1e-06,6.283185307179586e-06,0.1051320326468933,0.10513203263806481,0.23243361970696066,0.9999999999999996,0.9726122621219203,0.027387737878079244,8,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",0.0,0.10513203263806525,0.05402538757007935,0.05402538757007935,True,1,True,9.867884287473316e-12,True,
,,,,,,,,,,continuity,8,8,,,,,,,hybrid_tdvp,0.0001,0.0006283185307179586,3.633880851783289e-08,6.261806817509097e-08,0.0002499395231152725,0.9999999999999996,0.9999999999258481,7.415146274780682e-11,8,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",2.9711600119300524e-10,,,,,,,9.866031991379032e-08,True,
,,,,,,,,,,continuity,8,8,,,,,,,tebd_swap,0.0001,0.0006283185307179586,0.5503369674014678,0.5503389254078003,0.5486565519961661,0.9999999999999996,0.8013485279279536,0.19865147207204592,8,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",1.0547089884533776,,,,,,,9.866031991379032e-08,True,
,,,,,,,,,,continuity,8,8,,,,,,,mpo_zipup,0.0001,0.0006283185307179586,0.10513212091650326,0.10513203263806137,0.23243361970696072,0.9999999999999996,0.9726122621219215,0.027387737878078022,8,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",0.11036599780843216,0.10513203263806137,,,,,,9.866031991379032e-08,True,
,,,,,,,,,,continuity,8,8,,,,,,,variational_mpo,0.0001,0.0006283185307179586,0.10513212091650326,0.10513203263806137,0.23243361970696072,0.9999999999999996,0.9726122621219215,0.027387737878078022,8,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",0.0,0.10513203263806137,0.05402538757007935,0.05402538757007935,True,1,True,9.866031991379032e-08,True,
,,,,,,,,,,continuity,12,8,,,,,,,hybrid_tdvp,0.0,0.0,0.0,0.0,1.0309696585041134e-13,0.9999999999999996,1.0000000000000204,2.0872192862952943e-14,8,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",2.02595136062951e-30,,,,,,,2.6645352591003757e-15,True,
,,,,,,,,,,continuity,12,8,,,,,,,tebd_swap,0.0,0.0,0.4203274979696534,0.4203274979696534,0.4940411282555062,0.9999999999999996,0.8756718397654795,0.12432816023452009,12,12,"[1, 2, 4, 8, 12, 12, 12, 12, 12, 8, 4, 2, 1]",0.4716442927404556,,,,,,,2.6645352591003757e-15,True,
,,,,,,,,,,continuity,12,8,,,,,,,mpo_zipup,0.0,0.0,2.6645352591003757e-15,2.6645352591003757e-15,1.970766025569129e-15,0.9999999999999996,0.9999999999999994,1.1102230246251565e-16,8,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",1.6779613264519288e-32,3.3306690738754696e-15,,,,,,2.6645352591003757e-15,True,
,,,,,,,,,,continuity,12,8,,,,,,,variational_mpo,0.0,0.0,2.6645352591003757e-15,2.6645352591003757e-15,1.970766025569129e-15,0.9999999999999996,0.9999999999999994,1.1102230246251565e-16,8,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",0.0,3.3306690738754696e-15,0.0,0.0,True,0,False,2.6645352591003757e-15,True,
,,,,,,,,,,continuity,12,8,,,,,,,hybrid_tdvp,1e-12,6.283185307179586e-12,0.0,0.0,3.140911308994738e-12,0.9999999999999996,1.0000000000000318,3.219646771412954e-14,8,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",1.973921089137276e-23,,,,,,,1.7763568394002505e-15,True,
,,,,,,,,,,continuity,12,8,,,,,,,tebd_swap,1e-12,6.283185307179586e-12,0.4203274979696935,0.4203274979696917,0.49404112825552965,0.9999999999999996,0.8756718397654646,0.12432816023453497,12,12,"[1, 2, 4, 8, 12, 12, 12, 12, 12, 8, 4, 2, 1]",0.4716442927404674,,,,,,,1.7763568394002505e-15,True,
