chi_max,x_fraction,runtime_hybrid_tdvp,runtime_tebd_swap,runtime_mpo_zipup,runtime_variational_mpo,fastest,tdvp_vs_zipup,tdvp_vs_tebd,tdvp_vs_variational
8,0.0001,0.1918705939897336,0.010063768015243113,0.013822428998537362,1.5608367570093833,tebd_swap,13.881105412806725,19.065482600464986,0.12292803403564395
8,0.0001467799267622069,0.11150611797347665,0.0029467360000126064,0.004092880990356207,1.5100145820179023,tebd_swap,27.243918950052876,37.8405523850795,0.07384439812790805
8,0.00021544346900318845,0.019886594964191318,0.003043512988369912,0.00789092801278457,0.9823352320236154,tebd_swap,2.5201845628260506,6.534092359777463,0.02024420413306854
8,0.00031622776601683794,0.033024912991095334,0.007664106029551476,0.006667491979897022,1.4560504849650897,mpo_zipup,4.953123766877841,4.309036548262373,0.02268115929502756
8,0.00046415888336127773,0.0664100960129872,0.002859153028111905,0.004211592022329569,0.9546208579558879,tebd_swap,15.768406735715491,23.227191885158504,0.06956698615949992
8,0.0006812920690579609,0.3207720009959303,0.007451540033798665,0.004679209960158914,0.8472057710168883,mpo_zipup,68.55259835039253,43.04774577348762,0.37862348436426785
8,0.001,0.07139082899084315,0.004431713023222983,0.00922663597157225,1.5073946209740825,tebd_swap,7.737471079470572,16.10908211265987,0.04736041113421925
8,0.0014677992676220691,0.22598403604933992,0.008335102000273764,0.010339649044908583,1.1525487549952231,tebd_swap,21.85606446290537,27.11233000411003,0.1960732984786197
8,0.002154434690031882,0.030432494007982314,0.0029450299916788936,0.016339897003490478,1.1100379929994233,tebd_swap,1.8624654734042339,10.333509028420268,0.027415722885079777
8,0.0031622776601683794,0.07660236401716247,0.010037043015472591,0.0135559500195086,1.1348333100322634,tebd_swap,5.650829628828868,7.631965300843704,0.06750098304303798
8,0.004641588833612777,0.10746334597934037,0.00560890301130712,0.008379998034797609,1.2571029860409908,tebd_swap,12.823791310344358,19.15942311049103,0.08548491823870051
8,0.006812920690579608,0.3395382529706694,0.0046840099967084825,0.013376095972489566,1.552305402001366,tebd_swap,25.383957596371403,72.48879767747455,0.21873160560602792
8,0.01,0.3927643810166046,0.0056346970377489924,0.013896032993216068,2.7660845649661496,tebd_swap,28.264496868160073,69.70461382135112,0.14199290433530587
8,0.01467799267622069,0.5599040869856253,0.002279862994328141,0.004116730997338891,1.6829989799880423,tebd_swap,136.0069645909715,245.5867253333023,0.3326823685832557
8,0.021544346900318822,0.08582510298583657,0.009260858001653105,0.005251883005257696,1.3548801590222865,mpo_zipup,16.341777396776827,9.267510955304184,0.0633451618686113
8,0.03162277660168379,0.0940956010017544,0.00362635898636654,0.009623347024898976,2.368405221030116,tebd_swap,9.777845562286807,25.94767957488794,0.039729519326438735
8,0.046415888336127774,0.22771106602158397,0.0036354210460558534,0.008502255019266158,1.6416683330317028,tebd_swap,26.782431896666168,62.63677938175349,0.13870710754410742
8,0.06812920690579609,0.07667647197376937,0.006787443999201059,0.006392490002326667,1.5974000970018096,mpo_zipup,11.994773858991023,11.296810991412208,0.04800079336271788
8,0.1,0.05995541298761964,0.0038429549895226955,0.009308876993600279,1.3807658409932628,tebd_swap,6.440670881013697,15.601383089596437,0.04342185416789448
8,0.1467799267622069,0.07113129296340048,0.00540652999188751,0.005564423045143485,1.434149692999199,tebd_swap,12.783228806710234,13.156551997331539,0.049598234626850916
8,0.21544346900318823,0.39161228499142453,0.003021672018803656,0.006154460948891938,1.7370769339613616,tebd_swap,63.63063934330938,129.60118853219288,0.22544325892254077
8,0.25,0.07725952204782516,0.006575026025529951,0.004077501012943685,2.4130529539543204,mpo_zipup,18.947762809272465,11.750451138571425,0.03201733385967281
8,0.31622776601683794,0.17354127997532487,0.003230126982089132,0.00418652402004227,1.630120344052557,tebd_swap,41.45235501922969,53.72583831459298,0.10645918297289203
8,0.46415888336127775,0.11432072101160884,0.004586627997923642,0.01648830302292481,2.2280740200076252,tebd_swap,6.933443717807767,24.924785934974803,0.05130921144676225
8,0.5,0.09624827100196853,0.009774231002666056,0.004325404006522149,0.30320586304878816,mpo_zipup,22.251856903271605,9.847145107959438,0.31743538872954263
