task_type,method,chi_max,theta,x_fraction,special_angle,substeps,infidelity,fidelity,overlap_squared_raw,norm_squared_exact,norm_squared_approx,fidelity_normalized,infidelity_normalized,norm_loss,fidelity_definition,max_bond,param_count,runtime_s,peak_memory_mb,norm_before,norm_after,discarded_weight,variational_converged,variational_failed,failure_message
substep_sweep,hybrid_tdvp,8,0.06283185307179587,0.01,0,1,0.0006213018276534088,0.9993786981723466,0.9993786981723455,0.9999999999999991,0.9999999999999998,0.9993786981723466,0.0006213018276534088,-4.440892098500626e-16,normalized_state_fidelity_v2,8,936,0.21050447301240638,254.96484375,0.9999999999999996,0.9999999999999999,0.00019281799228212872,,,
substep_sweep,hybrid_tdvp,8,0.06283185307179587,0.01,0,2,0.0006221780474947591,0.9993778219525052,0.9993778219525026,0.9999999999999991,0.9999999999999982,0.9993778219525052,0.0006221780474947591,4.440892098500626e-16,normalized_state_fidelity_v2,8,936,0.6255650920211338,254.96484375,0.9999999999999996,0.9999999999999998,9.668002773661409e-05,,,
substep_sweep,hybrid_tdvp,8,0.06283185307179587,0.01,0,4,0.0006226608908558307,0.9993773391091442,0.9993773391091426,0.9999999999999991,0.9999999999999993,0.9993773391091442,0.0006226608908558307,-2.220446049250313e-16,normalized_state_fidelity_v2,8,936,0.5942986359586939,254.96484375,0.9999999999999996,0.9999999999999997,4.8374224158876134e-05,,,
substep_sweep,hybrid_tdvp,8,0.06283185307179587,0.01,0,8,0.0006229124828350807,0.9993770875171649,0.9993770875171645,0.9999999999999991,1.0000000000000004,0.9993770875171649,0.0006229124828350807,-6.661338147750939e-16,normalized_state_fidelity_v2,8,936,0.4055214319960214,254.96484375,0.9999999999999996,1.0,2.419211341530137e-05,,,
substep_sweep,hybrid_tdvp,8,0.06283185307179587,0.01,0,16,0.000623040789634044,0.999376959210366,0.9993769592103641,0.9999999999999991,0.999999999999999,0.999376959210366,0.000623040789634044,1.1102230246251565e-16,normalized_state_fidelity_v2,8,936,0.9874406759627163,254.96484375,0.9999999999999996,0.9999999999999996,1.2096883595867964e-05,,,
substep_sweep,hybrid_tdvp,8,0.06283185307179587,0.01,0,32,0.0006231055719819745,0.999376894428018,0.9993768944280171,0.9999999999999991,1.0,0.999376894428018,0.0006231055719819745,-4.440892098500626e-16,normalized_state_fidelity_v2,8,936,2.3448105449788272,254.96484375,0.9999999999999996,1.0,6.048596456399002e-06,,,
substep_sweep,hybrid_tdvp,8,0.06283185307179587,0.01,0,64,0.0006231381208617881,0.9993768618791382,0.9993768618791369,0.9999999999999991,0.9999999999999996,0.9993768618791382,0.0006231381208617881,-2.220446049250313e-16,normalized_state_fidelity_v2,8,936,3.60003933502594,254.96484375,0.9999999999999996,0.9999999999999998,3.0243304275103466e-06,,,
substep_sweep,hybrid_tdvp,8,0.06283185307179587,0.01,0,128,0.000623154434807871,0.9993768455651921,0.9993768455651912,0.9999999999999991,1.0,0.9993768455651921,0.000623154434807871,-4.440892098500626e-16,normalized_state_fidelity_v2,8,936,5.821374678984284,254.96484375,0.9999999999999996,1.0000000000000002,1.5121724577375646e-06,,,
substep_sweep,hybrid_tdvp,12,0.06283185307179587,0.01,0,1,1.8031727289091748e-05,0.9999819682727109,0.9999819682727105,0.9999999999999991,1.0000000000000004,0.9999819682727109,1.8031727289091748e-05,-6.661338147750939e-16,normalized_state_fidelity_v2,12,1704,0.020588034996762872,254.96484375,0.9999999999999996,1.0,9.087635520388262e-06,,,
substep_sweep,hybrid_tdvp,12,0.06283185307179587,0.01,0,2,1.6769845875841405e-05,0.9999832301541242,0.9999832301541232,0.9999999999999991,0.9999999999999999,0.9999832301541242,1.6769845875841405e-05,-4.440892098500626e-16,normalized_state_fidelity_v2,12,1704,0.10160324303433299,254.96484375,0.9999999999999996,1.0000000000000002,5.554340290293635e-06,,,
substep_sweep,hybrid_tdvp,12,0.06283185307179587,0.01,0,4,1.6370455397152206e-05,0.9999836295446028,0.9999836295446017,0.9999999999999991,0.9999999999999998,0.9999836295446028,1.6370455397152206e-05,-4.440892098500626e-16,normalized_state_fidelity_v2,12,1704,0.16286622395273298,254.96484375,0.9999999999999996,1.0000000000000002,3.01225593403073e-06,,,
substep_sweep,hybrid_tdvp,12,0.06283185307179587,0.01,0,8,1.6219876574963266e-05,0.999983780123425,0.9999837801234241,0.9999999999999991,1.0,0.999983780123425,1.6219876574963266e-05,-4.440892098500626e-16,normalized_state_fidelity_v2,12,1704,0.14964711695211008,254.96484375,0.9999999999999996,0.9999999999999993,1.560361848192689e-06,,,
substep_sweep,hybrid_tdvp,12,0.06283185307179587,0.01,0,16,1.6151339687686672e-05,0.9999838486603123,0.9999834523204296,0.9999999999999991,0.9999996036537167,0.9999838486603123,1.6151339687686672e-05,1.9817316088133197e-07,normalized_state_fidelity_v2,12,1704,0.20370984700275585,254.96484375,0.9999999999999996,0.9999998018268386,7.926927355810813e-07,,,
substep_sweep,hybrid_tdvp,12,0.06283185307179587,0.01,0,32,1.6114047850845914e-05,0.9999838859521492,0.9999836863236842,0.9999999999999991,0.999999800368319,0.9999838859521492,1.6114047850845914e-05,9.981584503382379e-08,normalized_state_fidelity_v2,12,1704,0.4356983990292065,254.96484375,0.9999999999999996,0.9999999001841542,3.9926348963879995e-07,,,
substep_sweep,hybrid_tdvp,12,0.06283185307179587,0.01,0,64,1.609050207151963e-05,0.9999839094979285,0.9999838093324149,0.9999999999999991,0.9999998998328756,0.9999839094979285,1.609050207151963e-05,5.0083562963543216e-08,normalized_state_fidelity_v2,12,1704,0.7292432670365088,254.96484375,0.9999999999999996,0.9999999499164364,2.0033444323231246e-07,,,
substep_sweep,hybrid_tdvp,12,0.06283185307179587,0.01,0,128,1.6073899164248395e-05,0.9999839261008358,0.9999838759271688,0.9999999999999991,0.9999999498255274,0.9999839261008358,1.6073899164248395e-05,2.508723617733466e-08,normalized_state_fidelity_v2,12,1704,1.3938288500066847,254.96484375,0.9999999999999996,0.9999999749127635,1.0034964491362068e-07,,,
substep_sweep,hybrid_tdvp,16,0.06283185307179587,0.01,0,1,0.0,1.0,1.0,0.9999999999999991,1.0000000000000009,1.0,0.0,-8.881784197001252e-16,normalized_state_fidelity_v2,16,2728,0.14497966901399195,257.5546875,0.9999999999999996,1.0000000000000004,3.715647143582926e-31,,,
substep_sweep,hybrid_tdvp,16,0.06283185307179587,0.01,0,2,9.198275474631146e-11,0.9999999999080172,0.999999999907961,0.9999999999999991,0.9999999999999446,0.9999999999080172,9.198275474631146e-11,2.731148640577885e-14,normalized_state_fidelity_v2,16,2728,0.25638709496706724,257.5546875,0.9999999999999996,0.9999999999999725,9.70600791167835e-14,,,
substep_sweep,hybrid_tdvp,16,0.06283185307179587,0.01,0,4,2.2960522372272862e-11,0.9999999999770395,0.9999999999770499,0.9999999999999991,1.0000000000000113,0.9999999999770395,2.2960522372272862e-11,-5.995204332975845e-15,normalized_state_fidelity_v2,16,2728,0.195958883035928,257.5546875,0.9999999999999996,1.0000000000000056,2.422603855081874e-14,,,
substep_sweep,hybrid_tdvp,16,0.06283185307179587,0.01,0,8,5.735856234423409e-12,0.9999999999942641,0.9999999999942801,0.9999999999999991,1.0000000000000169,0.9999999999942641,5.735856234423409e-12,-8.881784197001252e-15,normalized_state_fidelity_v2,16,2728,0.317028681980446,257.5546875,0.9999999999999996,1.0000000000000084,6.051597800356542e-15,,,
substep_sweep,hybrid_tdvp,16,0.06283185307179587,0.01,0,16,1.432853835581227e-12,0.9999999999985671,0.9999999999985922,0.9999999999999991,1.000000000000026,0.9999999999985671,1.432853835581227e-12,-1.3322676295501878e-14,normalized_state_fidelity_v2,16,2728,0.3375702599878423,257.5546875,0.9999999999999996,1.000000000000013,1.5122830300711087e-15,,,
substep_sweep,hybrid_tdvp,16,0.06283185307179587,0.01,0,32,2.4829049927177493e-10,0.9999999997517095,0.9999999997480546,0.9999999999999991,0.999999999996346,0.9999999997517095,2.4829049927177493e-10,1.8265389201133075e-12,normalized_state_fidelity_v2,16,2680,0.36223585600964725,257.5546875,0.9999999999999996,0.999999999998173,7.63496906161645e-12,,,
