task_type,method,chi_max,theta,x_fraction,special_angle,substeps,infidelity,fidelity,max_bond,param_count,runtime_s,peak_memory_mb,norm_before,norm_after,discarded_weight,variational_converged,variational_failed,failure_message
chi_scan,hybrid_tdvp,8,0.006283185307179587,0.001,0,64,6.265909389790991e-06,0.9999937340906102,8,936,3.905326722015161,257.36328125,0.9999999999999996,0.9999999925627284,2.974979041413035e-08,,,
chi_scan,mpo_zipup,8,0.006283185307179587,0.001,0,64,0.10513203263806625,0.8948679673619337,8,936,0.009414498985279351,257.36328125,0.9999999999999996,0.9726122621219196,0.11036599780843187,,,
chi_scan,tebd_swap,8,0.006283185307179587,0.001,0,64,0.5503613589725673,0.4496386410274326,8,936,0.004602540051564574,257.36328125,0.9999999999999996,0.801337397706239,1.0546792747077298,,,
chi_scan,variational_mpo,8,0.006283185307179587,0.001,0,64,0.10513203263806625,0.8948679673619337,8,936,0.569271205982659,258.65234375,0.9999999999999996,0.9726122621219196,0.0,1,0,
chi_scan,hybrid_tdvp,8,0.06283185307179587,0.01,0,64,0.0006231381208631204,0.9993768618791369,8,936,2.119221472006757,258.65234375,0.9999999999999996,0.9999999999999998,3.0243304275103466e-06,,,
chi_scan,mpo_zipup,8,0.06283185307179587,0.01,0,64,0.10513203263806503,0.894867967361935,8,936,0.010044114955235273,258.65234375,0.9999999999999996,0.9726122621219201,0.11036599780843201,,,
chi_scan,tebd_swap,8,0.06283185307179587,0.01,0,64,0.5510275992513749,0.44897240074862504,8,936,0.0053680239943787456,258.65234375,0.9999999999999996,0.8010367180091156,1.0549888136952044,,,
chi_scan,variational_mpo,8,0.06283185307179587,0.01,0,64,0.10513203263806503,0.894867967361935,8,936,0.5398492090171203,258.65234375,0.9999999999999996,0.9726122621219201,0.0,1,0,
chi_scan,hybrid_tdvp,8,0.6283185307179586,0.1,0,64,0.03280613398671717,0.9671938660132828,8,936,2.5397845690022223,258.65234375,0.9999999999999996,1.0000000000000004,0.0002452101872314285,,,
chi_scan,mpo_zipup,8,0.6283185307179586,0.1,0,64,0.1051320326380677,0.8948679673619323,8,936,0.007830807997379452,258.65234375,0.9999999999999996,0.9726122621219183,0.11036599780843206,,,
chi_scan,tebd_swap,8,0.6283185307179586,0.1,0,64,0.5625602888138523,0.43743971118614766,8,936,0.007601024000905454,258.65234375,0.9999999999999996,0.7959433898469056,1.0873484199459091,,,
chi_scan,variational_mpo,8,0.6283185307179586,0.1,0,64,0.1051320326380677,0.8948679673619323,8,936,0.5008435620111413,258.65234375,0.9999999999999996,0.9726122621219183,0.0,1,0,
chi_scan,hybrid_tdvp,8,1.8849555921538759,0.3,0,64,0.09966869630081054,0.9003313036991895,8,936,1.7884296490228735,258.65234375,0.9999999999999996,0.9999999999999998,0.0012593422286790161,,,
chi_scan,mpo_zipup,8,1.8849555921538759,0.3,0,64,0.10513203263806503,0.894867967361935,8,936,0.009395086963195354,258.65234375,0.9999999999999996,0.9726122621219205,0.11036599780843201,,,
chi_scan,tebd_swap,8,1.8849555921538759,0.3,0,64,0.5890799517436756,0.4109200482563245,8,936,0.004847355012316257,258.65234375,0.9999999999999996,0.7805997454372327,1.1439641319993186,,,
chi_scan,variational_mpo,8,1.8849555921538759,0.3,0,64,0.10513203263806503,0.894867967361935,8,936,0.5086590449791402,258.65234375,0.9999999999999996,0.9726122621219205,0.0,1,0,
chi_scan,hybrid_tdvp,12,0.006283185307179587,0.001,0,64,1.6241950306916664e-07,0.9999998375804969,12,1704,0.9848546579596587,258.65234375,0.9999999999999996,0.999999999497899,2.009268550727474e-09,,,
chi_scan,mpo_zipup,12,0.006283185307179587,0.001,0,64,0.012509004494323572,0.9874909955056764,12,1704,0.006031055003404617,258.65234375,0.9999999999999996,0.9968579713552335,0.012576972145545328,,,
chi_scan,tebd_swap,12,0.006283185307179587,0.001,0,64,0.4203710205602409,0.5796289794397591,12,1704,0.0044494360336102545,258.65234375,0.9999999999999996,0.8756552229689797,0.4716591631531949,,,
chi_scan,variational_mpo,12,0.006283185307179587,0.001,0,64,0.012509004494323572,0.9874909955056764,12,1704,0.6291004649829119,258.80859375,0.9999999999999996,0.9968579713552335,0.0,1,0,
