chi_max,x_fraction,theta,substeps,krylov_tol,infidelity,fidelity,runtime_s,wall_s,discarded_weight,max_bond
16,0.0001,0.0006283185307179586,1,1e-06,3.1938895972416503e-12,0.9999999999968061,0.017787328048143536,0.01787047495599836,1.7654927637386624e-13,16
16,0.0001,0.0006283185307179586,1,1e-08,3.1943336864515004e-12,0.9999999999968057,0.013179769041016698,0.01328314101556316,1.765492745924321e-13,16
16,0.0001,0.0006283185307179586,1,1e-10,3.194222664149038e-12,0.9999999999968058,0.017304559994954616,0.017393347050528973,1.7654927324729688e-13,16
16,0.0001,0.0006283185307179586,1,1e-12,3.192779374217025e-12,0.9999999999968072,0.014584849996026605,0.01467953302199021,1.7654927328244014e-13,16
16,0.0001,0.0006283185307179586,1,1e-14,3.1928903965194877e-12,0.9999999999968071,0.015320200996939093,0.015408960985951126,1.765492733087963e-13,16
16,0.0001,0.0006283185307179586,1,1e-16,3.1933344857293378e-12,0.9999999999968067,0.019915104960091412,0.020002440956886858,1.7654927330897563e-13,16
16,0.001,0.006283185307179587,1,1e-06,4.623190719144077e-12,0.9999999999953768,0.017819312983192503,0.01792187400860712,1.9361942764526976e-15,16
16,0.001,0.006283185307179587,1,1e-08,3.6703973194107675e-12,0.9999999999963296,0.020372878992930055,0.020480448962189257,1.9361950773922565e-15,16
16,0.001,0.006283185307179587,1,1e-10,3.66962016329353e-12,0.9999999999963304,0.025139438977930695,0.025249785976484418,1.9361959386552767e-15,16
16,0.001,0.006283185307179587,1,1e-12,3.669509140991067e-12,0.9999999999963305,0.03868575097294524,0.038808265002444386,1.9361959386278393e-15,16
16,0.001,0.006283185307179587,1,1e-14,3.6699532302009175e-12,0.99999999999633,0.016869791026692837,0.01695945701794699,1.9361959387690347e-15,16
16,0.001,0.006283185307179587,1,1e-16,3.6697311855959924e-12,0.9999999999963303,0.017385477025527507,0.017475461994763464,1.9361959387690347e-15,16
16,0.01,0.06283185307179587,1,1e-06,2.6645352591003757e-15,0.9999999999999973,0.019116904004476964,0.019207398989237845,1.8566709893499781e-31,16
16,0.01,0.06283185307179587,1,1e-08,0.0,1.0,0.014712424017488956,0.01479977200506255,1.8604031201069412e-31,16
16,0.01,0.06283185307179587,1,1e-10,0.0,1.0,0.01992044597864151,0.020011475950013846,1.8562781832094289e-31,16
16,0.01,0.06283185307179587,1,1e-12,0.0,1.0,0.06324356596451253,0.06333404500037432,1.857823571791463e-31,16
16,0.01,0.06283185307179587,1,1e-14,4.440892098500626e-16,0.9999999999999996,0.05120379599975422,0.051296172954607755,1.862614589204732e-31,16
16,0.01,0.06283185307179587,1,1e-16,0.0,1.0,0.03661554696736857,0.0367220250191167,1.863113673670194e-31,16
16,0.1,0.6283185307179586,1,1e-06,6.661338147750939e-16,0.9999999999999993,0.014701200008857995,0.014801269047893584,1.6984189275428975e-31,16
16,0.1,0.6283185307179586,1,1e-08,0.0,1.0,0.01945198402972892,0.01953892200253904,1.6954039479252881e-31,16
16,0.1,0.6283185307179586,1,1e-10,0.0,1.0,0.016961983987130225,0.017051408998668194,1.6929934187507213e-31,16
16,0.1,0.6283185307179586,1,1e-12,4.440892098500626e-16,0.9999999999999996,0.024187420029193163,0.024286377010867,1.6960327118240358e-31,16
16,0.1,0.6283185307179586,1,1e-14,0.0,1.0,0.028647112019825727,0.028909549000672996,1.6951291375659532e-31,16
16,0.1,0.6283185307179586,1,1e-16,0.0,1.0,0.02813450898975134,0.02822472498519346,1.6920241032079438e-31,16
16,1.0,6.283185307179586,1,1e-06,1.8207657603852567e-14,0.9999999999999818,0.06476778601063415,0.0648758570314385,6.050968370505317e-17,8
16,1.0,6.283185307179586,1,1e-08,0.0,1.0,0.07213833800051361,0.07223924901336432,5.701131742891724e-20,8
16,1.0,6.283185307179586,1,1e-10,0.0,1.0,0.04585924401180819,0.04594735999125987,3.2703037940952596e-25,8
16,1.0,6.283185307179586,1,1e-12,0.0,1.0,0.07893530296860263,0.07903154997620732,1.249759819621032e-25,8
16,1.0,6.283185307179586,1,1e-14,0.0,1.0,0.1384913640213199,0.13859026599675417,7.470593752064924e-27,8
16,1.0,6.283185307179586,1,1e-16,0.0,1.0,0.045106513949576765,0.045238837017677724,1.0652404162031946e-26,8
