variant,k,N,seed,err_dense_U,err_dense_pred_state_frob,err_dense_pred_state_trace,prefactor_dense_pred,raw_trace_mean,raw_herm_err_mean,raw_min_eig_mean,ess,ess_over_N,log_weight_var,max_weight,freq_alpha_0,freq_alpha_1,freq_alpha_2,freq_alpha_3,freq_alpha_4,freq_alpha_5,freq_alpha_6,freq_alpha_7,freq_alpha_8,freq_alpha_9,freq_alpha_10,freq_alpha_11,freq_alpha_12,freq_alpha_13,freq_alpha_14,freq_alpha_15
sis_local,3,8,15425,42.90046994384174,0.7475683803381733,0.5286106711377664,2.114442684551066,31.169231831369675,4.7112152500621037e-14,2.677615620554359,8.0,1.0,0.0,0.125,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.041666666666666664,0.20833333333333334,0.08333333333333333,0.08333333333333333,0.041666666666666664,0.041666666666666664,0.0,0.041666666666666664,0.0
sis_local,3,8,15426,44.33621184664541,1.071443296947334,0.7576248209283318,3.0304992837133264,12.512239026658014,6.516296886655606e-14,-18.982147143330995,8.0,1.0,0.0,0.125,0.08333333333333333,0.041666666666666664,0.08333333333333333,0.041666666666666664,0.08333333333333333,0.08333333333333333,0.041666666666666664,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.041666666666666664,0.041666666666666664,0.0,0.08333333333333333,0.041666666666666664,0.08333333333333333
sis_local,3,8,15427,44.425292908637765,0.7202824879849162,0.5093166316240523,2.037266526496209,13.524181806870232,3.297940978903241e-14,-8.84413417741929,8.000000000000002,1.0000000000000002,9.860761315262648e-32,0.125,0.16666666666666666,0.16666666666666666,0.0,0.041666666666666664,0.08333333333333333,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.08333333333333333,0.041666666666666664,0.125,0.08333333333333333,0.041666666666666664,0.0,0.0
sis_local,3,16,15505,31.141189730327977,0.9584400763758797,0.677719477366337,3.8337603055035188,45.776376675856234,4.557112808551111e-14,12.687781481717616,16.0,1.0,0.0,0.0625,0.08333333333333333,0.0625,0.0625,0.125,0.10416666666666667,0.08333333333333333,0.08333333333333333,0.041666666666666664,0.041666666666666664,0.020833333333333332,0.020833333333333332,0.08333333333333333,0.08333333333333333,0.0625,0.0,0.041666666666666664
sis_local,3,16,15506,30.64275355502689,0.7931084660184006,0.5608123745380715,3.1724338640736023,-10.569537645853703,4.05687170068235e-14,-17.939963839180987,16.0,1.0,0.0,0.0625,0.041666666666666664,0.041666666666666664,0.0625,0.08333333333333333,0.0625,0.0625,0.041666666666666664,0.041666666666666664,0.125,0.0,0.0625,0.08333333333333333,0.08333333333333333,0.0,0.125,0.08333333333333333
sis_local,3,16,15507,31.142044953207126,1.0932315445959315,0.7730314385908267,4.372926178383726,-12.067661953347793,4.831304794171382e-14,-21.616964901600877,16.0,1.0,0.0,0.0625,0.10416666666666667,0.0625,0.041666666666666664,0.10416666666666667,0.125,0.0625,0.041666666666666664,0.041666666666666664,0.08333333333333333,0.0,0.020833333333333332,0.0625,0.041666666666666664,0.041666666666666664,0.0625,0.10416666666666667
sis_local,3,32,15665,21.76327559828614,0.7594563890270433,0.5370167626964711,4.296134101571768,1.261482561244205,3.552964348960286e-14,-11.87117450168875,32.0,1.0,0.0,0.03125,0.10416666666666667,0.03125,0.052083333333333336,0.0625,0.08333333333333333,0.07291666666666667,0.09375,0.020833333333333332,0.09375,0.09375,0.052083333333333336,0.0625,0.020833333333333332,0.07291666666666667,0.03125,0.052083333333333336
sis_local,3,32,15666,22.187802910799384,0.7108628752288598,0.5026559595680934,4.021247676544748,9.668541508292504,5.82063414944264e-14,-7.073716603965255,32.00000000000001,1.0000000000000002,1.9721522630525295e-31,0.03125,0.07291666666666667,0.03125,0.03125,0.0625,0.14583333333333334,0.03125,0.08333333333333333,0.09375,0.10416666666666667,0.0625,0.041666666666666664,0.07291666666666667,0.010416666666666666,0.052083333333333336,0.020833333333333332,0.08333333333333333
sis_local,3,32,15667,22.063646734871195,0.6993271432989921,0.4944989652945339,3.955991722356271,17.870583639692686,2.3513703534264998e-14,-0.3857290522551331,32.0,1.0,0.0,0.03125,0.052083333333333336,0.08333333333333333,0.020833333333333332,0.08333333333333333,0.0625,0.03125,0.0625,0.09375,0.07291666666666667,0.09375,0.09375,0.052083333333333336,0.041666666666666664,0.020833333333333332,0.041666666666666664,0.09375
sis_local,3,64,15985,15.409644439642172,1.1199090962239324,0.7918953162524406,8.95927276979146,2.316130930662607,1.8246155398547564e-14,-6.213894790620806,64.0,1.0,3.697785493223493e-32,0.015625,0.07291666666666667,0.057291666666666664,0.036458333333333336,0.0625,0.07291666666666667,0.0625,0.052083333333333336,0.08854166666666667,0.08854166666666667,0.052083333333333336,0.036458333333333336,0.09375,0.09375,0.03125,0.046875,0.052083333333333336
sis_local,3,64,15986,15.615126690039606,0.9620551632178884,0.6802757297868997,7.696441305743107,4.946430594905945,2.150425123475064e-14,-4.679760312839194,64.0,1.0,1.9721522630525295e-31,0.015625,0.057291666666666664,0.052083333333333336,0.046875,0.046875,0.07291666666666667,0.057291666666666664,0.057291666666666664,0.08333333333333333,0.08333333333333333,0.036458333333333336,0.03125,0.078125,0.078125,0.057291666666666664,0.052083333333333336,0.109375
sis_local,3,64,15987,15.218945634351204,0.7186473313936855,0.5081604013100911,5.749178651149484,-0.9545671923539913,2.6428530705746315e-14,-11.22304181080387,64.0,1.0,1.9721522630525295e-31,0.015625,0.08854166666666667,0.046875,0.03125,0.07291666666666667,0.09375,0.0625,0.052083333333333336,0.057291666666666664,0.09375,0.052083333333333336,0.057291666666666664,0.057291666666666664,0.078125,0.052083333333333336,0.046875,0.057291666666666664
sis_local,3,128,16625,10.682374034609408,0.7824296268155998,0.5532612949225704,8.852180718761126,-8.927597720404593,2.0008224753989886e-14,-10.234048731354854,127.99999999999994,0.9999999999999996,1.9721522630525295e-31,0.007812500000000003,0.07552083333333333,0.041666666666666664,0.041666666666666664,0.059895833333333336,0.08854166666666667,0.028645833333333332,0.046875,0.078125,0.1015625,0.041666666666666664,0.0703125,0.052083333333333336,0.06770833333333333,0.0625,0.041666666666666664,0.1015625
sis_local,3,128,16626,10.63159771383929,0.9336501314969935,0.660190339237236,10.563045427795775,8.354322162456711,1.4791794815903383e-14,-2.5340564233293756,127.99999999999994,0.9999999999999996,1.9721522630525295e-31,0.007812500000000003,0.0625,0.0625,0.07291666666666667,0.0703125,0.0546875,0.06510416666666667,0.049479166666666664,0.11458333333333333,0.078125,0.0390625,0.033854166666666664,0.08333333333333333,0.078125,0.041666666666666664,0.0390625,0.0546875
sis_local,3,128,16627,10.845004041997715,1.0350816558022542,0.7319132578995738,11.710612126393183,-1.9395000824883901,1.8778790319795152e-14,-6.130322915188905,127.99999999999994,0.9999999999999996,1.9721522630525295e-31,0.007812500000000003,0.08072916666666667,0.057291666666666664,0.06510416666666667,0.052083333333333336,0.08333333333333333,0.046875,0.036458333333333336,0.078125,0.06510416666666667,0.059895833333333336,0.046875,0.0546875,0.057291666666666664,0.0625,0.06510416666666667,0.08854166666666667
sis_local,3,256,17905,7.251365669062363,0.5348012025040664,0.3781615568773453,8.556819240065062,5.150394060820066,1.4076748697132085e-14,-1.339023824925337,255.9999999999999,0.9999999999999996,1.2393359192131863e-31,0.003906250000000002,0.0859375,0.053385416666666664,0.052083333333333336,0.07161458333333333,0.08072916666666667,0.04296875,0.046875,0.09244791666666667,0.06640625,0.05078125,0.044270833333333336,0.07421875,0.05859375,0.049479166666666664,0.05078125,0.07942708333333333
sis_local,3,256,17906,7.283362977091791,0.8466245185475634,0.598653938183778,13.545992296761014,3.696095944617653,1.3690133310378015e-14,-0.9125294668796785,255.9999999999999,0.9999999999999996,1.3173360819608693e-31,0.003906250000000002,0.06510416666666667,0.05859375,0.048177083333333336,0.06640625,0.08072916666666667,0.040364583333333336,0.0546875,0.06640625,0.06640625,0.053385416666666664,0.048177083333333336,0.08723958333333333,0.08723958333333333,0.0546875,0.061197916666666664,0.061197916666666664
sis_local,3,256,17907,7.24595523506334,0.8047248219821412,0.5690263786127093,12.87559715171426,-12.130303500674964,1.5918950167030186e-14,-10.514572413875316,255.9999999999999,0.9999999999999996,1.2263358920885724e-31,0.003906250000000002,0.06901041666666667,0.055989583333333336,0.055989583333333336,0.08203125,0.0625,0.0546875,0.048177083333333336,0.06640625,0.07552083333333333,0.053385416666666664,0.06640625,0.07552083333333333,0.06770833333333333,0.044270833333333336,0.053385416666666664,0.06901041666666667
sis_local,3,512,20465,4.892408434142954,1.0422731334191209,0.7369984004892114,23.58394881565477,-4.855415477649864,9.007457430671825e-15,-4.958214988076668,511.9999999999998,0.9999999999999996,3.386608628673816e-32,0.001953125000000001,0.07096354166666667,0.054036458333333336,0.0546875,0.07291666666666667,0.076171875,0.050130208333333336,0.068359375,0.07682291666666667,0.068359375,0.057291666666666664,0.046223958333333336,0.059895833333333336,0.068359375,0.0546875,0.049479166666666664,0.07161458333333333
