accept_ratio,num_circuits,num_passed,num_failed,max_fidelity_error,max_pauli_obs_error,mean_fidelity_error,mean_pauli_obs_error,tdvp_lr_pauli_count,enriched_lr_pauli_count,total_wall_time_s,worst_case_circuit,worst_case_family,worst_case_gate_route_summary,tdvp_route_min_margin,tdvp_near_threshold_count,enriched_route_max_margin,recommend_default,recommend_reason
0.9,618,458,156,0.013551270822927619,0.0692523101350706,0.0002878272219683391,0.002085852899695781,1073,1803,89.37905069999397,rand_n10_d16_s16,random,"[{""candidate_fidelity_error"":null,""candidate_norm_error"":null,""gate"":""rxx"",""generator_norm"":0.23548828637443414,""projected_norm"":0.0,""projected_ratio"":0.0,""reason"":""tangent-blind: projected generator nearly zero"",""route"":""pauli_enriched"",""sites"":[4,9],""tdvp_projection_accept_ratio"":0.9,""update_delta_ratio"":null},{""candidate_fidelity_error"":null,""candidate_norm_error"":null,""gate"":""rxx"",""generator_norm"":0.18525334114789438,""projected_norm"":0.07765338957537711,""projected_ratio"":0.4191740299754358,""reason"":""projection-incomplete: projected generator ratio 0.419174 below TDVP accept ratio 0.9"",""route"":""pauli_enriched"",""sites"":[1,7],""tdvp_projection_accept_ratio"":0.9,""update_delta_ratio"":null},{""candidate_fidelity_error"":null,""candidate_norm_error"":null,""gate"":""rzz"",""generator_norm"":0.24574798151056204,""projected_norm"":0.2266173340240779,""projected_ratio"":0.9221533891391823,""reason"":""projection-complete: projected generator ratio 0.922153 above TDVP accept ratio 0.9"",""route"":""tdvp"",""sites"":[6,3],""tdvp_projection_accept_ratio"":0.9,""update_delta_ratio"":null},{""candidate_fidelity_error"":null,""candidate_norm_error"":null,""gate"":""rzz"",""generator_norm"":0.10311477553085,""projected_norm"":0.09980096148217964,""projected_ratio"":0.9678628593078892,""reason"":""projection-complete: projected generator ratio 0.967863 above TDVP accept ratio 0.9"",""route"":""tdvp"",""sites"":[1,5],""tdvp_projection_accept_ratio"":0.9,""update_delta_ratio"":null},{""candidate_fidelity_error"":null,""candidate_norm_error"":null,""gate"":""rxx"",""generator_norm"":0.12211644775805561,""projected_norm"":0.03177291396950396,""projected_ratio"":0.26018537676803666,""reason"":""projection-incomplete: projected generator ratio 0.260185 below TDVP accept ratio 0.9"",""route"":""pauli_enriched"",""sites"":[4,0],""tdvp_projection_accept_ratio"":0.9,""update_delta_ratio"":null},{""candidate_fidelity_error"":null,""candidate_norm_error"":null,""gate"":""rxx"",""generator_norm"":0.09245118758481907,""projected_norm"":0.015938695935236346,""projected_ratio"":0.17240120274943396,""reason"":""projection-incomplete: projected generator ratio 0.172401 below TDVP accept ratio 0.9"",""route"":""pauli_enriched"",""sites"":[2,9],""tdvp_projection_accept_ratio"":0.9,""update_delta_ratio"":null},{""candidate_fidelity_error"":null,""candidate_norm_error"":null,""gate"":""rzz"",""generator_norm"":0.08905937264159136,""projected_norm"":0.08873780908402877,""projected_ratio"":0.9963893350242127,""reason"":""projection-complete: projected generator ratio 0.996389 above TDVP accept ratio 0.9"",""route"":""tdvp"",""sites"":[8,3],""tdvp_projection_accept_ratio"":0.9,""update_delta_ratio"":null},{""candidate_fidelity_error"":null,""candidate_norm_error"":null,""gate"":""ryy"",""generator_norm"":0.30560116153487543,""projected_norm"":0.3035638979116168,""projected_ratio"":0.9933335867801467,""reason"":""projection-complete: projected generator ratio 0.993334 above TDVP accept ratio 0.9"",""route"":""tdvp"",""sites"":[7,0],""tdvp_projection_accept_ratio"":0.9,""update_delta_ratio"":null},{""candidate_fidelity_error"":null,""candidate_norm_error"":null,""gate"":""rxx"",""generator_norm"":0.03706774412303576,""projected_norm"":0.02424233897670486,""projected_ratio"":0.6540009258788276,""reason"":""projection-incomplete: projected generator ratio 0.654001 below TDVP accept ratio 0.9"",""route"":""pauli_enriched"",""sites"":[2,6],""tdvp_projection_accept_ratio"":0.9,""update_delta_ratio"":null},{""candidate_fidelity_error"":null,""candidate_norm_error"":null,""gate"":""rzz"",""generator_norm"":0.23058843886073993,""projected_norm"":0.23058843886073985,""projected_ratio"":0.9999999999999997,""reason"":""projection-complete: projected generator ratio 1 above TDVP accept ratio 0.9"",""route"":""tdvp"",""sites"":[9,4],""tdvp_projection_accept_ratio"":0.9,""update_delta_ratio"":null},{""candidate_fidelity_error"":null,""candidate_norm_error"":null,""gate"":""rzz"",""generator_norm"":0.2751303278761884,""projected_norm"":0.2623453245744089,""projected_ratio"":0.9535311014221126,""reason"":""projection-complete: projected generator ratio 0.953531 above TDVP accept ratio 0.9"",""route"":""tdvp"",""sites"":[4,1],""tdvp_projection_accept_ratio"":0.9,""update_delta_ratio"":null},{""candidate_fidelity_error"":null,""candidate_norm_error"":null,""gate"":""ryy"",""generator_norm"":0.0148866750029083,""projected_norm"":0.014824735167548118,""projected_ratio"":0.9958392431252726,""reason"":""projection-complete: projected generator ratio 0.995839 above TDVP accept ratio 0.9"",""route"":""tdvp"",""sites"":[3,7],""tdvp_projection_accept_ratio"":0.9,""update_delta_ratio"":null},{""candidate_fidelity_error"":null,""candidate_norm_error"":null,""gate"":""rxx"",""generator_norm"":0.051277925797731716,""projected_norm"":0.03500568687032644,""projected_ratio"":0.6826658123499004,""reason"":""projection-incomplete: projected generator ratio 0.682666 below TDVP accept ratio 0.9"",""route"":""pauli_enriched"",""sites"":[0,4],""tdvp_projection_accept_ratio"":0.9,""update_delta_ratio"":null},{""candidate_fidelity_error"":null,""candidate_norm_error"":null,""gate"":""rzz"",""generator_norm"":0.33373216261669514,""projected_norm"":0.30849128520358504,""projected_ratio"":0.9243678606964224,""reason"":""projection-complete: projected generator ratio 0.924368 above TDVP accept ratio 0.9"",""route"":""tdvp"",""sites"":[5,8],""tdvp_projection_accept_ratio"":0.9,""update_delta_ratio"":null},{""candidate_fidelity_error"":null,""candidate_norm_error"":null,""gate"":""ryy"",""generator_norm"":0.07748464983422115,""projected_norm"":0.06023140392392606,""projected_ratio"":0.7773333692904529,""reason"":""projection-incomplete: projected generator ratio 0.777333 below TDVP accept ratio 0.9"",""route"":""pauli_enriched"",""sites"":[9,0],""tdvp_projection_accept_ratio"":0.9,""update_delta_ratio"":null},{""candidate_fidelity_error"":null,""candidate_norm_error"":null,""gate"":""rzz"",""generator_norm"":0.0369428066304584,""projected_norm"":0.03615252905373173,""projected_ratio"":0.9786080796558887,""reason"":""projection-complete: projected generator ratio 0.978608 above TDVP accept ratio 0.9"",""route"":""tdvp"",""sites"":[8,4],""tdvp_projection_accept_ratio"":0.9,""update_delta_ratio"":null}]",3.2000236201090715e-05,108,0.9,,
0.91,618,487,127,0.013551270822927619,0.0692523101350706,0.00016343566075675484,0.0010331428674468185,1019,1857,79.47764660001849,rand_n10_d16_s16,random,"[{""candidate_fidelity_error"":null,""candidate_norm_error"":null,""gate"":""rxx"",""generator_norm"":0.23548828637443414,""projected_norm"":0.0,""projected_ratio"":0.0,""reason"":""tangent-blind: projected generator nearly zero"",""route"":""pauli_enriched"",""sites"":[4,9],""tdvp_projection_accept_ratio"":0.91,""update_delta_ratio"":null},{""candidate_fidelity_error"":null,""candidate_norm_error"":null,""gate"":""rxx"",""generator_norm"":0.18525334114789438,""projected_norm"":0.07765338957537711,""projected_ratio"":0.4191740299754358,""reason"":""projection-incomplete: projected generator ratio 0.419174 below TDVP accept ratio 0.91"",""route"":""pauli_enriched"",""sites"":[1,7],""tdvp_projection_accept_ratio"":0.91,""update_delta_ratio"":null},{""candidate_fidelity_error"":null,""candidate_norm_error"":null,""gate"":""rzz"",""generator_norm"":0.24574798151056204,""projected_norm"":0.2266173340240779,""projected_ratio"":0.9221533891391823,""reason"":""projection-complete: projected generator ratio 0.922153 above TDVP accept ratio 0.91"",""route"":""tdvp"",""sites"":[6,3],""tdvp_projection_accept_ratio"":0.91,""update_delta_ratio"":null},{""candidate_fidelity_error"":null,""candidate_norm_error"":null,""gate"":""rzz"",""generator_norm"":0.10311477553085,""projected_norm"":0.09980096148217964,""projected_ratio"":0.9678628593078892,""reason"":""projection-complete: projected generator ratio 0.967863 above TDVP accept ratio 0.91"",""route"":""tdvp"",""sites"":[1,5],""tdvp_projection_accept_ratio"":0.91,""update_delta_ratio"":null},{""candidate_fidelity_error"":null,""candidate_norm_error"":null,""gate"":""rxx"",""generator_norm"":0.12211644775805561,""projected_norm"":0.03177291396950396,""projected_ratio"":0.26018537676803666,""reason"":""projection-incomplete: projected generator ratio 0.260185 below TDVP accept ratio 0.91"",""route"":""pauli_enriched"",""sites"":[4,0],""tdvp_projection_accept_ratio"":0.91,""update_delta_ratio"":null},{""candidate_fidelity_error"":null,""candidate_norm_error"":null,""gate"":""rxx"",""generator_norm"":0.09245118758481907,""projected_norm"":0.015938695935236346,""projected_ratio"":0.17240120274943396,""reason"":""projection-incomplete: projected generator ratio 0.172401 below TDVP accept ratio 0.91"",""route"":""pauli_enriched"",""sites"":[2,9],""tdvp_projection_accept_ratio"":0.91,""update_delta_ratio"":null},{""candidate_fidelity_error"":null,""candidate_norm_error"":null,""gate"":""rzz"",""generator_norm"":0.08905937264159136,""projected_norm"":0.08873780908402877,""projected_ratio"":0.9963893350242127,""reason"":""projection-complete: projected generator ratio 0.996389 above TDVP accept ratio 0.91"",""route"":""tdvp"",""sites"":[8,3],""tdvp_projection_accept_ratio"":0.91,""update_delta_ratio"":null},{""candidate_fidelity_error"":null,""candidate_norm_error"":null,""gate"":""ryy"",""generator_norm"":0.30560116153487543,""projected_norm"":0.3035638979116168,""projected_ratio"":0.9933335867801467,""reason"":""projection-complete: projected generator ratio 0.993334 above TDVP accept ratio 0.91"",""route"":""tdvp"",""sites"":[7,0],""tdvp_projection_accept_ratio"":0.91,""update_delta_ratio"":null},{""candidate_fidelity_error"":null,""candidate_norm_error"":null,""gate"":""rxx"",""generator_norm"":0.03706774412303576,""projected_norm"":0.02424233897670486,""projected_ratio"":0.6540009258788276,""reason"":""projection-incomplete: projected generator ratio 0.654001 below TDVP accept ratio 0.91"",""route"":""pauli_enriched"",""sites"":[2,6],""tdvp_projection_accept_ratio"":0.91,""update_delta_ratio"":null},{""candidate_fidelity_error"":null,""candidate_norm_error"":null,""gate"":""rzz"",""generator_norm"":0.23058843886073993,""projected_norm"":0.23058843886073985,""projected_ratio"":0.9999999999999997,""reason"":""projection-complete: projected generator ratio 1 above TDVP accept ratio 0.91"",""route"":""tdvp"",""sites"":[9,4],""tdvp_projection_accept_ratio"":0.91,""update_delta_ratio"":null},{""candidate_fidelity_error"":null,""candidate_norm_error"":null,""gate"":""rzz"",""generator_norm"":0.2751303278761884,""projected_norm"":0.2623453245744089,""projected_ratio"":0.9535311014221126,""reason"":""projection-complete: projected generator ratio 0.953531 above TDVP accept ratio 0.91"",""route"":""tdvp"",""sites"":[4,1],""tdvp_projection_accept_ratio"":0.91,""update_delta_ratio"":null},{""candidate_fidelity_error"":null,""candidate_norm_error"":null,""gate"":""ryy"",""generator_norm"":0.0148866750029083,""projected_norm"":0.014824735167548118,""projected_ratio"":0.9958392431252726,""reason"":""projection-complete: projected generator ratio 0.995839 above TDVP accept ratio 0.91"",""route"":""tdvp"",""sites"":[3,7],""tdvp_projection_accept_ratio"":0.91,""update_delta_ratio"":null},{""candidate_fidelity_error"":null,""candidate_norm_error"":null,""gate"":""rxx"",""generator_norm"":0.051277925797731716,""projected_norm"":0.03500568687032644,""projected_ratio"":0.6826658123499004,""reason"":""projection-incomplete: projected generator ratio 0.682666 below TDVP accept ratio 0.91"",""route"":""pauli_enriched"",""sites"":[0,4],""tdvp_projection_accept_ratio"":0.91,""update_delta_ratio"":null},{""candidate_fidelity_error"":null,""candidate_norm_error"":null,""gate"":""rzz"",""generator_norm"":0.33373216261669514,""projected_norm"":0.30849128520358504,""projected_ratio"":0.9243678606964224,""reason"":""projection-complete: projected generator ratio 0.924368 above TDVP accept ratio 0.91"",""route"":""tdvp"",""sites"":[5,8],""tdvp_projection_accept_ratio"":0.91,""update_delta_ratio"":null},{""candidate_fidelity_error"":null,""candidate_norm_error"":null,""gate"":""ryy"",""generator_norm"":0.07748464983422115,""projected_norm"":0.06023140392392606,""projected_ratio"":0.7773333692904529,""reason"":""projection-incomplete: projected generator ratio 0.777333 below TDVP accept ratio 0.91"",""route"":""pauli_enriched"",""sites"":[9,0],""tdvp_projection_accept_ratio"":0.91,""update_delta_ratio"":null},{""candidate_fidelity_error"":null,""candidate_norm_error"":null,""gate"":""rzz"",""generator_norm"":0.0369428066304584,""projected_norm"":0.03615252905373173,""projected_ratio"":0.9786080796558887,""reason"":""projection-complete: projected generator ratio 0.978608 above TDVP accept ratio 0.91"",""route"":""tdvp"",""sites"":[8,4],""tdvp_projection_accept_ratio"":0.91,""update_delta_ratio"":null}]",0.0001082683783368843,68,0.91,,
0.925,618,498,116,0.0034800199899502893,0.04099725027141299,0.00012068036223087093,0.0008430189983735559,974,1902,72.18193160000374,rand_n10_d16_s4,random,"[{""candidate_fidelity_error"":null,""candidate_norm_error"":null,""gate"":""rzz"",""generator_norm"":0.3003184714357936,""projected_norm"":0.284569624834693,""projected_ratio"":0.9475595139859134,""reason"":""projection-complete: projected generator ratio 0.94756 above TDVP accept ratio 0.925"",""route"":""tdvp"",""sites"":[9,3],""tdvp_projection_accept_ratio"":0.925,""update_delta_ratio"":null},{""candidate_fidelity_error"":null,""candidate_norm_error"":null,""gate"":""ryy"",""generator_norm"":0.16251662679588805,""projected_norm"":0.05901501495583986,""projected_ratio"":0.3631321675779025,""reason"":""projection-incomplete: projected generator ratio 0.363132 below TDVP accept ratio 0.925"",""route"":""pauli_enriched"",""sites"":[9,5],""tdvp_projection_accept_ratio"":0.925,""update_delta_ratio"":null},{""candidate_fidelity_error"":null,""candidate_norm_error"":null,""gate"":""rxx"",""generator_norm"":0.2241874624625606,""projected_norm"":0.11509428751417984,""projected_ratio"":0.5133841395497334,""reason"":""projection-incomplete: projected generator ratio 0.513384 below TDVP accept ratio 0.925"",""route"":""pauli_enriched"",""sites"":[2,9],""tdvp_projection_accept_ratio"":0.925,""update_delta_ratio"":null},{""candidate_fidelity_error"":null,""candidate_norm_error"":null,""gate"":""rxx"",""generator_norm"":0.14564142435907465,""projected_norm"":0.05173790791199867,""projected_ratio"":0.3552417050278249,""reason"":""projection-incomplete: projected generator ratio 0.355242 below TDVP accept ratio 0.925"",""route"":""pauli_enriched"",""sites"":[1,8],""tdvp_projection_accept_ratio"":0.925,""update_delta_ratio"":null},{""candidate_fidelity_error"":null,""candidate_norm_error"":null,""gate"":""rxx"",""generator_norm"":0.2948958946425416,""projected_norm"":0.29489589464254184,""projected_ratio"":1.0000000000000007,""reason"":""projection-complete: projected generator ratio 1 above TDVP accept ratio 0.925"",""route"":""tdvp"",""sites"":[9,2],""tdvp_projection_accept_ratio"":0.925,""update_delta_ratio"":null},{""candidate_fidelity_error"":null,""candidate_norm_error"":null,""gate"":""ryy"",""generator_norm"":0.013294054357023077,""projected_norm"":0.008450213479092559,""projected_ratio"":0.6356385533077364,""reason"":""projection-incomplete: projected generator ratio 0.635639 below TDVP accept ratio 0.925"",""route"":""pauli_enriched"",""sites"":[9,0],""tdvp_projection_accept_ratio"":0.925,""update_delta_ratio"":null},{""candidate_fidelity_error"":null,""candidate_norm_error"":null,""gate"":""ryy"",""generator_norm"":0.010601522434229627,""projected_norm"":0.010601522434229628,""projected_ratio"":1.0000000000000002,""reason"":""projection-complete: projected generator ratio 1 above TDVP accept ratio 0.925"",""route"":""tdvp"",""sites"":[8,5],""tdvp_projection_accept_ratio"":0.925,""update_delta_ratio"":null},{""candidate_fidelity_error"":null,""candidate_norm_error"":null,""gate"":""rzz"",""generator_norm"":0.14398797320785867,""projected_norm"":0.14397355206133908,""projected_ratio"":0.999899844784267,""reason"":""projection-complete: projected generator ratio 0.9999 above TDVP accept ratio 0.925"",""route"":""tdvp"",""sites"":[8,1],""tdvp_projection_accept_ratio"":0.925,""update_delta_ratio"":null},{""candidate_fidelity_error"":null,""candidate_norm_error"":null,""gate"":""ryy"",""generator_norm"":0.18018061933139318,""projected_norm"":0.18018061933139332,""projected_ratio"":1.0000000000000007,""reason"":""projection-complete: projected generator ratio 1 above TDVP accept ratio 0.925"",""route"":""tdvp"",""sites"":[5,2],""tdvp_projection_accept_ratio"":0.925,""update_delta_ratio"":null},{""candidate_fidelity_error"":null,""candidate_norm_error"":null,""gate"":""rxx"",""generator_norm"":0.0747241273959029,""projected_norm"":0.07472412739590285,""projected_ratio"":0.9999999999999994,""reason"":""projection-complete: projected generator ratio 1 above TDVP accept ratio 0.925"",""route"":""tdvp"",""sites"":[8,4],""tdvp_projection_accept_ratio"":0.925,""update_delta_ratio"":null},{""candidate_fidelity_error"":null,""candidate_norm_error"":null,""gate"":""rzz"",""generator_norm"":0.29088818529578364,""projected_norm"":0.29088818529578364,""projected_ratio"":1.0,""reason"":""projection-complete: projected generator ratio 1 above TDVP accept ratio 0.925"",""route"":""tdvp"",""sites"":[3,9],""tdvp_projection_accept_ratio"":0.925,""update_delta_ratio"":null},{""candidate_fidelity_error"":null,""candidate_norm_error"":null,""gate"":""ryy"",""generator_norm"":0.3103019687084181,""projected_norm"":0.3097745500498234,""projected_ratio"":0.9983003051485946,""reason"":""projection-complete: projected generator ratio 0.9983 above TDVP accept ratio 0.925"",""route"":""tdvp"",""sites"":[8,2],""tdvp_projection_accept_ratio"":0.925,""update_delta_ratio"":null},{""candidate_fidelity_error"":null,""candidate_norm_error"":null,""gate"":""rzz"",""generator_norm"":0.11801876176131934,""projected_norm"":0.1176160071059252,""projected_ratio"":0.9965873675559427,""reason"":""projection-complete: projected generator ratio 0.996587 above TDVP accept ratio 0.925"",""route"":""tdvp"",""sites"":[5,2],""tdvp_projection_accept_ratio"":0.925,""update_delta_ratio"":null},{""candidate_fidelity_error"":null,""candidate_norm_error"":null,""gate"":""rzz"",""generator_norm"":0.3477175893781527,""projected_norm"":0.34771758937815267,""projected_ratio"":0.9999999999999999,""reason"":""projection-complete: projected generator ratio 1 above TDVP accept ratio 0.925"",""route"":""tdvp"",""sites"":[6,9],""tdvp_projection_accept_ratio"":0.925,""update_delta_ratio"":null},{""candidate_fidelity_error"":null,""candidate_norm_error"":null,""gate"":""ryy"",""generator_norm"":0.1800729992171468,""projected_norm"":0.1797630727707424,""projected_ratio"":0.9982788844093685,""reason"":""projection-complete: projected generator ratio 0.998279 above TDVP accept ratio 0.925"",""route"":""tdvp"",""sites"":[2,8],""tdvp_projection_accept_ratio"":0.925,""update_delta_ratio"":null},{""candidate_fidelity_error"":null,""candidate_norm_error"":null,""gate"":""rzz"",""generator_norm"":0.31911776191232755,""projected_norm"":0.20162387904715762,""projected_ratio"":0.6318165364375754,""reason"":""projection-incomplete: projected generator ratio 0.631817 below TDVP accept ratio 0.925"",""route"":""pauli_enriched"",""sites"":[5,0],""tdvp_projection_accept_ratio"":0.925,""update_delta_ratio"":null}]",0.00038346028798652565,69,0.925,,
0.95,618,522,92,0.003154330958045848,0.024362974448613045,6.711637167448352e-05,0.0004883483743193479,900,1976,73.60580719998688,rand_n14_d16_s1,random,"[{""candidate_fidelity_error"":null,""candidate_norm_error"":null,""gate"":""ryy"",""generator_norm"":0.336516039860867,""projected_norm"":0.025776606358336965,""projected_ratio"":0.07659844793429264,""reason"":""projection-incomplete: projected generator ratio 0.0765984 below TDVP accept ratio 0.95"",""route"":""pauli_enriched"",""sites"":[0,3],""tdvp_projection_accept_ratio"":0.95,""update_delta_ratio"":null},{""candidate_fidelity_error"":null,""candidate_norm_error"":null,""gate"":""ryy"",""generator_norm"":0.0076222191265731265,""projected_norm"":0.007564794417634175,""projected_ratio"":0.9924661429978111,""reason"":""projection-complete: projected generator ratio 0.992466 above TDVP accept ratio 0.95"",""route"":""tdvp"",""sites"":[11,8],""tdvp_projection_accept_ratio"":0.95,""update_delta_ratio"":null},{""candidate_fidelity_error"":null,""candidate_norm_error"":null,""gate"":""rxx"",""generator_norm"":0.2763011035373214,""projected_norm"":0.13566761446399828,""projected_ratio"":0.49101365404308983,""reason"":""projection-incomplete: projected generator ratio 0.491014 below TDVP accept ratio 0.95"",""route"":""pauli_enriched"",""sites"":[12,2],""tdvp_projection_accept_ratio"":0.95,""update_delta_ratio"":null},{""candidate_fidelity_error"":null,""candidate_norm_error"":null,""gate"":""rxx"",""generator_norm"":0.0551678300397313,""projected_norm"":0.01771885364590633,""projected_ratio"":0.3211809062119245,""reason"":""projection-incomplete: projected generator ratio 0.321181 below TDVP accept ratio 0.95"",""route"":""pauli_enriched"",""sites"":[0,8],""tdvp_projection_accept_ratio"":0.95,""update_delta_ratio"":null},{""candidate_fidelity_error"":null,""candidate_norm_error"":null,""gate"":""ryy"",""generator_norm"":0.030849725869375788,""projected_norm"":0.007437444077422579,""projected_ratio"":0.24108622906129792,""reason"":""projection-incomplete: projected generator ratio 0.241086 below TDVP accept ratio 0.95"",""route"":""pauli_enriched"",""sites"":[0,5],""tdvp_projection_accept_ratio"":0.95,""update_delta_ratio"":null},{""candidate_fidelity_error"":null,""candidate_norm_error"":null,""gate"":""ryy"",""generator_norm"":0.19955970481787133,""projected_norm"":0.17880901676844602,""projected_ratio"":0.8960176451034366,""reason"":""projection-incomplete: projected generator ratio 0.896018 below TDVP accept ratio 0.95"",""route"":""pauli_enriched"",""sites"":[1,12],""tdvp_projection_accept_ratio"":0.95,""update_delta_ratio"":null},{""candidate_fidelity_error"":null,""candidate_norm_error"":null,""gate"":""rzz"",""generator_norm"":0.34175323085414855,""projected_norm"":0.3345162114966841,""projected_ratio"":0.9788238450902809,""reason"":""projection-complete: projected generator ratio 0.978824 above TDVP accept ratio 0.95"",""route"":""tdvp"",""sites"":[9,13],""tdvp_projection_accept_ratio"":0.95,""update_delta_ratio"":null},{""candidate_fidelity_error"":null,""candidate_norm_error"":null,""gate"":""ryy"",""generator_norm"":0.18255214920843776,""projected_norm"":0.18253120378244644,""projected_ratio"":0.9998852633284125,""reason"":""projection-complete: projected generator ratio 0.999885 above TDVP accept ratio 0.95"",""route"":""tdvp"",""sites"":[8,5],""tdvp_projection_accept_ratio"":0.95,""update_delta_ratio"":null},{""candidate_fidelity_error"":null,""candidate_norm_error"":null,""gate"":""ryy"",""generator_norm"":0.2844892028701802,""projected_norm"":0.17001401135026814,""projected_ratio"":0.5976114721930236,""reason"":""projection-incomplete: projected generator ratio 0.597611 below TDVP accept ratio 0.95"",""route"":""pauli_enriched"",""sites"":[1,9],""tdvp_projection_accept_ratio"":0.95,""update_delta_ratio"":null},{""candidate_fidelity_error"":null,""candidate_norm_error"":null,""gate"":""ryy"",""generator_norm"":0.21924442445233402,""projected_norm"":0.2192444244523339,""projected_ratio"":0.9999999999999994,""reason"":""projection-complete: projected generator ratio 1 above TDVP accept ratio 0.95"",""route"":""tdvp"",""sites"":[11,8],""tdvp_projection_accept_ratio"":0.95,""update_delta_ratio"":null},{""candidate_fidelity_error"":null,""candidate_norm_error"":null,""gate"":""ryy"",""generator_norm"":0.1749871620475921,""projected_norm"":0.04854268505014335,""projected_ratio"":0.27740712222614916,""reason"":""projection-incomplete: projected generator ratio 0.277407 below TDVP accept ratio 0.95"",""route"":""pauli_enriched"",""sites"":[13,7],""tdvp_projection_accept_ratio"":0.95,""update_delta_ratio"":null},{""candidate_fidelity_error"":null,""candidate_norm_error"":null,""gate"":""rzz"",""generator_norm"":0.1350035626346563,""projected_norm"":0.0970928055366923,""projected_ratio"":0.7191869876755974,""reason"":""projection-incomplete: projected generator ratio 0.719187 below TDVP accept ratio 0.95"",""route"":""pauli_enriched"",""sites"":[12,0],""tdvp_projection_accept_ratio"":0.95,""update_delta_ratio"":null},{""candidate_fidelity_error"":null,""candidate_norm_error"":null,""gate"":""rzz"",""generator_norm"":0.28490560513644014,""projected_norm"":0.2849056051364401,""projected_ratio"":0.9999999999999998,""reason"":""projection-complete: projected generator ratio 1 above TDVP accept ratio 0.95"",""route"":""tdvp"",""sites"":[8,11],""tdvp_projection_accept_ratio"":0.95,""update_delta_ratio"":null},{""candidate_fidelity_error"":null,""candidate_norm_error"":null,""gate"":""rxx"",""generator_norm"":0.015981366379480166,""projected_norm"":0.01373235217721304,""projected_ratio"":0.8592727211889198,""reason"":""projection-incomplete: projected generator ratio 0.859273 below TDVP accept ratio 0.95"",""route"":""pauli_enriched"",""sites"":[13,6],""tdvp_projection_accept_ratio"":0.95,""update_delta_ratio"":null},{""candidate_fidelity_error"":null,""candidate_norm_error"":null,""gate"":""rzz"",""generator_norm"":0.26122967614986575,""projected_norm"":0.17124433217437188,""projected_ratio"":0.6555316941714161,""reason"":""projection-incomplete: projected generator ratio 0.655532 below TDVP accept ratio 0.95"",""route"":""pauli_enriched"",""sites"":[11,5],""tdvp_projection_accept_ratio"":0.95,""update_delta_ratio"":null},{""candidate_fidelity_error"":null,""candidate_norm_error"":null,""gate"":""ryy"",""generator_norm"":0.22931661470144726,""projected_norm"":0.22931661470144732,""projected_ratio"":1.0000000000000002,""reason"":""projection-complete: projected generator ratio 1 above TDVP accept ratio 0.95"",""route"":""tdvp"",""sites"":[7,11],""tdvp_projection_accept_ratio"":0.95,""update_delta_ratio"":null}]",0.00045398273521357613,68,0.95,,
