stage,family,model,n_qubits,alpha,max_range,initial_state,dt,theta_max,theta_mean,theta_min_nonzero,layers,method,circuit_name,circuit_key,svd_threshold,max_bond_dim_setting,reference_method,fidelity_error,observable_error_max,observable_error_mean,energy_error,energy_density_error,magnetization_x_error,magnetization_z_error,long_range_corr_error_max,practical_pass_1e3,practical_pass_1e2,max_bond_observed,mean_bond_observed,sum_chi_cubed,wall_time_s,num_swaps_inserted,num_lr_pauli_gates,num_nn_2q_gates,tdvp_lr_pauli_count,enriched_lr_pauli_count,tdvp_lr_pauli_fraction,status
0,power_law_ising,ising,12,1.5,5,plus,0.00125,0.0025,0.0009940935415111978,0.00022360679774997898,10,local_generator_tdvp,pl_s0_n12_a1.5_R5_h0.5_dt0.00125_L10_plus,pl_n12_a1.5_R5_h0.5_dt0.00125_plus,1e-09,48,qiskit_statevector,2.631977316203127e-06,0.0019402627188813111,0.0005106091950191233,0.0019402627188813111,4.3116949308473585e-05,4.37703264744016e-08,2.608968727965896e-06,0.0005670135678513917,False,True,28,11.727272727272727,57189.0,6.110140900011174,1600,340,0,340,0,1.0,ok
0,power_law_ising,ising,12,1.5,5,plus,0.00125,0.0025,0.0009940935415111978,0.00022360679774997898,10,tebd_swaps,pl_s0_n12_a1.5_R5_h0.5_dt0.00125_L10_plus,pl_n12_a1.5_R5_h0.5_dt0.00125_plus,1e-09,48,qiskit_statevector,0.010517891940278745,0.01613479580601733,0.006061625474918096,0.01613479580601733,0.00035855101791149626,0.008882063476409519,0.0014979626464278453,0.0034347544278242924,False,False,48,15.545454545454545,182511.0,3.9346145000017714,1600,340,0,0,0,0.0,ok
0,power_law_ising,ising,12,1.5,5,plus,0.00125,0.0025,0.0009940935415111978,0.00022360679774997898,10,local_generator_tdvp,pl_s0_n12_a1.5_R5_h0.5_dt0.00125_L10_plus,pl_n12_a1.5_R5_h0.5_dt0.00125_plus,1e-09,64,qiskit_statevector,2.631977316203127e-06,0.0019402627188813111,0.0005106091950191233,0.0019402627188813111,4.3116949308473585e-05,4.37703264744016e-08,2.608968727965896e-06,0.0005670135678513917,False,True,28,11.727272727272727,57189.0,5.729864700027974,1600,340,0,340,0,1.0,ok
0,power_law_ising,ising,12,1.5,5,plus,0.00125,0.0025,0.0009940935415111978,0.00022360679774997898,10,tebd_swaps,pl_s0_n12_a1.5_R5_h0.5_dt0.00125_L10_plus,pl_n12_a1.5_R5_h0.5_dt0.00125_plus,1e-09,64,qiskit_statevector,1.4248050339560336e-07,0.0017940860792248553,0.0004784525315176223,0.0017940860792248553,3.9868579538330105e-05,1.4300678865541983e-06,2.1205430765974147e-06,0.0005547573878617745,False,True,41,13.727272727272727,119629.0,3.0658352999889757,1600,340,0,0,0,0.0,ok
0,power_law_ising,ising,12,1.5,5,random_product,0.00125,0.0025,0.0009940935415111978,0.00022360679774997898,10,local_generator_tdvp,pl_s0_n12_a1.5_R5_h0.5_dt0.00125_L10_random_product,pl_n12_a1.5_R5_h0.5_dt0.00125_random_product,1e-09,8,qiskit_statevector,5.278817133969049e-06,0.9411266985479778,0.26486776646185717,0.9411266985479778,0.020913926634399505,3.224197895751457e-05,1.677425375631869e-05,0.36224919089419455,False,False,8,6.090909090909091,3559.0,6.554161800013389,1600,340,0,340,0,1.0,ok
0,power_law_ising,ising,12,1.5,5,random_product,0.00125,0.0025,0.0009940935415111978,0.00022360679774997898,10,tebd_swaps,pl_s0_n12_a1.5_R5_h0.5_dt0.00125_L10_random_product,pl_n12_a1.5_R5_h0.5_dt0.00125_random_product,1e-09,8,qiskit_statevector,0.29084046204667335,0.6556923965537689,0.20321279272378137,0.6556923965537689,0.014570942145639306,0.01519021163843566,0.07090319480284712,0.259707218478216,False,False,8,6.090909090909091,3559.0,2.1613044000114314,1600,340,0,0,0,0.0,ok
0,power_law_ising,ising,12,1.5,5,random_product,0.00125,0.0025,0.0009940935415111978,0.00022360679774997898,10,local_generator_tdvp,pl_s0_n12_a1.5_R5_h0.5_dt0.00125_L10_random_product,pl_n12_a1.5_R5_h0.5_dt0.00125_random_product,1e-09,12,qiskit_statevector,2.233270168905399e-06,0.9408059511914786,0.2647732393759782,0.9408059511914786,0.02090679891536619,1.2306300422329497e-05,4.5357587726557735e-06,0.3621366047138509,False,False,12,7.818181818181818,9242.0,5.562915999995312,1600,340,0,340,0,1.0,ok
0,power_law_ising,ising,12,1.5,5,random_product,0.00125,0.0025,0.0009940935415111978,0.00022360679774997898,10,tebd_swaps,pl_s0_n12_a1.5_R5_h0.5_dt0.00125_L10_random_product,pl_n12_a1.5_R5_h0.5_dt0.00125_random_product,1e-09,12,qiskit_statevector,0.2857101160985318,0.2945176864110914,0.12691964959186341,0.2945176864110914,0.006544837475802031,0.022708110989766758,0.060971457767565074,0.24985615531509178,False,False,12,7.909090909090909,9411.0,2.3346776999824215,1600,340,0,0,0,0.0,ok
0,power_law_ising,ising,12,1.5,5,random_product,0.00125,0.0025,0.0009940935415111978,0.00022360679774997898,10,local_generator_tdvp,pl_s0_n12_a1.5_R5_h0.5_dt0.00125_L10_random_product,pl_n12_a1.5_R5_h0.5_dt0.00125_random_product,1e-09,16,qiskit_statevector,1.9932245554077355e-06,0.9408615395707405,0.26478103283934046,0.9408615395707405,0.02090803421268312,3.6697174149585843e-06,4.566163767899534e-06,0.36212735453209594,False,False,16,9.272727272727273,18390.0,5.733609799994156,1600,340,0,340,0,1.0,ok
0,power_law_ising,ising,12,1.5,5,random_product,0.00125,0.0025,0.0009940935415111978,0.00022360679774997898,10,tebd_swaps,pl_s0_n12_a1.5_R5_h0.5_dt0.00125_L10_random_product,pl_n12_a1.5_R5_h0.5_dt0.00125_random_product,1e-09,16,qiskit_statevector,0.13526838729805923,0.6180612064665914,0.19783795635850931,0.6180612064665914,0.013734693477035362,0.0093027112193962,0.02812137990805519,0.3199697907214685,False,False,16,9.636363636363637,20296.0,2.4124510000110604,1600,340,0,0,0,0.0,ok
