circuit_name,method,n_qubits,depth,fidelity_error,pauli_obs_max_error,pauli_obs_mean_error,pauli_obs_l2_error,worst_observable,max_bond_before,max_bond_after_expansion,max_bond_final,mean_bond_final,sum_chi_cubed,wall_time_s,projected_ratio_before_expansion,projection_defect_before_expansion,projected_ratio_after_expansion,projection_defect_after_expansion,state_delta_from_expansion,route_summary
rand_n8_d4_s1,current_projection_defect_router,8,4,4.440892098500626e-16,1.3322676295501878e-15,4.652607213636886e-16,3.691384689069679e-15,Z(6),2,,4,3.142857142857143,280.0,0.015369000000646338,,,,,,
rand_n8_d4_s1,exact_pauli_enrichment,8,4,4.440892098500626e-16,1.3322676295501878e-15,4.652607213636886e-16,3.691384689069679e-15,Z(6),2,,4,3.142857142857143,280.0,0.011627800005953759,,,,,,
rand_n8_d4_s1,subspace_expanded_tdvp,8,4,0.0017623646300436446,0.01587427166523009,0.0006763480900770431,0.016407469347139554,X(1),2,2,4,2.5714285714285716,168.0,0.031159899983322248,0.43374903638208834,0.5662509636179116,0.9999999999999994,5.551115123125783e-16,1.3322676295501878e-15,
rand_n8_d4_s2,plain_tdvp,8,4,0.10981685531910612,0.20737557768213788,0.02853011671950408,0.35269089297350814,Z(7),2,,4,2.5714285714285716,168.0,0.01524119998794049,,,,,,
rand_n8_d4_s2,current_projection_defect_router,8,4,0.0,1.3322676295501878e-15,3.6794536273029275e-16,2.8740032169868345e-15,Z(1),2,,4,3.142857142857143,280.0,0.014958600018871948,,,,,,
rand_n8_d4_s2,exact_pauli_enrichment,8,4,0.0,1.3322676295501878e-15,3.6794536273029275e-16,2.8740032169868345e-15,Z(1),2,,4,3.142857142857143,280.0,0.010531900014029816,,,,,,
rand_n8_d4_s2,subspace_expanded_tdvp,8,4,0.00018639511004980847,0.00040364814797466675,4.511386225826938e-05,0.000690543694114254,Z(0),2,2,4,3.142857142857143,280.0,0.031789899978321046,0.3428393183407857,0.6571606816592144,1.0571370763530983,0.0,0.0,
rand_n8_d4_s3,plain_tdvp,8,4,0.11984566766353566,0.14687071567171828,0.028657374337678666,0.31616396901698474,Z(0),2,,3,2.2857142857142856,94.0,0.01919140000245534,,,,,,
rand_n8_d4_s3,current_projection_defect_router,8,4,0.0,1.1102230246251565e-15,2.8935635588567184e-16,2.4787682090047023e-15,Z(4),2,,8,4.285714285714286,1176.0,0.01691249999566935,,,,,,
rand_n8_d4_s3,exact_pauli_enrichment,8,4,0.0,8.881784197001252e-16,2.40555701705261e-16,1.9623829930870013e-15,Z(4),2,,8,4.285714285714286,1176.0,0.011493800004245713,,,,,,
rand_n8_d4_s3,subspace_expanded_tdvp,8,4,0.07279951506181359,0.14688326380375882,0.016344246721330315,0.25578705665749957,Z(0),2,2,4,2.857142857142857,224.0,0.03127940002013929,0.3981620498589227,0.6018379501410773,0.3981620498589227,0.6018379501410773,0.0,
rand_n8_d4_s4,plain_tdvp,8,4,0.1378744295543145,0.2648623084960955,0.03793554949697745,0.4833367929322045,Z(7),2,,2,2.0,56.0,0.01755229997797869,,,,,,
rand_n8_d4_s4,current_projection_defect_router,8,4,0.0,1.4432899320127035e-15,4.2838036881551357e-16,3.1775066494436906e-15,Z(0),2,,4,2.2857142857142856,112.0,0.01644600002327934,,,,,,
