family,n_qubits,depth,seed,angle_regime,method,chi_max,tdvp_sweeps,svd_threshold,lanczos_tol,reference_type,reference_available,reference_chi,reference_sweeps,wall_time_s,peak_bond_dim,mean_bond_dim,final_max_bond_dim,num_truncations,hit_chi_max,norm_error_or_norm_drift,fidelity_to_reference,infidelity_to_reference,fidelity_direct,fidelity_bit_reversed,observable_error_direct,observable_error_bit_reversed,reference_convention_used,mean_abs_observable_error,max_abs_observable_error,rms_observable_error,energy_error,status,error_message,case_id,num_swaps_inserted,tdvp_lr_count,enriched_lr_count,total_gates,nn_gate_count,lr_gate_count,tebd_direct_gate_count,tebd_swap_gate_count,tdvp_lr_gate_count,skipped_or_exact_lr_gate_count,lr_gate_pairs,mean_abs_error_z_single,max_abs_error_z_single,mean_abs_error_x_single,max_abs_error_x_single,mean_abs_error_y_single,max_abs_error_y_single,mean_abs_error_zz_nn,max_abs_error_zz_nn,mean_abs_error_zz_lr,max_abs_error_zz_lr,fidelity_observable_consistency_warning,tdvp_padding_dim,tdvp_padding_noise,padding_applied,padded_bonds_count,max_bond_dim_before_padding,max_bond_dim_after_padding,mean_bond_dim_after_padding,peak_bond_dim_before_first_lr,peak_bond_dim_after_first_lr,sweep_scan_enabled
nn_brickwork,8,4,0,small,tebd_swap,16,1,1e-10,1e-08,exact_statevector,True,,,0.04277430003276095,8,4.571428571428571,8,0,False,,0.9999999999458837,5.411626702311878e-11,0.9999999999458837,0.9817018941866918,1.9904823294258564e-07,0.052376747191457136,direct,1.1493941900391023e-08,1.9904823294258564e-07,4.1402649720350945e-08,,ok,,nn_brickwork_n8_d4_s0_small,0,0,0,28,28,0,28,0,0,0,[],6.093758310454778e-16,1.396886079030324e-15,5.019875071177182e-10,9.90928228361554e-10,2.329950468671349e-16,4.2630829422130034e-16,5.696772091947147e-08,1.9904823294258564e-07,0.0,0.0,,,0.0,False,0,,,,,,False
nn_brickwork,8,4,0,small,hybrid_tdvp_unpadded,16,1,1e-10,1e-08,exact_statevector,True,,,0.0438401999999769,8,4.571428571428571,8,0,False,,0.9999999999458837,5.411626702311878e-11,0.9999999999458837,0.9817018941866918,1.9904823294258564e-07,0.052376747191457136,direct,1.1493941900391023e-08,1.9904823294258564e-07,4.1402649720350945e-08,,ok,,nn_brickwork_n8_d4_s0_small,0,0,0,28,28,0,28,0,0,0,[],6.093758310454778e-16,1.396886079030324e-15,5.019875071177182e-10,9.90928228361554e-10,2.329950468671349e-16,4.2630829422130034e-16,5.696772091947147e-08,1.9904823294258564e-07,0.0,0.0,,,0.0,False,0,,,,,,False
nn_brickwork,8,4,0,small,hybrid_tdvp_padded4,16,1,1e-10,1e-08,exact_statevector,True,,,0.03476549999322742,8,4.571428571428571,8,0,False,,0.9999999999458837,5.411626702311878e-11,0.9999999999458837,0.9817018941866918,1.9904823294258564e-07,0.052376747191457136,direct,1.1493941900391023e-08,1.9904823294258564e-07,4.1402649720350945e-08,,ok,,nn_brickwork_n8_d4_s0_small,0,0,0,28,28,0,28,0,0,0,[],6.093758310454778e-16,1.396886079030324e-15,5.019875071177182e-10,9.90928228361554e-10,2.329950468671349e-16,4.2630829422130034e-16,5.696772091947147e-08,1.9904823294258564e-07,0.0,0.0,,4,0.0,False,0,,,,,,False
nn_brickwork,8,4,0,small,tebd_swap,32,1,1e-10,1e-08,exact_statevector,True,,,0.0446034999913536,8,4.571428571428571,8,0,False,,0.9999999999458837,5.411626702311878e-11,0.9999999999458837,0.9817018941866918,1.9904823294258564e-07,0.052376747191457136,direct,1.1493941900391023e-08,1.9904823294258564e-07,4.1402649720350945e-08,,ok,,nn_brickwork_n8_d4_s0_small,0,0,0,28,28,0,28,0,0,0,[],6.093758310454778e-16,1.396886079030324e-15,5.019875071177182e-10,9.90928228361554e-10,2.329950468671349e-16,4.2630829422130034e-16,5.696772091947147e-08,1.9904823294258564e-07,0.0,0.0,,,0.0,False,0,,,,,,False
nn_brickwork,8,4,0,small,hybrid_tdvp_unpadded,32,1,1e-10,1e-08,exact_statevector,True,,,0.04713700001593679,8,4.571428571428571,8,0,False,,0.9999999999458837,5.411626702311878e-11,0.9999999999458837,0.9817018941866918,1.9904823294258564e-07,0.052376747191457136,direct,1.1493941900391023e-08,1.9904823294258564e-07,4.1402649720350945e-08,,ok,,nn_brickwork_n8_d4_s0_small,0,0,0,28,28,0,28,0,0,0,[],6.093758310454778e-16,1.396886079030324e-15,5.019875071177182e-10,9.90928228361554e-10,2.329950468671349e-16,4.2630829422130034e-16,5.696772091947147e-08,1.9904823294258564e-07,0.0,0.0,,,0.0,False,0,,,,,,False
nn_brickwork,8,4,0,small,hybrid_tdvp_padded4,32,1,1e-10,1e-08,exact_statevector,True,,,0.04301249998388812,8,4.571428571428571,8,0,False,,0.9999999999458837,5.411626702311878e-11,0.9999999999458837,0.9817018941866918,1.9904823294258564e-07,0.052376747191457136,direct,1.1493941900391023e-08,1.9904823294258564e-07,4.1402649720350945e-08,,ok,,nn_brickwork_n8_d4_s0_small,0,0,0,28,28,0,28,0,0,0,[],6.093758310454778e-16,1.396886079030324e-15,5.019875071177182e-10,9.90928228361554e-10,2.329950468671349e-16,4.2630829422130034e-16,5.696772091947147e-08,1.9904823294258564e-07,0.0,0.0,,4,0.0,False,0,,,,,,False
nn_brickwork,8,4,0,small,tebd_swap,64,1,1e-10,1e-08,exact_statevector,True,,,0.03770849999273196,8,4.571428571428571,8,0,False,,0.9999999999458837,5.411626702311878e-11,0.9999999999458837,0.9817018941866918,1.9904823294258564e-07,0.052376747191457136,direct,1.1493941900391023e-08,1.9904823294258564e-07,4.1402649720350945e-08,,ok,,nn_brickwork_n8_d4_s0_small,0,0,0,28,28,0,28,0,0,0,[],6.093758310454778e-16,1.396886079030324e-15,5.019875071177182e-10,9.90928228361554e-10,2.329950468671349e-16,4.2630829422130034e-16,5.696772091947147e-08,1.9904823294258564e-07,0.0,0.0,,,0.0,False,0,,,,,,False
nn_brickwork,8,4,0,small,hybrid_tdvp_unpadded,64,1,1e-10,1e-08,exact_statevector,True,,,0.05626720003783703,8,4.571428571428571,8,0,False,,0.9999999999458837,5.411626702311878e-11,0.9999999999458837,0.9817018941866918,1.9904823294258564e-07,0.052376747191457136,direct,1.1493941900391023e-08,1.9904823294258564e-07,4.1402649720350945e-08,,ok,,nn_brickwork_n8_d4_s0_small,0,0,0,28,28,0,28,0,0,0,[],6.093758310454778e-16,1.396886079030324e-15,5.019875071177182e-10,9.90928228361554e-10,2.329950468671349e-16,4.2630829422130034e-16,5.696772091947147e-08,1.9904823294258564e-07,0.0,0.0,,,0.0,False,0,,,,,,False
nn_brickwork,8,4,0,small,hybrid_tdvp_padded4,64,1,1e-10,1e-08,exact_statevector,True,,,0.03525349998380989,8,4.571428571428571,8,0,False,,0.9999999999458837,5.411626702311878e-11,0.9999999999458837,0.9817018941866918,1.9904823294258564e-07,0.052376747191457136,direct,1.1493941900391023e-08,1.9904823294258564e-07,4.1402649720350945e-08,,ok,,nn_brickwork_n8_d4_s0_small,0,0,0,28,28,0,28,0,0,0,[],6.093758310454778e-16,1.396886079030324e-15,5.019875071177182e-10,9.90928228361554e-10,2.329950468671349e-16,4.2630829422130034e-16,5.696772091947147e-08,1.9904823294258564e-07,0.0,0.0,,4,0.0,False,0,,,,,,False
nn_brickwork,8,4,0,medium,tebd_swap,16,1,1e-10,1e-08,exact_statevector,True,,,0.047263799991924316,8,5.142857142857143,8,0,False,,1.0,0.0,1.0,0.8080116287268142,1.8908485888147197e-15,0.49324576072728493,direct,6.463053059005805e-16,1.8908485888147197e-15,7.329509639248872e-16,,ok,,nn_brickwork_n8_d4_s0_medium,0,0,0,28,28,0,28,0,0,0,[],6.066111155056397e-16,1.547373340571312e-15,1.0824674490095276e-15,1.2212453270876722e-15,4.1362312880321994e-16,9.818534874028728e-16,7.15201707381295e-16,1.8908485888147197e-15,0.0,0.0,,,0.0,False,0,,,,,,False
