case_id,family,n_qubits,depth,seed,angle_regime,chi_max,tdvp_sweeps,tdvp_padding_dim,tdvp_mean_obs_error,tebd_mean_obs_error,tdvp_error_over_tebd_error,tebd_error_over_tdvp_error,tdvp_peak_chi,tebd_peak_chi,tdvp_peak_chi_over_tebd_peak_chi,tdvp_time_over_tebd_time,tdvp_hit_chi_max,tebd_hit_chi_max,outcome
random_all_to_all_n16_d4_s1_medium,random_all_to_all,16,4,1,medium,16,1,,0.01785828719220533,0.023688699818757982,1.3264821852062876,0.7538736751632177,6,16,0.375,1.3362899169982028,False,True,similar
random_all_to_all_n16_d4_s1_medium,random_all_to_all,16,4,1,medium,32,1,,0.01785828719220533,0.007189756230554093,0.40260054915525334,2.4838515548431945,6,32,0.1875,1.5751392280770242,False,True,tebd_wins
random_all_to_all_n16_d4_s1_medium,random_all_to_all,16,4,1,medium,64,1,,0.01785828719220533,2.3163150455182842e-15,1.2970533067299393e-13,7709783359028.982,6,64,0.09375,0.6850692760442958,False,True,tebd_wins
random_all_to_all_n16_d4_s2_small,random_all_to_all,16,4,2,small,16,1,,0.003948062836769131,0.002153034796196726,0.5453395463073852,1.8337199397535378,6,16,0.375,1.5649974940986147,False,True,similar
random_all_to_all_n16_d4_s2_small,random_all_to_all,16,4,2,small,32,1,,0.003948062836769131,0.0013105546105931763,0.3319487720376962,3.0125130268186076,6,32,0.1875,0.7624518121375601,False,True,tebd_wins
random_all_to_all_n16_d4_s2_small,random_all_to_all,16,4,2,small,64,1,,0.003948062836769131,3.3650912528897644e-14,8.523398415926841e-12,117324094357.87933,6,64,0.09375,0.16602086909841055,False,True,tebd_wins
random_all_to_all_n16_d4_s2_medium,random_all_to_all,16,4,2,medium,16,1,,0.07702865256553988,0.03806477895051157,0.4941638946380911,2.0236201204710964,3,16,0.1875,2.5221119400276577,False,True,tebd_wins
random_all_to_all_n16_d4_s2_medium,random_all_to_all,16,4,2,medium,32,1,,0.07702865256553988,0.017456004281596823,0.22661702756314436,4.412731076535548,3,32,0.09375,0.33403191036850116,False,True,tebd_wins
random_all_to_all_n16_d4_s2_medium,random_all_to_all,16,4,2,medium,64,1,,0.07702865256553988,3.710625442939795e-15,4.8172015468953027e-14,20758940440108.89,3,64,0.046875,0.303019366048885,False,True,tebd_wins
random_all_to_all_n16_d8_s0_small,random_all_to_all,16,8,0,small,16,1,,0.011110800633705105,0.013700493414221707,1.2330788631613687,0.8109781376320075,16,16,1.0,1.5400607084184306,True,True,similar
random_all_to_all_n16_d8_s0_small,random_all_to_all,16,8,0,small,32,1,,0.011179775409119118,0.005845300694660656,0.5228459857872244,1.9126091185233973,32,32,1.0,0.574667062983636,True,True,similar
random_all_to_all_n16_d8_s0_small,random_all_to_all,16,8,0,small,64,1,,0.011163085174330399,0.0042274632106554825,0.37870025576590305,2.6406108387160923,36,64,0.5625,0.05641916587968675,False,True,tebd_wins
random_all_to_all_n16_d8_s0_medium,random_all_to_all,16,8,0,medium,16,1,,0.16642217144845653,0.09404586834451302,0.5651042017177408,1.769585143696174,16,16,1.0,2.403492216044641,True,True,similar
random_all_to_all_n16_d8_s0_medium,random_all_to_all,16,8,0,medium,32,1,,0.17042744550343544,0.06035752319860488,0.3541537750584204,2.823632191510714,32,32,1.0,1.3053446685911896,True,True,tebd_wins
