angle_regime,num_comparisons,tdvp_win_fraction,tebd_win_fraction,mean_tebd_over_tdvp_error
medium,324,0.040123456790123455,0.7098765432098766,13486510746162.982
small,324,0.08333333333333333,0.7067901234567902,965766400561.8947
