family,angle_regime,n_qubits,depth,chi_max,dominant_outcome,tdvp_win_fraction,tebd_win_fraction,similar_fraction,both_fail_fraction,mean_tdvp_error_over_tebd_error,mean_tdvp_time_over_tebd_time,mean_tdvp_peak_chi_over_tebd_peak_chi,chi_saturation_fraction_tdvp,chi_saturation_fraction_tebd,interpretation
dense_long_range,small,16,4,32,tebd_wins,0.0,1.0,0.0,0.0,7.407083617252813e-13,2.01631628374988,0.15625,0.0,0.6666666666666666,TEBD preferable: TEBD is faster and equally/more accurate
dense_long_range,small,16,4,64,tebd_wins,0.0,1.0,0.0,0.0,7.407083617252813e-13,2.4295069988328684,0.15625,0.0,0.0,TEBD preferable: TEBD is faster and equally/more accurate
dense_long_range,small,16,8,16,similar,0.0,0.3333333333333333,0.6666666666666666,0.0,0.44232404679017157,1.5826148959929343,0.3958333333333333,0.0,1.0,TEBD preferable: TEBD is faster and equally/more accurate
dense_long_range,small,16,8,32,tebd_wins,0.0,0.6666666666666666,0.3333333333333333,0.0,0.13820455109421845,0.7920758971408901,0.19791666666666666,0.0,1.0,TEBD preferable: TEBD is faster and equally/more accurate
dense_long_range,small,16,8,64,tebd_wins,0.0,1.0,0.0,0.0,1.1791168793670219e-07,0.31748802571677076,0.09895833333333333,0.0,1.0,TEBD preferable: TEBD is faster and equally/more accurate
dense_long_range,small,8,4,16,tebd_wins,0.0,1.0,0.0,0.0,7.413309621250813e-13,1.8883535060617629,0.4375,0.0,0.3333333333333333,TEBD preferable: TEBD is faster and equally/more accurate
dense_long_range,small,8,4,32,tebd_wins,0.0,1.0,0.0,0.0,7.413309621250813e-13,1.9932080879980367,0.4375,0.0,0.0,TEBD preferable: TEBD is faster and equally/more accurate
dense_long_range,small,8,4,64,tebd_wins,0.0,1.0,0.0,0.0,7.413309621250813e-13,2.5011731486941264,0.4375,0.0,0.0,TEBD preferable: TEBD is faster and equally/more accurate
dense_long_range,small,8,8,16,tebd_wins,0.0,1.0,0.0,0.0,5.417120059615954e-13,2.4769263467869793,0.75,0.6666666666666666,1.0,TEBD preferable: TEBD is faster and equally/more accurate
dense_long_range,small,8,8,32,tebd_wins,0.0,1.0,0.0,0.0,5.417120059615954e-13,2.425936931358646,0.75,0.0,0.0,TEBD preferable: TEBD is faster and equally/more accurate
dense_long_range,small,8,8,64,tebd_wins,0.0,1.0,0.0,0.0,5.417120059615954e-13,2.298570106856194,0.75,0.0,0.0,TEBD preferable: TEBD is faster and equally/more accurate
flattened_2d_grid,medium,12,4,16,tebd_wins,0.0,1.0,0.0,0.0,3.293368357775171e-14,2.0743118343518083,1.0,1.0,1.0,TEBD preferable: TEBD is faster and equally/more accurate
flattened_2d_grid,medium,12,4,32,tebd_wins,0.0,1.0,0.0,0.0,3.3215901332311653e-14,2.7651922953694346,2.0,1.0,0.0,TEBD preferable: TEBD is faster and equally/more accurate
flattened_2d_grid,medium,12,4,64,tebd_wins,0.0,1.0,0.0,0.0,3.3215901332311653e-14,3.400212050099745,2.0,0.0,0.0,TEBD preferable: TEBD is faster and equally/more accurate
