family,num_comparisons,tdvp_win_fraction,tebd_win_fraction,similar_fraction,both_fail_fraction,mean_tebd_over_tdvp_error,mean_tdvp_time_over_tebd,mean_tdvp_peak_chi_over_tebd
dense_long_range,108,0.009259259259259259,0.8888888888888888,0.10185185185185185,0.0,9444481855329.914,1.877200494084219,0.4838284465020576
flattened_2d_grid,108,0.0,1.0,0.0,0.0,12807604139528.285,3.1485877513829528,1.7060185185185186
nn_brickwork,108,0.0,0.0,1.0,0.0,0.9782784342173593,1.1719114528160741,1.0
periodic_1d,108,0.0,1.0,0.0,0.0,7883738629742.691,1.1703864228747112,0.5
random_all_to_all,108,0.027777777777777776,0.8148148148148148,0.1574074074074074,0.0,10560617393323.66,1.5745411523815518,0.6182002314814815
sparse_long_range,108,0.3333333333333333,0.5462962962962963,0.12037037037037036,0.0,2660389422249.094,2.5224743739396702,0.967200062356019
