case_id,family,n_qubits,depth,seed,angle_regime,chi_max,tdvp_sweeps,method,padding_dim,fidelity_to_reference,infidelity_to_reference,mean_abs_observable_error,max_abs_observable_error,rms_observable_error,wall_time_s,peak_bond_dim,mean_bond_dim,hit_chi_max,error_ratio_vs_unpadded,infidelity_ratio_vs_unpadded,fidelity_gain_vs_unpadded,time_ratio_vs_unpadded,peak_chi_ratio_vs_unpadded,classification
nn_brickwork_n8_d4_s1_medium,nn_brickwork,8,4,1,medium,16,1,hybrid_tdvp_padded4,4,1.0,0.0,7.028263140124962e-16,2.220446049250313e-15,7.578795591946422e-16,0.028382599994074553,8.0,5.142857142857143,False,1.0,1.0,0.0,0.8656002675967154,1.0,padding_neutral
nn_brickwork_n8_d4_s1_medium,nn_brickwork,8,4,1,medium,16,1,hybrid_tdvp_unpadded,none,1.0,0.0,7.028263140124962e-16,2.220446049250313e-15,7.578795591946422e-16,0.0327895000227727,8.0,5.142857142857143,False,1.0,1.0,0.0,1.0,1.0,padding_baseline
nn_brickwork_n8_d4_s1_medium,nn_brickwork,8,4,1,medium,32,1,hybrid_tdvp_padded4,4,1.0,0.0,7.028263140124962e-16,2.220446049250313e-15,7.578795591946422e-16,0.04478480003308505,8.0,5.142857142857143,False,1.0,1.0,0.0,1.0039274069610766,1.0,padding_neutral
nn_brickwork_n8_d4_s1_medium,nn_brickwork,8,4,1,medium,32,1,hybrid_tdvp_unpadded,none,1.0,0.0,7.028263140124962e-16,2.220446049250313e-15,7.578795591946422e-16,0.04460959997959435,8.0,5.142857142857143,False,1.0,1.0,0.0,1.0,1.0,padding_baseline
nn_brickwork_n8_d4_s1_medium,nn_brickwork,8,4,1,medium,64,1,hybrid_tdvp_padded4,4,1.0,0.0,7.028263140124962e-16,2.220446049250313e-15,7.578795591946422e-16,0.03511870000511408,8.0,5.142857142857143,False,1.0,1.0,0.0,1.331529836816128,1.0,padding_neutral
nn_brickwork_n8_d4_s1_medium,nn_brickwork,8,4,1,medium,64,1,hybrid_tdvp_unpadded,none,1.0,0.0,7.028263140124962e-16,2.220446049250313e-15,7.578795591946422e-16,0.026374700013548136,8.0,5.142857142857143,False,1.0,1.0,0.0,1.0,1.0,padding_baseline
nn_brickwork_n8_d4_s2_small,nn_brickwork,8,4,2,small,16,1,hybrid_tdvp_padded4,4,0.9999999999668727,3.312727869797527e-11,9.76720313200644e-09,1.7595574718781704e-07,3.15692297891447e-08,0.021061300009023398,6.0,4.285714285714286,False,1.0,1.0,0.0,0.7513842302974658,1.0,padding_neutral
nn_brickwork_n8_d4_s2_small,nn_brickwork,8,4,2,small,16,1,hybrid_tdvp_unpadded,none,0.9999999999668727,3.312727869797527e-11,9.76720313200644e-09,1.7595574718781704e-07,3.15692297891447e-08,0.028030000044964254,6.0,4.285714285714286,False,1.0,1.0,0.0,1.0,1.0,padding_baseline
nn_brickwork_n8_d4_s2_small,nn_brickwork,8,4,2,small,32,1,hybrid_tdvp_padded4,4,0.9999999999668727,3.312727869797527e-11,9.76720313200644e-09,1.7595574718781704e-07,3.15692297891447e-08,0.06808250001631677,6.0,4.285714285714286,False,1.0,1.0,0.0,1.7130431064741853,1.0,padding_neutral
nn_brickwork_n8_d4_s2_small,nn_brickwork,8,4,2,small,32,1,hybrid_tdvp_unpadded,none,0.9999999999668727,3.312727869797527e-11,9.76720313200644e-09,1.7595574718781704e-07,3.15692297891447e-08,0.03974360000574961,6.0,4.285714285714286,False,1.0,1.0,0.0,1.0,1.0,padding_baseline
nn_brickwork_n8_d4_s2_small,nn_brickwork,8,4,2,small,64,1,hybrid_tdvp_padded4,4,0.9999999999668727,3.312727869797527e-11,9.76720313200644e-09,1.7595574718781704e-07,3.15692297891447e-08,0.04557379998732358,6.0,4.285714285714286,False,1.0,1.0,0.0,1.4191256145374758,1.0,padding_neutral
nn_brickwork_n8_d4_s2_small,nn_brickwork,8,4,2,small,64,1,hybrid_tdvp_unpadded,none,0.9999999999668727,3.312727869797527e-11,9.76720313200644e-09,1.7595574718781704e-07,3.15692297891447e-08,0.03211400000145659,6.0,4.285714285714286,False,1.0,1.0,0.0,1.0,1.0,padding_baseline
nn_brickwork_n8_d4_s2_medium,nn_brickwork,8,4,2,medium,16,1,hybrid_tdvp_padded4,4,0.9999999999999964,3.552713678800501e-15,1.3814857616002906e-15,4.884981308350689e-15,1.929725064996123e-15,0.03863750002346933,8.0,5.142857142857143,False,1.0,1.0,0.0,0.5614952672911222,1.0,padding_neutral
nn_brickwork_n8_d4_s2_medium,nn_brickwork,8,4,2,medium,16,1,hybrid_tdvp_unpadded,none,0.9999999999999964,3.552713678800501e-15,1.3814857616002906e-15,4.884981308350689e-15,1.929725064996123e-15,0.06881179998163134,8.0,5.142857142857143,False,1.0,1.0,0.0,1.0,1.0,padding_baseline
nn_brickwork_n8_d4_s2_medium,nn_brickwork,8,4,2,medium,32,1,hybrid_tdvp_padded4,4,0.9999999999999964,3.552713678800501e-15,1.3814857616002906e-15,4.884981308350689e-15,1.929725064996123e-15,0.03443729999708012,8.0,5.142857142857143,False,1.0,1.0,0.0,0.7882138604004528,1.0,padding_neutral
nn_brickwork_n8_d4_s2_medium,nn_brickwork,8,4,2,medium,32,1,hybrid_tdvp_unpadded,none,0.9999999999999964,3.552713678800501e-15,1.3814857616002906e-15,4.884981308350689e-15,1.929725064996123e-15,0.043690299964509904,8.0,5.142857142857143,False,1.0,1.0,0.0,1.0,1.0,padding_baseline
nn_brickwork_n8_d4_s2_medium,nn_brickwork,8,4,2,medium,64,1,hybrid_tdvp_padded4,4,0.9999999999999964,3.552713678800501e-15,1.3814857616002906e-15,4.884981308350689e-15,1.929725064996123e-15,0.04188350000185892,8.0,5.142857142857143,False,1.0,1.0,0.0,1.0623669927295414,1.0,padding_neutral
nn_brickwork_n8_d4_s2_medium,nn_brickwork,8,4,2,medium,64,1,hybrid_tdvp_unpadded,none,0.9999999999999964,3.552713678800501e-15,1.3814857616002906e-15,4.884981308350689e-15,1.929725064996123e-15,0.039424700022209436,8.0,5.142857142857143,False,1.0,1.0,0.0,1.0,1.0,padding_baseline
nn_brickwork_n8_d8_s0_small,nn_brickwork,8,8,0,small,16,1,hybrid_tdvp_padded4,4,0.9999999999651266,3.487343747110572e-11,4.937768299658312e-08,1.2724318494061401e-06,2.0424490801340676e-07,0.07195100001990795,14.0,6.0,False,1.0,1.0,0.0,0.9669715601311071,1.0,padding_neutral
nn_brickwork_n8_d8_s0_small,nn_brickwork,8,8,0,small,16,1,hybrid_tdvp_unpadded,none,0.9999999999651266,3.487343747110572e-11,4.937768299658312e-08,1.2724318494061401e-06,2.0424490801340676e-07,0.07440859999042004,14.0,6.0,False,1.0,1.0,0.0,1.0,1.0,padding_baseline
nn_brickwork_n8_d8_s0_small,nn_brickwork,8,8,0,small,32,1,hybrid_tdvp_padded4,4,0.9999999999651266,3.487343747110572e-11,4.937768299658312e-08,1.2724318494061401e-06,2.0424490801340676e-07,0.10937710001599044,14.0,6.0,False,1.0,1.0,0.0,1.436148897327439,1.0,padding_neutral
nn_brickwork_n8_d8_s0_small,nn_brickwork,8,8,0,small,32,1,hybrid_tdvp_unpadded,none,0.9999999999651266,3.487343747110572e-11,4.937768299658312e-08,1.2724318494061401e-06,2.0424490801340676e-07,0.07615999999688938,14.0,6.0,False,1.0,1.0,0.0,1.0,1.0,padding_baseline
nn_brickwork_n8_d8_s0_small,nn_brickwork,8,8,0,small,64,1,hybrid_tdvp_padded4,4,0.9999999999651266,3.487343747110572e-11,4.937768299658312e-08,1.2724318494061401e-06,2.0424490801340676e-07,0.0885322000249289,14.0,6.0,False,1.0,1.0,0.0,0.947958347962169,1.0,padding_neutral
nn_brickwork_n8_d8_s0_small,nn_brickwork,8,8,0,small,64,1,hybrid_tdvp_unpadded,none,0.9999999999651266,3.487343747110572e-11,4.937768299658312e-08,1.2724318494061401e-06,2.0424490801340676e-07,0.09339250001357868,14.0,6.0,False,1.0,1.0,0.0,1.0,1.0,padding_baseline
nn_brickwork_n8_d8_s0_medium,nn_brickwork,8,8,0,medium,16,1,hybrid_tdvp_padded4,4,0.9999999999999949,5.10702591327572e-15,1.6925511091876137e-15,6.5503158452884236e-15,2.4600649549660264e-15,0.09422470000572503,16.0,6.285714285714286,True,1.0,1.0,0.0,1.0513966963583743,1.0,padding_neutral
nn_brickwork_n8_d8_s0_medium,nn_brickwork,8,8,0,medium,16,1,hybrid_tdvp_unpadded,none,0.9999999999999949,5.10702591327572e-15,1.6925511091876137e-15,6.5503158452884236e-15,2.4600649549660264e-15,0.08961860003182665,16.0,6.285714285714286,True,1.0,1.0,0.0,1.0,1.0,padding_baseline
nn_brickwork_n8_d8_s0_medium,nn_brickwork,8,8,0,medium,32,1,hybrid_tdvp_padded4,4,0.9999999999999949,5.10702591327572e-15,1.6925511091876137e-15,6.5503158452884236e-15,2.4600649549660264e-15,0.062281700025778264,16.0,6.285714285714286,False,1.0,1.0,0.0,0.7059312246899493,1.0,padding_neutral
nn_brickwork_n8_d8_s0_medium,nn_brickwork,8,8,0,medium,32,1,hybrid_tdvp_unpadded,none,0.9999999999999949,5.10702591327572e-15,1.6925511091876137e-15,6.5503158452884236e-15,2.4600649549660264e-15,0.08822630002396181,16.0,6.285714285714286,False,1.0,1.0,0.0,1.0,1.0,padding_baseline
nn_brickwork_n8_d8_s0_medium,nn_brickwork,8,8,0,medium,64,1,hybrid_tdvp_padded4,4,0.9999999999999949,5.10702591327572e-15,1.6925511091876137e-15,6.5503158452884236e-15,2.4600649549660264e-15,0.08092930004931986,16.0,6.285714285714286,False,1.0,1.0,0.0,1.185785977048656,1.0,padding_neutral
nn_brickwork_n8_d8_s0_medium,nn_brickwork,8,8,0,medium,64,1,hybrid_tdvp_unpadded,none,0.9999999999999949,5.10702591327572e-15,1.6925511091876137e-15,6.5503158452884236e-15,2.4600649549660264e-15,0.06824950000736862,16.0,6.285714285714286,False,1.0,1.0,0.0,1.0,1.0,padding_baseline
nn_brickwork_n8_d8_s1_small,nn_brickwork,8,8,1,small,16,1,hybrid_tdvp_padded4,4,0.999999999866193,1.338069655076879e-10,1.255820144927461e-07,1.775913338435131e-06,3.2228774061386e-07,0.08315610000863671,14.0,6.0,False,1.0,1.0,0.0,0.964129813670569,1.0,padding_neutral
nn_brickwork_n8_d8_s1_small,nn_brickwork,8,8,1,small,16,1,hybrid_tdvp_unpadded,none,0.999999999866193,1.338069655076879e-10,1.255820144927461e-07,1.775913338435131e-06,3.2228774061386e-07,0.08624989999225363,14.0,6.0,False,1.0,1.0,0.0,1.0,1.0,padding_baseline
nn_brickwork_n8_d8_s1_small,nn_brickwork,8,8,1,small,32,1,hybrid_tdvp_padded4,4,0.999999999866193,1.338069655076879e-10,1.255820144927461e-07,1.775913338435131e-06,3.2228774061386e-07,0.1026480000000447,14.0,6.0,False,1.0,1.0,0.0,1.815185254061974,1.0,padding_neutral
nn_brickwork_n8_d8_s1_small,nn_brickwork,8,8,1,small,32,1,hybrid_tdvp_unpadded,none,0.999999999866193,1.338069655076879e-10,1.255820144927461e-07,1.775913338435131e-06,3.2228774061386e-07,0.05654959997627884,14.0,6.0,False,1.0,1.0,0.0,1.0,1.0,padding_baseline
nn_brickwork_n8_d8_s1_small,nn_brickwork,8,8,1,small,64,1,hybrid_tdvp_padded4,4,0.999999999866193,1.338069655076879e-10,1.255820144927461e-07,1.775913338435131e-06,3.2228774061386e-07,0.05152630002703518,14.0,6.0,False,1.0,1.0,0.0,1.4193321807383146,1.0,padding_neutral
nn_brickwork_n8_d8_s1_small,nn_brickwork,8,8,1,small,64,1,hybrid_tdvp_unpadded,none,0.999999999866193,1.338069655076879e-10,1.255820144927461e-07,1.775913338435131e-06,3.2228774061386e-07,0.036303200002294034,14.0,6.0,False,1.0,1.0,0.0,1.0,1.0,padding_baseline
nn_brickwork_n8_d8_s1_medium,nn_brickwork,8,8,1,medium,16,1,hybrid_tdvp_padded4,4,0.9999999999999973,2.6645352591003757e-15,1.856364764288695e-15,4.440892098500626e-15,2.073719544194494e-15,0.09224599995650351,16.0,6.285714285714286,True,1.0,1.0,0.0,1.4325848368570013,1.0,padding_neutral
nn_brickwork_n8_d8_s1_medium,nn_brickwork,8,8,1,medium,16,1,hybrid_tdvp_unpadded,none,0.9999999999999973,2.6645352591003757e-15,1.856364764288695e-15,4.440892098500626e-15,2.073719544194494e-15,0.0643912999657914,16.0,6.285714285714286,True,1.0,1.0,0.0,1.0,1.0,padding_baseline
nn_brickwork_n8_d8_s1_medium,nn_brickwork,8,8,1,medium,32,1,hybrid_tdvp_padded4,4,0.9999999999999973,2.6645352591003757e-15,1.856364764288695e-15,4.440892098500626e-15,2.073719544194494e-15,0.08851500001037493,16.0,6.285714285714286,False,1.0,1.0,0.0,1.1163985664168952,1.0,padding_neutral
nn_brickwork_n8_d8_s1_medium,nn_brickwork,8,8,1,medium,32,1,hybrid_tdvp_unpadded,none,0.9999999999999973,2.6645352591003757e-15,1.856364764288695e-15,4.440892098500626e-15,2.073719544194494e-15,0.07928619999438524,16.0,6.285714285714286,False,1.0,1.0,0.0,1.0,1.0,padding_baseline
nn_brickwork_n8_d8_s1_medium,nn_brickwork,8,8,1,medium,64,1,hybrid_tdvp_padded4,4,0.9999999999999973,2.6645352591003757e-15,1.856364764288695e-15,4.440892098500626e-15,2.073719544194494e-15,0.06996970000909641,16.0,6.285714285714286,False,1.0,1.0,0.0,1.2081113183388859,1.0,padding_neutral
nn_brickwork_n8_d8_s1_medium,nn_brickwork,8,8,1,medium,64,1,hybrid_tdvp_unpadded,none,0.9999999999999973,2.6645352591003757e-15,1.856364764288695e-15,4.440892098500626e-15,2.073719544194494e-15,0.057916600024327636,16.0,6.285714285714286,False,1.0,1.0,0.0,1.0,1.0,padding_baseline
nn_brickwork_n8_d8_s2_small,nn_brickwork,8,8,2,small,16,1,hybrid_tdvp_padded4,4,0.9999999998647886,1.3521139763383871e-10,1.6789417242377278e-07,4.855422493992706e-06,7.516796255943501e-07,0.1046415000455454,14.0,6.0,False,1.0,1.0,0.0,1.5439383146529968,1.0,padding_neutral
nn_brickwork_n8_d8_s2_small,nn_brickwork,8,8,2,small,16,1,hybrid_tdvp_unpadded,none,0.9999999998647886,1.3521139763383871e-10,1.6789417242377278e-07,4.855422493992706e-06,7.516796255943501e-07,0.06777570000849664,14.0,6.0,False,1.0,1.0,0.0,1.0,1.0,padding_baseline
