L,env_sites,k,cut,J,g,dt,n_pasts,n_futures,n_seeds,branch_weight_beta,entropy,entropy_std,delta_norm,rank
2,1,2,1,1.0,1.0,0.1,6,6,1,1.0,3.1842690561814995e-07,0.0,1.559238610441944,1
2,1,4,2,1.0,1.0,0.1,6,6,1,1.0,0.00011269471680010854,0.0,2.006244481348331,1
2,1,6,3,1.0,1.0,0.1,6,6,1,1.0,0.01137007186838301,0.0,1.3722630385957963,1
3,2,2,1,1.0,1.0,0.1,6,6,1,1.0,3.7762103863513307e-07,0.0,1.559464169099875,1
3,2,4,2,1.0,1.0,0.1,6,6,1,1.0,0.00015032316413827486,0.0,2.0068448290189416,1
3,2,6,3,1.0,1.0,0.1,6,6,1,1.0,0.015853290727988505,0.0,1.3819128118499988,1
