method,chi_max,T_eps,first_crossing_time,last_reliable_time,crossed,right_censored,horizon_lower_bound,max_simulated_time,peak_max_bond,peak_param_count,peak_memory_bytes,runtime_to_crossing_s,cumulative_runtime_s,failed
hybrid_tdvp,2,0.30000000000000004,0.30000000000000004,0.2,1,0,,0.30000000000000004,2,120,1920,0.42340133409015834,0.42340133409015834,0
hybrid_tdvp,4,0.4,0.4,0.30000000000000004,1,0,,0.4,4,424,6784,0.7655936030205339,0.7655936030205339,0
hybrid_tdvp,8,0.7000000000000001,0.7000000000000001,0.6000000000000001,1,0,,0.7000000000000001,8,1448,23168,188.03125642286614,188.03125642286614,0
hybrid_tdvp,12,0.7000000000000001,0.7000000000000001,0.6000000000000001,1,0,,0.7000000000000001,12,2856,45696,5.03060768044088,5.03060768044088,0
hybrid_tdvp,16,1.0,1.0,0.9,1,0,,1.0,16,4776,76416,133.04068158916198,133.04068158916198,0
hybrid_tdvp,24,1.2000000000000002,1.2000000000000002,1.1,1,0,,1.2000000000000002,24,9128,146048,9.854489395278506,9.854489395278506,0
hybrid_tdvp,32,1.3,1.3,1.2000000000000002,1,0,,2.0,32,15016,240256,1174.7614560021902,1830.080643135705,0
hybrid_tdvp,48,1.5,1.5,1.4000000000000001,1,0,,1.5,48,27304,436864,354.2164989132434,354.2164989132434,0
hybrid_tdvp,64,1.6,1.6,1.5,1,0,,1.6,64,43688,699008,2359.7419898298103,2359.7419898298103,0
mpo_zipup,2,0.1,0.1,0.0,1,0,,0.1,2,104,1920,0.05940010829363018,0.05940010829363018,0
mpo_zipup,4,0.1,0.1,0.0,1,0,,0.1,4,368,6784,0.06292432418558747,0.06292432418558747,0
mpo_zipup,8,0.30000000000000004,0.30000000000000004,0.2,1,0,,0.30000000000000004,8,1448,24448,0.20169792498927563,0.20169792498927563,0
mpo_zipup,12,0.4,0.4,0.30000000000000004,1,0,,0.4,12,2856,49536,0.35396520304493606,0.35396520304493606,0
mpo_zipup,16,0.5,0.5,0.4,1,0,,0.5,16,4776,83840,0.5160965922987089,0.5160965922987089,0
mpo_zipup,24,0.4,0.4,0.30000000000000004,1,0,,0.4,24,9128,163712,0.5937034373637289,0.5937034373637289,0
mpo_zipup,32,0.4,0.4,0.30000000000000004,1,0,,2.0,32,15016,240256,330.243393373501,1921.5988945875433,0
mpo_zipup,48,0.6000000000000001,0.6000000000000001,0.5,1,0,,0.6000000000000001,48,27304,540288,78.66054512176197,78.66054512176197,0
mpo_zipup,64,0.6000000000000001,0.6000000000000001,0.5,1,0,,0.6000000000000001,64,43688,908928,79.90719315898605,79.90719315898605,0
tebd_swap,2,0.30000000000000004,0.30000000000000004,0.2,1,0,,0.30000000000000004,2,120,1920,0.149141023051925,0.149141023051925,0
tebd_swap,4,0.30000000000000004,0.30000000000000004,0.2,1,0,,0.30000000000000004,4,424,6784,0.13271961803548038,0.13271961803548038,0
tebd_swap,8,0.2,0.2,0.1,1,0,,0.2,8,1448,23168,0.10133594379294664,0.10133594379294664,0
tebd_swap,12,0.2,0.2,0.1,1,0,,0.2,12,2856,45696,0.13528855005279183,0.13528855005279183,0
tebd_swap,16,0.30000000000000004,0.30000000000000004,0.2,1,0,,0.30000000000000004,16,4776,76416,0.17360020417254418,0.17360020417254418,0
tebd_swap,24,0.30000000000000004,0.30000000000000004,0.2,1,0,,0.30000000000000004,24,9128,146048,0.27842905081342906,0.27842905081342906,0
tebd_swap,32,0.30000000000000004,0.30000000000000004,0.2,1,0,,2.0,32,15016,240256,13.63218612340279,206.23586648033233,0
tebd_swap,48,0.30000000000000004,0.30000000000000004,0.2,1,0,,0.30000000000000004,48,27304,436864,10.958391259424388,10.958391259424388,0
tebd_swap,64,0.30000000000000004,0.30000000000000004,0.2,1,0,,0.30000000000000004,64,43688,699008,13.031538655981421,13.031538655981421,0
