J,I_PT,S_V_full,S_V_8_median,S_V_8_p16,S_V_8_p84,S_V_8_p05,S_V_8_p95,process_tensor_trace,process_tensor_min_eigenvalue
0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,8.000000000000027,-1.473707316618523e-14
0.2,0.0001070426760685912,4.367238502583226e-07,4.2222459147995905e-07,1.535020629618398e-07,2.7014475846152516e-06,4.958074740917179e-08,3.4315691316554005e-06,7.999999999999989,-6.513428480489215e-15
0.4,0.0004327511062425359,6.057198464281415e-06,5.895832719305078e-06,2.245526741840872e-06,3.673855932899933e-05,9.464846625177574e-07,4.6116683776036474e-05,8.000000000000028,-4.671146931566559e-15
0.6000000000000001,0.000986543152037913,2.8330628124314688e-05,2.7427069547852988e-05,1.1235926886300829e-05,0.00016386489224191027,4.628098184020177e-06,0.00021059517078682161,8.000000000000014,-4.981447408829039e-15
0.8,0.0017784659338898924,8.535363161067756e-05,8.071359355665131e-05,3.3940264567994225e-05,0.0004747458463651005,1.3356929566282803e-05,0.0006195351870866191,8.00000000000001,-5.096934303530082e-15
1.0,0.002816932860104586,0.00020233603562120958,0.00018367326372889032,7.762946351325103e-05,0.0010918911528524503,3.0235854057770222e-05,0.0014264389411994692,7.999999999999974,-4.461408328777326e-15
1.2000000000000002,0.004107173913729084,0.0004119425449233594,0.0003605442428125271,0.00016502956395986193,0.002208812811797491,6.865665150227368e-05,0.0028258459695638853,7.999999999999974,-4.94983527546013e-15
1.4000000000000001,0.005650144197527102,0.0007541328005343014,0.0006834271055493216,0.0003060090940516729,0.003709899791264773,0.00014169139401524304,0.005028139110219169,8.000000000000021,-4.02371121215705e-15
1.6,0.007441795999070994,0.001275523968769985,0.0011767428448954819,0.0005509425125832263,0.005749959468690512,0.00026700685238003626,0.008411484116017815,8.000000000000027,-3.4884419332491796e-15
1.8,0.009472662035735657,0.0020285443252110913,0.0018718790697235844,0.0008479917450760253,0.00899403225844254,0.0004418430177034528,0.013188177358095543,7.999999999999985,-4.4390481604896725e-15
2.0,0.011727710303115702,0.0030707499318952994,0.002926334470447253,0.0012214774093230114,0.013363317638543346,0.000667144873039585,0.019711619889621824,8.000000000000032,-4.463231870327899e-15
