J,cut,k,L,entropy_SV,s_pt,chi
0.0,2,3,6,-0.0,0.3678747613177552,8
0.10526315789473684,2,3,6,7.226249211864077e-08,1.925816347905437e-05,12
0.21052631578947367,2,3,6,2.1119880558329453e-06,7.694043889808832e-05,12
0.3157894736842105,2,3,6,1.0170198001454282e-05,0.00017277065987291097,12
0.42105263157894735,2,3,6,1.7813499745401705e-05,0.00030629014202638086,12
0.5263157894736842,2,3,6,9.456016787028156e-05,0.00047686006311563095,12
0.631578947368421,2,3,6,4.2632605060244435e-05,0.0006836647756317589,13
0.7368421052631579,2,3,6,3.6613154354172364e-05,0.0009257160338429271,16
0.8421052631578947,2,3,6,0.00020349765532150753,0.0012018581105900457,16
0.9473684210526315,2,3,6,0.00016186850782744157,0.0015107737748721356,16
1.0526315789473684,2,3,6,0.0010212244175454484,0.0018509910963684926,16
1.1578947368421053,2,3,6,0.00029010340073865477,0.0022208910380407776,16
1.263157894736842,2,3,6,0.0004789264833418867,0.002618715794030589,16
1.368421052631579,2,3,6,0.001771896092867374,0.003042577825667402,16
1.4736842105263157,2,3,6,0.0011755380300551,0.0034904695384561845,12
1.5789473684210527,2,3,6,0.0010131804819879626,0.0039602735798819014,12
1.6842105263157894,2,3,6,0.0022483406501850258,0.004449773621419755,12
1.7894736842105263,2,3,6,0.0006745852367434928,0.004956665662311539,12
1.894736842105263,2,3,6,0.003182250707306149,0.005478569724353958,12
2.0,2,3,6,0.002723474746336719,0.006013041897442342,12
2.5,2,3,6,,0.008645815499066218,12
