J,cut,k,L,entropy_SV,n_pasts,n_futures
0.0,2,3,6,-0.0,64,64
0.10526315789473684,2,3,6,1.0635937559156829e-07,64,64
0.21052631578947367,2,3,6,1.421742215742673e-06,64,64
0.3157894736842105,2,3,6,5.475018796720831e-06,64,64
0.42105263157894735,2,3,6,1.3655722037925796e-05,64,64
0.5263157894736842,2,3,6,4.384706559651828e-05,64,64
0.631578947368421,2,3,6,6.616766489638841e-05,64,64
0.7368421052631579,2,3,6,0.00014955004907056792,64,64
0.8421052631578947,2,3,6,0.00025553031620123253,64,64
0.9473684210526315,2,3,6,0.0003965946906474786,64,64
1.0526315789473684,2,3,6,0.0006948832607118084,64,64
1.1578947368421053,2,3,6,0.0005751295017252272,64,64
1.263157894736842,2,3,6,0.000887538278680626,64,64
1.368421052631579,2,3,6,0.0014790290446329414,64,64
1.4736842105263157,2,3,6,0.0011563813274518334,64,64
1.5789473684210527,2,3,6,0.002119529313002068,64,64
1.6842105263157894,2,3,6,0.00282610612100788,64,64
1.7894736842105263,2,3,6,0.00323246896655292,64,64
1.894736842105263,2,3,6,0.003394329509163307,64,64
2.0,2,3,6,0.003478391851806828,64,64
2.5,2,3,6,0.010806293596389033,64,64
