J,max_bond_dim,s_bond,chi,entropy_SV,ratio_SV_over_bond,t_s
2.0,32,0.006013041897442342,12,0.004418131610653731,0.7347581616773685,167.8
2.25,32,0.007318121772523196,12,0.005015194365137884,0.6853116852971837,166.6
2.5,32,0.008645815499066218,12,0.010806293596389033,1.2498871387616535,184.4
3.0,32,0.011232128035575493,12,0.010355938965303953,0.9219926030493609,169.5
3.5,32,0.013510376367158992,12,0.014057879276799405,1.040524623057229,246.5
4.0,32,0.015257728621011393,12,0.014805347077662142,0.9703506626322953,219.8
4.5,32,0.01631320385216441,12,0.020489479821094916,1.2560058714877398,242.1
5.0,32,0.016593108888975347,12,0.012154866790502747,0.7325249820169975,192.6
