J,cut,k,L,S_PT_cb,R_PT_cb,causal_block_rank,largest_weight,smallest_resolved_weight,causal_break_error,S_V_8,S_V_64,norm_V_8,norm_V_64
0.0,2,3,6,8.576002183314932e-29,1.0,1,1.0,1.2454611429388385e-30,1.5539547760842544e-12,-0.0,-0.0,2.030029125194612,19.583710069594645
0.2,2,3,6,6.436000465495552e-07,1.0000006436002538,5,0.9999999645534049,3.0374239539961443e-27,4.504902427506699e-05,4.370265838553938e-07,9.272312535469449e-07,2.0129605824438297,19.501851775210636
0.4,2,3,6,8.593110028413005e-06,1.0000085931469493,6,0.9999994421841076,2.274887533178917e-29,0.0002087800673366655,5.6567957408617535e-06,1.2611445243169892e-05,1.9935587732976625,19.397779715135567
0.6000000000000001,2,3,6,3.7949088717287415e-05,1.000037949808793,6,0.9999972533939514,2.3460392303993776e-30,0.0005277065830109914,2.4407692643517356e-05,5.7074263333924846e-05,1.9718945976579283,19.272570670632156
0.8,2,3,6,0.00010611933051701678,1.0001061249613723,6,0.9999916524403452,1.1448305657187885e-28,0.0010281773435367304,6.732145437167218e-05,0.00016436169452621534,1.9480742127750836,19.127932791364795
1.0,2,3,6,0.00023013480772884196,1.0002301612907751,7,0.9999806279040736,1.2312907118381129e-29,0.0017721321748057183,0.00014556691291495473,0.0003686033476907748,1.9222373919502551,18.96615720262083
1.2000000000000002,2,3,6,0.00042350054483194615,1.0004235902338483,7,0.9999622659193,1.5085957237143694e-28,0.002873616215372987,0.00027025583720942565,0.0007038627713914072,1.8945548585537837,18.790041641093193
1.4000000000000001,2,3,6,0.0006937280886896019,1.0006939687736736,8,0.9999351231130331,1.197471527200959e-30,0.004306063429188361,0.00045221286970419816,0.0011996613833067486,1.865225355158144,18.60278644413125
1.6,2,3,6,0.001040763839313151,1.0010413056219374,10,0.9998985497576259,1.2240616002308166e-29,0.006078375455587904,0.0007018243707076917,0.001876462249245099,1.8344716568019417,18.40786674933123
1.8,2,3,6,0.0014564759164547758,1.0014575370926324,10,0.9998529057691925,1.0266144895445428e-28,0.00818473583166111,0.0010287406326612556,0.0027416633612379862,1.8025365788061545,18.208884489190442
2.0,2,3,6,0.00192525441113052,1.0019271089033364,10,0.999799625178504,6.99785301266156e-28,0.010604554459250367,0.0014413424513975573,0.0037868263259862667,1.7696785571685767,18.009408257143047
