J,cut,k,L,I_PT,S_rho_P,S_rho_F,S_rho_PF,process_tensor_trace,process_tensor_min_eigenvalue,causal_break_error,S_V_full,S_V_8,S_V_64,response_norm_full,response_norm_8,response_norm_64
0.0,2,3,6,-4.66058723213005e-14,-2.220446049250313e-16,-0.0,4.638382771637547e-14,8.000000000000027,-1.473707316618523e-14,1.5539547760842544e-12,-0.0,-0.0,-0.0,14.110673372821777,0.682435009732576,14.110673372821775
0.2,2,3,6,0.0001070426760685912,0.0003912967271107829,0.0023686710768473958,0.0026529251278895874,7.999999999999989,-6.513428480489215e-15,4.504902427506699e-05,4.367238502583226e-07,2.820353036458611e-06,4.367238502583173e-07,14.107577982608321,0.6822872416512482,14.107577982608321
0.4,2,3,6,0.0004327511062425359,0.001367459433645772,0.007993407278492272,0.008928115605895508,8.000000000000028,-4.671146931566559e-15,0.0002087800673366655,6.057198464281415e-06,3.801229277945865e-05,6.0571984642813875e-06,14.098375754123335,0.6818398553326791,14.098375754123333
0.6000000000000001,2,3,6,0.000986543152037913,0.002806864931107415,0.01592547568352176,0.017745797462591265,8.000000000000014,-4.981447408829039e-15,0.0005277065830109914,2.8330628124314688e-05,0.00017186387675207848,2.833062812431459e-05,14.083320186209372,0.6810922597724007,14.083320186209372
0.8,2,3,6,0.0017784659338898924,0.004633544126242763,0.025544806822444827,0.028399885014797698,8.00000000000001,-5.096934303530082e-15,0.0010281773435367304,8.535363161067756e-05,0.000497988618939313,8.535363161067821e-05,14.062824065532805,0.6800512270756075,14.062824065532805
1.0,2,3,6,0.002816932860104586,0.006784899719483916,0.03633413435034133,0.04030210120972066,7.999999999999974,-4.461408328777326e-15,0.0017721321748057183,0.00020233603562120958,0.0011318071832237086,0.0002023360356212089,14.037444364234734,0.6787307824407952,14.037444364234734
1.2000000000000002,2,3,6,0.004107173913729084,0.009204392750652251,0.04783431942040673,0.052931538257329894,7.999999999999974,-4.94983527546013e-15,0.002873616215372987,0.0004119425449233594,0.0022070488912311406,0.0004119425449233598,14.007860418012843,0.6771519593435866,14.007860418012843
1.4000000000000001,2,3,6,0.005650144197527102,0.011838841671680998,0.059631989354692515,0.06582068682884641,8.000000000000021,-4.02371121215705e-15,0.004306063429188361,0.0007541328005343014,0.003873293463991087,0.0007541328005343012,13.97484695128904,0.6753423657116014,13.974846951289038
1.6,2,3,6,0.007441795999070994,0.014637305176427359,0.07135751178405536,0.07855302096141173,8.000000000000027,-3.4884419332491796e-15,0.006078375455587904,0.001275523968769985,0.006294230200670196,0.00127552396876998,13.939242614417944,0.6733355329661097,13.939242614417944
1.8,2,3,6,0.009472662035735657,0.01755065135472059,0.08268677877930175,0.09076476809828668,7.999999999999985,-4.4390481604896725e-15,0.00818473583166111,0.0020285443252110913,0.009646639825248264,0.002028544325211089,13.901916009249158,0.6711702173021608,13.901916009249158
2.0,2,3,6,0.011727710303115702,0.020531464413514954,0.09334420234443629,0.10214795645483554,8.000000000000032,-4.463231870327899e-15,0.010604554459250367,0.0030707499318952994,0.014120084614520618,0.0030707499318952942,13.86373125016968,0.6688896214671335,13.863731250169682
