J,max_bond_dim,s_bond,chi,entropy_SV,ratio_SV_over_bond,t_s
2.25,32,0.007318121772523196,12,0.005015194365137884,0.6853116852971837,174.1
2.25,64,0.007318121772523196,12,0.005015194365137884,0.6853116852971837,162.3
2.25,128,0.007318121772523196,12,0.005015194365137884,0.6853116852971837,146.8
2.25,256,0.6932538018388967,64,0.005015194365137884,0.007234283247830426,3490.2
2.25,none,0.6932538018388967,64,0.005015194365137884,0.007234283247830426,4705.7
