J,S_V_full,I_PT,I_PT_renyi2,S_PT,S_PT_renyi2,S_mpo_schmidt_vn,S_mpo_schmidt_renyi2,S_PT_cb,S_PT_cb_renyi2,chi_mpo,rank_mpo_schmidt,S_PT_top_eval
0.0,-0.0,6.661338147750939e-16,0.0,0.6931471805599454,0.6931471805599453,2.7725887222397816,2.772588722239781,-0.0,-0.0,16,16,0.4999999999999996
0.2,2.4844205083104477e-07,7.465714651847888e-05,9.775379631931855e-08,0.6931484032464454,0.6931473204934884,2.772588677916172,2.7725886336052885,2.4320126610336194e-07,2.5355353915938685e-08,16,16,3.498338565231759e-08
0.4,3.417443937345874e-06,0.0003022419616304931,1.5600499694429226e-06,0.6931516805397618,0.6931477399245849,2.7725880190752603,2.772587316713985,3.3092128066945925e-06,4.031414708659119e-07,16,16,1.3984115978378726e-07
0.6,1.5719152126746072e-05,0.0006913233174329261,7.863937176750581e-06,0.6931567853224727,0.6931484377457792,2.7725852127692665,2.7725817122389285,1.4950723209022975e-05,2.0195798201373813e-06,16,16,3.1429645832126214e-07
0.8,4.632997383702223e-05,0.0012532034856849554,2.470447333916253e-05,0.6931635891386003,0.6931494121150932,2.7725778502511975,2.7725670268814264,4.298784217089608e-05,6.289464282509826e-06,16,16,5.578887867518691e-07
1.0,0.00010719758260250557,0.0020006649376788574,5.984529940665246e-05,0.69317199513518,0.6931506604616882,2.7725628567928235,2.7725371691173963,9.639338749284411e-05,1.5065889307720054e-05,16,16,8.699754355607553e-07
1.2,0.00021306924912022947,0.002947015437355087,0.0001229108002972039,0.6931819217298658,0.6931521794937622,2.772536766766904,2.772485315011562,0.00018449795503404145,3.05199985090776e-05,16,16,1.249733454112642e-06
1.4,0.000381637754852763,0.0041052904077348296,0.0002251215283429319,0.6931932957952689,0.6931539652086562,2.7724960458580235,2.772404562322552,0.00031627011386334926,5.499674465664597e-05,16,16,1.6961621776177274e-06
1.6,0.0006337550201581598,0.005487563609187861,0.0003789754706341915,0.6932060491782346,0.6931560129051325,2.77243743798999,2.7722886228747456,0.0004996720455475983,9.085413075050157e-05,16,16,2.208086296748053e-06
1.8,0.0009936911238443312,0.007104345018636861,0.0005978789212569627,0.6932201167096458,0.6931583171977851,2.772358311198875,2.7721324979242676,0.000741102829892649,0.00014029465004600412,16,16,2.7841594598241266e-06
2.0,0.0014894389496375071,0.008964056038465083,0.0008957321816278029,0.6932354349843153,0.6931608720335283,2.7722569746522403,2.7719330797589707,0.0010449444849865799,0.0002051985602285578,16,16,3.42286839574337e-06
