J,cut,k,L,entropy_SV,s_pt,ratio_SV_over_SPT,chi
0.0,2,3,6,-0.0,0.3678747613177552,-0.0,8
0.10526315789473684,2,3,6,1.0635937559156829e-07,1.925816347905437e-05,0.00552282026825908,12
0.21052631578947367,2,3,6,1.421742215742673e-06,7.694043889808832e-05,0.018478478107277835,12
0.3157894736842105,2,3,6,5.475018796720831e-06,0.00017277065987291097,0.03168951719434435,12
0.42105263157894735,2,3,6,1.3655722037925796e-05,0.00030629014202638086,0.04458426884907587,12
0.5263157894736842,2,3,6,4.384706559651828e-05,0.00047686006311563095,0.09194954450586075,12
0.631578947368421,2,3,6,6.616766489638841e-05,0.0006836647756317589,0.09678378535042177,13
0.7368421052631579,2,3,6,0.00014955004907056792,0.0009257160338429271,0.16155067386025546,16
0.8421052631578947,2,3,6,0.00025553031620123253,0.0012018581105900457,0.21261271521958722,16
0.9473684210526315,2,3,6,0.0003965946906474786,0.0015107737748721356,0.2625109710294279,16
1.0526315789473684,2,3,6,0.0006948832607118084,0.0018509910963684926,0.3754114550173244,16
1.1578947368421053,2,3,6,0.0005751295017252272,0.0022208910380407776,0.258963403370115,16
1.263157894736842,2,3,6,0.000887538278680626,0.002618715794030589,0.3389211920987325,16
1.368421052631579,2,3,6,0.0014790290446329414,0.003042577825667402,0.48611050542594103,16
1.4736842105263157,2,3,6,0.0011563813274518334,0.0034904695384561845,0.3312967824848271,12
1.5789473684210527,2,3,6,0.002119529313002068,0.0039602735798819014,0.5351977004238364,12
1.6842105263157894,2,3,6,0.00282610612100788,0.004449773621419755,0.6351123363678389,12
1.7894736842105263,2,3,6,0.00323246896655292,0.004956665662311539,0.652145855051571,12
1.894736842105263,2,3,6,0.003394329509163307,0.005478569724353958,0.6195649010497118,12
2.0,2,3,6,0.003478391851806828,0.006013041897442342,0.578474574289324,12
