cut,J,S_PT_cb,S_V_full,process_tensor_trace,minimum_eigenvalue,causal_break_error
1,0.0,2.0109703184094242e-28,2.637674330518329e-26,8.000000000000027,-1.078591751080483e-14,0.0
1,0.2,1.964263204621044e-09,3.0994201980976385e-09,7.999999999999989,-6.785399957044702e-15,0.0
1,0.4,2.7446087822928482e-08,4.389098752961088e-08,8.000000000000028,-5.960245766752671e-15,0.0
1,0.6000000000000001,1.2549375361048656e-07,2.0600298356416342e-07,8.000000000000014,-4.408904311661669e-15,0.0
1,0.8,3.616594957831596e-07,6.172144496232086e-07,8.00000000000001,-4.945187268813158e-15,0.0
1,1.0,8.063438977751825e-07,1.4494822150349867e-06,7.999999999999974,-6.194939832194106e-15,0.0
1,1.2000000000000002,1.5235843796119441e-06,2.9237117663416814e-06,7.999999999999974,-4.808567936771744e-15,0.0
1,1.4000000000000001,2.561195031005298e-06,5.319124851520721e-06,8.000000000000021,-4.264018808230257e-15,0.0
1,1.6,3.943386739412947e-06,8.987242990611462e-06,8.000000000000027,-3.947901919031853e-15,0.0
1,1.8,5.6668349080112e-06,1.437040863297788e-05,7.999999999999985,-4.1932968735443815e-15,0.0
1,2.0,7.700750839047055e-06,2.2024680825277785e-05,8.000000000000032,-4.342534497776128e-15,0.0
2,0.0,8.576002183314932e-29,-0.0,8.000000000000027,-1.473707316618523e-14,1.5539547760842544e-12
2,0.2,6.436000465495552e-07,4.367238502583226e-07,7.999999999999989,-6.513428480489215e-15,4.504902427506699e-05
2,0.4,8.593110028413005e-06,6.057198464281415e-06,8.000000000000028,-4.671146931566559e-15,0.0002087800673366655
2,0.6000000000000001,3.7949088717287415e-05,2.8330628124314688e-05,8.000000000000014,-4.981447408829039e-15,0.0005277065830109914
2,0.8,0.00010611933051701678,8.535363161067756e-05,8.00000000000001,-5.096934303530082e-15,0.0010281773435367304
2,1.0,0.00023013480772884196,0.00020233603562120958,7.999999999999974,-4.461408328777326e-15,0.0017721321748057183
2,1.2000000000000002,0.00042350054483194615,0.0004119425449233594,7.999999999999974,-4.94983527546013e-15,0.002873616215372987
2,1.4000000000000001,0.0006937280886896019,0.0007541328005343014,8.000000000000021,-4.02371121215705e-15,0.004306063429188361
2,1.6,0.001040763839313151,0.001275523968769985,8.000000000000027,-3.4884419332491796e-15,0.006078375455587904
2,1.8,0.0014564759164547758,0.0020285443252110913,7.999999999999985,-4.4390481604896725e-15,0.00818473583166111
2,2.0,0.00192525441113052,0.0030707499318952994,8.000000000000032,-4.463231870327899e-15,0.010604554459250367
3,0.0,9.964872168816852e-28,2.184071465489859e-27,8.000000000000027,-1.078591751080483e-14,3.338109957973631e-13
3,0.2,1.4312823570213476e-06,1.1260102625607433e-06,7.999999999999989,-6.785399957044702e-15,0.00019603180987542068
3,0.4,1.8916927552224813e-05,1.5202091752355001e-05,8.000000000000028,-5.960245766752671e-15,0.0007338066421067306
3,0.6000000000000001,8.279232057994897e-05,6.870217323463136e-05,8.000000000000014,-4.408904311661669e-15,0.0015231418464808988
3,0.8,0.00022945673276586487,0.00019864369086235772,8.00000000000001,-4.945187268813158e-15,0.002856415607177701
3,1.0,0.0004930175980296277,0.000449506511814569,7.999999999999974,-6.194939832194106e-15,0.004724027186349054
3,1.2000000000000002,0.0008984013560080311,0.0008700878709710977,7.999999999999974,-4.808567936771744e-15,0.007135650089053052
3,1.4000000000000001,0.0014562596713651205,0.0015097539504668888,8.000000000000021,-4.264018808230257e-15,0.010105256310843415
3,1.6,0.0021601102420190908,0.0024141349090144875,8.000000000000027,-3.947901919031853e-15,0.01363049445481421
3,1.8,0.00298599191618588,0.0036206865133514778,7.999999999999985,-4.1932968735443815e-15,0.017692865807559723
3,2.0,0.003894638559216767,0.005154766193844574,8.000000000000032,-4.342534497776128e-15,0.02225828115704985
