check_family,side,pair_index,term_a,term_a_index,term_b,term_b_index,term_a_norm,term_b_norm,term_a_rel,term_b_rel,absolute_residual,relative_residual,x_norm,term_floor,pass
exterior_cancellation_P1,left,0,S,0,B,1,0.16514362779540884,0.16514362779540878,0.24981735179835962,0.24981735179835954,7.358475507005628e-17,1.1131370244031562e-16,0.6610574750176069,6.610574750176069e-07,True
exterior_cancellation_P1,left,1,S,1,B,2,0.30663708211564134,0.30663708211564156,0.4638584294164047,0.46385842941640504,2.6631749695969577e-16,4.02865873277664e-16,0.6610574750176069,6.610574750176069e-07,True
exterior_cancellation_P1,right,6,S,6,B,6,0.34844673220035666,0.3484467322003568,0.5271050481519416,0.5271050481519419,1.7510422663080313e-16,2.648850262621103e-16,0.6610574750176069,6.610574750176069e-07,True
exterior_cancellation_P1,right,7,S,7,B,7,0.14801913627893593,0.14801913627893587,0.22391265793491483,0.22391265793491474,4.9085534035866265e-17,7.425305043946277e-17,0.6610574750176069,6.610574750176069e-07,True
exterior_cancellation_P1,total,-1,sum,-1,sum,-1,3.2188427114287825e-16,0.0,4.869232756717637e-16,0.0,3.2188427114287825e-16,4.869232756717637e-16,0.6610574750176069,6.610574750176069e-07,True
exterior_cancellation_P2,left,0,K,0,S,1,0.30663708211564134,0.30663708211564134,0.4638584294164047,0.4638584294164047,1.0601644698505696e-16,1.6037402342698458e-16,0.6610574750176069,6.610574750176069e-07,True
exterior_cancellation_P2,left,1,K,1,S,2,0.5182639825229366,0.518263982522937,0.7839923185334723,0.783992318533473,4.82332873652872e-16,7.296383323402028e-16,0.6610574750176069,6.610574750176069e-07,True
exterior_cancellation_P2,right,5,K,5,S,5,0.43375362434090414,0.4337536243409043,0.6561511528620887,0.6561511528620889,2.4782370015927e-16,3.7488979328562825e-16,0.6610574750176069,6.610574750176069e-07,True
exterior_cancellation_P2,right,6,K,6,S,6,0.34844673220035677,0.34844673220035666,0.5271050481519418,0.5271050481519416,1.0597452424497101e-16,1.6031060573386367e-16,0.6610574750176069,6.610574750176069e-07,True
exterior_cancellation_P2,total,-1,sum,-1,sum,-1,5.273944524359546e-16,0.0,7.978042339236959e-16,0.0,5.273944524359546e-16,7.978042339236959e-16,0.6610574750176069,6.610574750176069e-07,True
