L,J,peak_entropy,integrated_entropy,mean_entropy,peak_cut,k,dt,g,n_pasts,n_futures,n_seeds,branch_weight_beta
2,0.5,0.00022681249320707906,0.00044533268445779876,0.00011133317111444969,3,4,0.1,1.0,6,6,1,1.0
2,1.0,0.0025445870961209646,0.005087986609752433,0.0012719966524381082,3,4,0.1,1.0,6,6,1,1.0
3,0.5,0.00023955787996358656,0.00043902630771709776,0.00010975657692927444,3,4,0.1,1.0,6,6,1,1.0
3,1.0,0.002727105823026735,0.0046943953808290875,0.0011735988452072719,3,4,0.1,1.0,6,6,1,1.0
