L,k,dt,g,cut,J,n_pasts,n_futures,n_seeds,seed,unitary_ensemble,basis,orientation,weight_scope,probability_power,centered,spectrum_discarded_weight_threshold,entropy,entropy_std,entropy_old_raw_xyz,entropy_old_raw_xyz_std,entropy_old_centered_xyz,entropy_old_centered_xyz_std,entropy_change_vs_raw_xyz,entropy_change_vs_centered_xyz,response_norm,rank,response_shape,probe_file,probe_sha256,raw_file,raw_sha256
6,20,0.1,1.0,1,0.5,64,64,1,0,haar,IXYZ,future_rows_history_columns,complete_retained_record,1,0,1e-12,2.891537618679259e-07,0.0,5.815565102265138e-07,0.0,2.317783879101223e-06,0.0,-2.924027483585879e-07,-2.0286301172332973e-06,49.31111204796456,64,256x64,raw/probes_cut_01.npz,47ddfaa8077ad999875ab17de4d24eed969f70df1c9b7dd38cfe8fffc902e4f4,raw/cut_01_J_0p5.npz,71983143e91da2e515f778b4c847b37f1583b5c7b90820e46f66a9ebb57d154e
6,20,0.1,1.0,1,0.55,64,64,1,0,haar,IXYZ,future_rows_history_columns,complete_retained_record,1,0,1e-12,4.0337573342953605e-07,0.0,8.197779389988879e-07,0.0,3.2622344347751385e-06,0.0,-4.164022055693519e-07,-2.8588587013456024e-06,49.04728205288295,64,256x64,raw/probes_cut_01.npz,47ddfaa8077ad999875ab17de4d24eed969f70df1c9b7dd38cfe8fffc902e4f4,raw/cut_01_J_0p55.npz,d7bf249a8dacfa08cff81555159535f56aa820364afc46712dc71bd3fa0c5609
6,20,0.1,1.0,1,0.6000000000000001,64,64,1,0,haar,IXYZ,future_rows_history_columns,complete_retained_record,1,0,1e-12,5.427552867503772e-07,0.0,1.1165232625574306e-06,0.0,4.4374375527104895e-06,0.0,-5.737679758070534e-07,-3.894682265960112e-06,48.75108075986691,64,256x64,raw/probes_cut_01.npz,47ddfaa8077ad999875ab17de4d24eed969f70df1c9b7dd38cfe8fffc902e4f4,raw/cut_01_J_0p6.npz,446a6c9d74418d0e479f9b8c63959cad2f36be4da1b0a722d08475a611a438e7
6,20,0.1,1.0,1,0.65,64,64,1,0,haar,IXYZ,future_rows_history_columns,complete_retained_record,1,0,1e-12,7.080403573980751e-07,0.0,1.4769640410465793e-06,0.0,5.863759085188731e-06,0.0,-7.689236836485042e-07,-5.155718727790656e-06,48.4249587671419,64,256x64,raw/probes_cut_01.npz,47ddfaa8077ad999875ab17de4d24eed969f70df1c9b7dd38cfe8fffc902e4f4,raw/cut_01_J_0p65.npz,cbdcc82e82b3dea3bea07742d6f376cc96c514992f382e2f1fef0a4411e1e62c
6,20,0.1,1.0,1,0.7000000000000001,64,64,1,0,haar,IXYZ,future_rows_history_columns,complete_retained_record,1,0,1e-12,8.992684195304122e-07,0.0,1.905527425244156e-06,0.0,7.558745908414917e-06,0.0,-1.006259005713744e-06,-6.659477488884505e-06,48.0727822822618,64,256x64,raw/probes_cut_01.npz,47ddfaa8077ad999875ab17de4d24eed969f70df1c9b7dd38cfe8fffc902e4f4,raw/cut_01_J_0p7.npz,27a877bd5c9aeba4b6faaaf705ec32619690d7d02e145fbd44e42b190e599c28
6,20,0.1,1.0,1,0.75,64,64,1,0,haar,IXYZ,future_rows_history_columns,complete_retained_record,1,0,1e-12,1.1159435568124331e-06,0.0,2.406102199904067e-06,0.0,9.538003463745989e-06,0.0,-1.2901586430916337e-06,-8.422059906933555e-06,47.69981855756312,64,256x64,raw/probes_cut_01.npz,47ddfaa8077ad999875ab17de4d24eed969f70df1c9b7dd38cfe8fffc902e4f4,raw/cut_01_J_0p75.npz,d52e33c310d6b29039dd482bf4ce335ea623fcfd8ea212637074197d9806276d
6,20,0.1,1.0,1,0.8,64,64,1,0,haar,IXYZ,future_rows_history_columns,complete_retained_record,1,0,1e-12,1.3572484815847264e-06,0.0,2.9822146148115968e-06,0.0,1.1815889527063649e-05,0.0,-1.6249661332268703e-06,-1.0458641045478922e-05,47.31262947901695,64,256x64,raw/probes_cut_01.npz,47ddfaa8077ad999875ab17de4d24eed969f70df1c9b7dd38cfe8fffc902e4f4,raw/cut_01_J_0p8.npz,617de65384479decc3dc05e4b8179ae4ef5e08ad0591db4960d383a94a9ef1d3
6,20,0.1,1.0,1,0.8500000000000001,64,64,1,0,haar,IXYZ,future_rows_history_columns,complete_retained_record,1,0,1e-12,1.6223295620054496e-06,0.0,3.637263674192926e-06,0.0,1.4406480185691852e-05,0.0,-2.0149341121874764e-06,-1.2784150623686402e-05,46.91886587314539,64,256x64,raw/probes_cut_01.npz,47ddfaa8077ad999875ab17de4d24eed969f70df1c9b7dd38cfe8fffc902e4f4,raw/cut_01_J_0p85.npz,614ba2b0f7848c35ec7c4d8d96aee3e8c9476f89e430764e364d1abf0733d3ac
6,20,0.1,1.0,1,0.9,64,64,1,0,haar,IXYZ,future_rows_history_columns,complete_retained_record,1,0,1e-12,1.910559860234787e-06,0.0,4.374605434225464e-06,0.0,1.7323871462467236e-05,0.0,-2.4640455739906767e-06,-1.541331160223245e-05,46.526962844355964,64,256x64,raw/probes_cut_01.npz,47ddfaa8077ad999875ab17de4d24eed969f70df1c9b7dd38cfe8fffc902e4f4,raw/cut_01_J_0p9.npz,5a375d8d6731d1edd3c2122e4ba9b798f794b1d19679a0f839b66a0d4f143af9
6,20,0.1,1.0,1,0.9500000000000001,64,64,1,0,haar,IXYZ,future_rows_history_columns,complete_retained_record,1,0,1e-12,2.221732729182551e-06,0.0,5.197395086040172e-06,0.0,2.058153421511177e-05,0.0,-2.975662356857621e-06,-1.835980148592922e-05,46.14574688494387,64,256x64,raw/probes_cut_01.npz,47ddfaa8077ad999875ab17de4d24eed969f70df1c9b7dd38cfe8fffc902e4f4,raw/cut_01_J_0p95.npz,98c526d93fca5f8227fbaad6664d0012802702bc66bd7ed7465ae4f880d1fe8c
