variant,k,N,seed,n_sequences,err_fit_U_vs_exhaustive,err_fit_pred_state_frob,err_fit_pred_state_trace,prefactor_fit_pred,err_laststep_pred_state_frob,err_laststep_pred_state_trace,train_seq_loss,val_seq_loss
sis_local_fit,2,4,14385,4,1.585793305802796,0.702970328872112,0.49707508651840787,1.405940657744224,0.7312538566276064,0.5170745607901959,1.0092030568949566,0.9876463083069952
sis_local_fit,2,8,14425,8,1.5855403887780217,0.7084007953610102,0.5009150061977141,2.0036600247908565,0.8710598130691435,0.6159323006402778,1.0168260483148759,1.0108076872804592
sis_local_fit,2,16,14505,16,1.5870420040515913,0.709961431932725,0.5020185429005413,2.8398457277309,1.062517878338267,0.7513135969049317,1.0095461378699075,1.0022599083708377
sis_local_fit,2,32,14665,32,1.5844153293147543,0.7065502699433027,0.49960648712609496,3.9968518970087605,0.9992794284581731,0.7065972601629916,1.0049857201861194,1.0126915163283428
sis_local_fit,2,64,14985,64,1.5827442477700677,0.7071219605814912,0.5000107334530991,5.65697568465193,0.6693438780347508,0.4732975951040738,1.018901120786202,1.018631791453201
sis_local_fit,2,128,15625,128,1.5824166779341111,0.7097826156580741,0.5018921007001491,8.030273611202388,0.5547025148369631,0.3922339097824481,1.0076269702029312,1.0089292195144581
sis_local_fit,2,256,16905,256,1.5896261564513046,0.7075334562954718,0.5003017048628838,11.320535300727549,0.5291460792736434,0.37416278089266775,1.0093965064765342,1.0026343701559857
