experiment,method,gate_type,theta,q0,q1,chi_max,tdvp_substeps,sequence,gate_count,infidelity_median,infidelity_min,infidelity_max,n_seeds
A,hybrid_tdvp,rzz,0.05,2,9,16,1,,1,6.661338147750939e-15,6.661338147750939e-15,6.661338147750939e-15,1
A,hybrid_tdvp,rzz,0.05,2,9,32,1,,1,6.661338147750939e-15,6.661338147750939e-15,6.661338147750939e-15,1
A,hybrid_tdvp,rzz,0.05,2,9,64,1,,1,6.661338147750939e-15,6.661338147750939e-15,6.661338147750939e-15,1
A,hybrid_tdvp,rzz,0.05,2,9,8,1,,1,0.0004225548333638418,0.0004225548333638418,0.0004225548333638418,1
A,hybrid_tdvp,rzz,0.1,2,9,16,1,,1,0.0,0.0,0.0,1
A,hybrid_tdvp,rzz,0.1,2,9,32,1,,1,0.0,0.0,0.0,1
A,hybrid_tdvp,rzz,0.1,2,9,64,1,,1,0.0,0.0,0.0,1
A,hybrid_tdvp,rzz,0.1,2,9,8,1,,1,0.0016860344774703995,0.0016860344774703995,0.0016860344774703995,1
A,hybrid_tdvp,rzz,0.2,2,9,16,1,,1,0.0,0.0,0.0,1
A,hybrid_tdvp,rzz,0.2,2,9,32,1,,1,0.0,0.0,0.0,1
A,hybrid_tdvp,rzz,0.2,2,9,64,1,,1,0.0,0.0,0.0,1
A,hybrid_tdvp,rzz,0.2,2,9,8,1,,1,0.006667166181291373,0.006667166181291373,0.006667166181291373,1
A,mpo_zipup,rxx,0.0125,2,9,16,,,1,0.0,0.0,0.0,1
A,mpo_zipup,rxx,0.0125,2,9,32,,,1,0.0,0.0,0.0,1
A,mpo_zipup,rxx,0.0125,2,9,64,,,1,0.0,0.0,0.0,1
A,mpo_zipup,rxx,0.0125,2,9,8,,,1,0.2459506793357551,0.2459506793357551,0.2459506793357551,1
A,mpo_zipup,rxx,0.025,2,9,16,,,1,0.0,0.0,0.0,1
A,mpo_zipup,rxx,0.025,2,9,32,,,1,0.0,0.0,0.0,1
A,mpo_zipup,rxx,0.025,2,9,64,,,1,0.0,0.0,0.0,1
A,mpo_zipup,rxx,0.025,2,9,8,,,1,0.24595067933575165,0.24595067933575165,0.24595067933575165,1
A,mpo_zipup,rxx,0.05,2,9,16,,,1,0.0,0.0,0.0,1
A,mpo_zipup,rxx,0.05,2,9,32,,,1,0.0,0.0,0.0,1
A,mpo_zipup,rxx,0.05,2,9,64,,,1,0.0,0.0,0.0,1
A,mpo_zipup,rxx,0.05,2,9,8,,,1,0.24595067933575177,0.24595067933575177,0.24595067933575177,1
A,mpo_zipup,rxx,0.1,2,9,16,,,1,0.0,0.0,0.0,1
A,mpo_zipup,rxx,0.1,2,9,32,,,1,0.0,0.0,0.0,1
A,mpo_zipup,rxx,0.1,2,9,64,,,1,0.0,0.0,0.0,1
