sequence,method,seed,criterion,chi_max,param_count,runtime_cumulative,final_infidelity,final_max_obs_error
mixed,hybrid_tdvp,11,max_obs_1e-2,16,2728,0.4723043760168366,0.004058300063562448,0.00391723414551351
mixed,hybrid_tdvp,11,max_obs_1e-3,32,6824,1.3772193263284862,4.905222942164222e-06,2.9928739515544533e-05
mixed,hybrid_tdvp,22,infidelity_1e-2,32,6824,1.1397494991542771,0.00011071831684861255,0.00022624730660554537
mixed,hybrid_tdvp,22,infidelity_1e-3,32,6824,1.1397494991542771,0.00011071831684861255,0.00022624730660554537
mixed,hybrid_tdvp,22,max_obs_1e-2,32,6824,1.1397494991542771,0.00011071831684861255,0.00022624730660554537
mixed,hybrid_tdvp,22,max_obs_1e-3,32,6824,1.1397494991542771,0.00011071831684861255,0.00022624730660554537
mixed,hybrid_tdvp,33,infidelity_1e-2,32,6824,1.1485109131899662,4.9279554196313136e-05,0.0002744929466989565
mixed,hybrid_tdvp,33,infidelity_1e-3,32,6824,1.1485109131899662,4.9279554196313136e-05,0.0002744929466989565
mixed,hybrid_tdvp,33,max_obs_1e-2,32,6824,1.1485109131899662,4.9279554196313136e-05,0.0002744929466989565
mixed,hybrid_tdvp,33,max_obs_1e-3,32,6824,1.1485109131899662,4.9279554196313136e-05,0.0002744929466989565
mixed,tebd_swap,11,infidelity_1e-2,64,10920,0.162366496224422,0.0,8.332647177811126e-08
mixed,tebd_swap,11,infidelity_1e-3,64,10920,0.162366496224422,0.0,8.332647177811126e-08
mixed,tebd_swap,11,max_obs_1e-2,64,10920,0.162366496224422,0.0,8.332647177811126e-08
mixed,tebd_swap,11,max_obs_1e-3,64,10920,0.162366496224422,0.0,8.332647177811126e-08
mixed,tebd_swap,22,infidelity_1e-2,64,10920,0.16369252098957077,1.5729599844860331e-09,1.1230544488816108e-07
mixed,tebd_swap,22,infidelity_1e-3,64,10920,0.16369252098957077,1.5729599844860331e-09,1.1230544488816108e-07
mixed,tebd_swap,22,max_obs_1e-2,64,10920,0.16369252098957077,1.5729599844860331e-09,1.1230544488816108e-07
mixed,tebd_swap,22,max_obs_1e-3,64,10920,0.16369252098957077,1.5729599844860331e-09,1.1230544488816108e-07
mixed,tebd_swap,33,infidelity_1e-2,64,10920,0.15780237811850384,0.0,5.659030910543095e-08
mixed,tebd_swap,33,infidelity_1e-3,64,10920,0.15780237811850384,0.0,5.659030910543095e-08
mixed,tebd_swap,33,max_obs_1e-2,64,10920,0.15780237811850384,0.0,5.659030910543095e-08
mixed,tebd_swap,33,max_obs_1e-3,64,10920,0.15780237811850384,0.0,5.659030910543095e-08
mixed,mpo_zipup,11,infidelity_1e-2,64,18344,0.3413537730812095,0.0,2.0761170560490427e-14
mixed,mpo_zipup,11,infidelity_1e-3,64,18344,0.3413537730812095,0.0,2.0761170560490427e-14
mixed,mpo_zipup,11,max_obs_1e-2,64,18344,0.3413537730812095,0.0,2.0761170560490427e-14
mixed,mpo_zipup,11,max_obs_1e-3,64,18344,0.3413537730812095,0.0,2.0761170560490427e-14
mixed,mpo_zipup,22,infidelity_1e-2,64,18344,0.32651833578711376,0.0,6.261657858885883e-14
mixed,mpo_zipup,22,infidelity_1e-3,64,18344,0.32651833578711376,0.0,6.261657858885883e-14
mixed,mpo_zipup,22,max_obs_1e-2,64,18344,0.32651833578711376,0.0,6.261657858885883e-14
mixed,mpo_zipup,22,max_obs_1e-3,64,18344,0.32651833578711376,0.0,6.261657858885883e-14
mixed,mpo_zipup,33,infidelity_1e-2,64,18344,0.33941383723868057,0.0,9.46465128492946e-15
mixed,mpo_zipup,33,infidelity_1e-3,64,18344,0.33941383723868057,0.0,9.46465128492946e-15
mixed,mpo_zipup,33,max_obs_1e-2,64,18344,0.33941383723868057,0.0,9.46465128492946e-15
mixed,mpo_zipup,33,max_obs_1e-3,64,18344,0.33941383723868057,0.0,9.46465128492946e-15
mixed,variational_mpo,11,infidelity_1e-2,64,18344,339.20965305925347,0.0,2.0761170560490427e-14
mixed,variational_mpo,11,infidelity_1e-3,64,18344,339.20965305925347,0.0,2.0761170560490427e-14
mixed,variational_mpo,11,max_obs_1e-2,64,18344,339.20965305925347,0.0,2.0761170560490427e-14
mixed,variational_mpo,11,max_obs_1e-3,64,18344,339.20965305925347,0.0,2.0761170560490427e-14
mixed,variational_mpo,22,infidelity_1e-2,64,18344,340.1812608159962,0.0,6.261657858885883e-14
mixed,variational_mpo,22,infidelity_1e-3,64,18344,340.1812608159962,0.0,6.261657858885883e-14
mixed,variational_mpo,22,max_obs_1e-2,64,18344,340.1812608159962,0.0,6.261657858885883e-14
mixed,variational_mpo,22,max_obs_1e-3,64,18344,340.1812608159962,0.0,6.261657858885883e-14
mixed,variational_mpo,33,infidelity_1e-2,64,18344,340.7138121081516,0.0,9.46465128492946e-15
mixed,variational_mpo,33,infidelity_1e-3,64,18344,340.7138121081516,0.0,9.46465128492946e-15
mixed,variational_mpo,33,max_obs_1e-2,64,18344,340.7138121081516,0.0,9.46465128492946e-15
mixed,variational_mpo,33,max_obs_1e-3,64,18344,340.7138121081516,0.0,9.46465128492946e-15
