sequence,gate_count,layer,position_in_layer,gate_type,theta,q0,q1,exact_norm,tdvp_norm,tebd_norm,mpo_norm,infidelity_exact_tdvp,infidelity_exact_tebd,infidelity_exact_mpo,infidelity_tdvp_tebd,infidelity_tdvp_mpo,infidelity_tebd_mpo,exact_state_hash,gate_matrix_hash
commuting,22,8,1,rzz,0.05,2,9,0.9999999999999999,0.9999999999995246,1.0000000007266223,1.0000000000000235,1.5795809105156877e-11,0.0,0.0,0.0,1.574917973812262e-11,0.0,991067aec8d3c7848af9940a117edd7b12ab5e42cb19164854ac00c209a4d0ae,40476707a467b4705373b05fdff89c2d1421387aff9ff078af311c16afb8f886
commuting,23,8,2,rzz,0.05,2,8,1.0000000000000002,0.9999999999995222,0.9999999984847914,1.0000000000000242,1.5799805908045528e-11,3.0304232456757063e-09,0.0,3.046229046788085e-09,1.5752066317986646e-11,3.0303752840410425e-09,6782d87ecd32b04b100eea46a86d86a0270811105fa75db16fb8d424fa341044,64824f732706baf404290ffe42b3f5c33237b2e2101d68ae706f620c01f5b1d9
commuting,24,8,3,rzz,0.05,3,9,1.0000000000000004,0.9999999999995254,0.9999999995300232,1.0000000000000275,1.5795142971342102e-11,9.399598877024573e-10,0.0,9.557612479227373e-10,1.5741408176950245e-11,9.399059308634605e-10,067b71d3a8dfde3ccb05327ba20d6b81a38497d33bc8d6abf36916f792852ff2,c5bd595a7eb5e4900bde8732bacdb007a08bbca4966bdcb2dc854f8323013d51
commuting,25,9,1,rzz,0.05,2,9,1.0000000000000007,0.9999999999995307,1.0000000001236884,1.0000000000000253,1.57844848303057e-11,0.0,0.0,0.0,1.5733858660382793e-11,0.0,f9694252c81605e28c080075bcba116a1c36cbec9441c72a94ecf90746dca047,40476707a467b4705373b05fdff89c2d1421387aff9ff078af311c16afb8f886
commuting,26,9,2,rzz,0.05,2,8,1.0000000000000004,0.9999999999995298,0.9999999983424749,1.0000000000000255,1.5785595053330326e-11,3.3150577838370054e-09,0.0,3.3308502622730884e-09,1.573541297261727e-11,3.3150078238008973e-09,fec1de1dd8070a84452e29acfe4d22921986c534e1e4feaaa87141a6094a8afa,64824f732706baf404290ffe42b3f5c33237b2e2101d68ae706f620c01f5b1d9
commuting,27,9,3,rzz,0.05,3,9,1.0000000000000004,0.9999999999995317,0.9999999986983487,1.0000000000000266,1.5781598250441675e-11,2.6033120104074214e-09,0.0,2.619100047951406e-09,1.5729639812889218e-11,2.603259829925264e-09,87df95052f5ffb78bd18fe1a14689d9e7babb6b4e56477019525d5e3a8e89927,c5bd595a7eb5e4900bde8732bacdb007a08bbca4966bdcb2dc854f8323013d51
commuting,28,10,1,rzz,0.05,2,9,1.0000000000000004,0.9999999999995299,0.9999999993785579,1.0000000000000275,1.5784706874910626e-11,1.2428960083354923e-09,0.0,1.2586869324593408e-09,1.5730972080518768e-11,1.2428413853626807e-09,b03cc64a8048713daef438956168f5c4b7f849e27ed8aa94a587f29edc1661d5,40476707a467b4705373b05fdff89c2d1421387aff9ff078af311c16afb8f886
commuting,29,10,2,rzz,0.05,2,8,1.0000000000000007,0.9999999999995292,0.9999999967083668,1.000000000000028,1.5786039142540176e-11,6.583279477112569e-09,0.0,6.599072177593257e-09,1.5731638214333543e-11,6.583225964362782e-09,61997f57f25086df5d0e05eda7f48cf389822793f90aa6429e5900bfd92aeef6,64824f732706baf404290ffe42b3f5c33237b2e2101d68ae706f620c01f5b1d9
commuting,30,10,3,rzz,0.05,3,9,1.0000000000000009,0.9999999999995319,0.9999999978283385,1.0000000000000289,1.578048802741705e-11,4.3433374674606284e-09,0.0,4.359124616826193e-09,1.5724310742371017e-11,4.343281290175582e-09,164fba0435513ba60c5c1099bf781ef04142dce64b39dd095050b0a9d1f72eef,c5bd595a7eb5e4900bde8732bacdb007a08bbca4966bdcb2dc854f8323013d51
commuting,31,11,1,rzz,0.05,2,9,1.0000000000000007,0.9999999999995389,0.999999998562931,1.0000000000000304,1.5765611038887073e-11,2.8741526936215678e-09,0.0,2.889926520310837e-09,1.570676921858194e-11,2.874092963622843e-09,8166066163d0c0426d463f6aa826213be57fe389575b7a6802bff5949af0e5f1,40476707a467b4705373b05fdff89c2d1421387aff9ff078af311c16afb8f886
commuting,32,11,2,rzz,0.05,2,8,1.0000000000000007,0.9999999999995366,0.9999999978012277,1.0000000000000318,1.5770940109405274e-11,4.397560537938716e-09,0.0,4.413339027564689e-09,1.570854557542134e-11,4.397498809538547e-09,29f6f5038698f6a86906de559570e3b7d904134a729e83d0385f010e9d33302b,64824f732706baf404290ffe42b3f5c33237b2e2101d68ae706f620c01f5b1d9
commuting,33,11,3,rzz,0.05,3,9,1.0000000000000007,0.9999999999995398,1.000000000122739,1.0000000000000338,1.5764056726652598e-11,0.0,0.0,0.0,1.569877561280464e-11,0.0,273a5e2d30974a72f7be8e369bd81f443dfe3aaa50cbed9c260dc807ff18e5a1,c5bd595a7eb5e4900bde8732bacdb007a08bbca4966bdcb2dc854f8323013d51
commuting,34,12,1,rzz,0.05,2,9,1.0000000000000007,0.9999999999995403,1.0000000009730494,1.000000000000034,1.5763390592837823e-11,0.0,0.0,0.0,1.5697221300570163e-11,0.0,95b1ddb082506fa0557a4683250a7ac9233b3ba1ffb0263d019bbd1385c34c2b,40476707a467b4705373b05fdff89c2d1421387aff9ff078af311c16afb8f886
commuting,35,12,2,rzz,0.05,2,8,1.000000000000001,0.9999999999995424,1.0000000002739586,1.0000000000000355,1.5758283566924547e-11,0.0,0.0,0.0,1.5689671784002712e-11,0.0,eb0f060a77de1192459c3dc508219c49a69c4bf9f5bff25e234fb079e5d3b2bb,64824f732706baf404290ffe42b3f5c33237b2e2101d68ae706f620c01f5b1d9
commuting,36,12,3,rzz,0.05,3,9,1.0000000000000007,0.9999999999995396,1.0000000018295927,1.0000000000000342,1.5764278771257523e-11,0.0,0.0,0.0,1.5698109478989863e-11,0.0,60ca791c76268311c70860ebd28b352ebd3cc0a189741bc57339c8fb7ad50068,c5bd595a7eb5e4900bde8732bacdb007a08bbca4966bdcb2dc854f8323013d51
