J,cut,k,L,entropy_SV,modes_R,chi,s_pt,r_pt,rank_SV
0.0,1,3,6,-0.0,1.0,1,0.0,1.0,1
0.0,2,3,6,-0.0,1.0,8,0.36787476131775515,1.4446611001913698,1
0.0,3,3,6,-0.0,1.0,8,0.3596645703587469,1.4328487140141297,1
1.0,1,3,6,1.5309975095951224e-06,1.0000015309986816,1,0.0,1.0,3
1.0,2,3,6,0.00023701285220064383,1.0002370409419659,16,0.0016770675646603722,1.0016784746289393,4
1.0,3,3,6,0.0005679982862070133,1.0005681596277793,16,0.3678747613180137,1.4446611001917433,4
2.0,1,3,6,2.7530205712200213e-05,1.0000275305846718,1,0.0,1.0,3
2.0,2,3,6,0.004274904849708449,1.0042840552898862,12,0.006013041897443005,1.0060311565236746,4
2.0,3,3,6,0.005663408822636509,1.0056794762401802,16,0.3678747613487463,1.4446611002361416,4
