basis,N,seed,err_U,err_pred,prefactor_pred
standard,8,15425,127.49253737738395,35.20943051693304,99.58730832095969
standard,16,15505,285.54378220849424,112.46114437166656,449.84457748666625
standard,32,15665,251.43222708473436,17.209578892810047,97.35207949176689
standard,64,15985,121.58396854946686,55.601750189816684,444.8140015185335
standard,128,16625,88.52493995855694,45.9096266071069,519.4081327300423
standard,256,17905,65.12467248712989,9.061372106450104,144.98195370320167
random_low_overlap,8,15425,510.143187525344,116.92229965207,330.7062038236168
random_low_overlap,16,15505,637.5904739501747,250.70671890847746,1002.8268756339098
random_low_overlap,32,15665,528.2068927945743,106.80551205365093,604.183214729905
random_low_overlap,64,15985,259.7999956846106,75.65560979439296,605.2448783551437
random_low_overlap,128,16625,182.4994772536548,15.748127668440038,178.16972584552713
random_low_overlap,256,17905,138.18799242052958,27.050899850172737,432.8143976027638
tetrahedral,8,15425,20.833478801705287,12.804070239353564,36.215379572143064
tetrahedral,16,15505,62.53469236029982,56.33779726227359,225.35118904909436
tetrahedral,32,15665,41.7074442357151,10.08779166830444,57.0651671668418
tetrahedral,64,15985,26.318475435560206,12.278906184396758,98.23124947517407
tetrahedral,128,16625,17.606867580329446,2.661624408810956,30.1128426950698
tetrahedral,256,17905,11.77745844186709,2.744028430925398,43.90445489480637
