experiment,method,gate_type,theta,q0,q1,chi_max,tdvp_substeps,sequence,gate_count,infidelity_median,infidelity_min,infidelity_max,n_seeds
A,hybrid_tdvp,rxx,0.2,2,9,64,8,,1,1.1730594273728912e-10,1.1730594273728912e-10,1.1730594273728912e-10,1
A,hybrid_tdvp,rxx,0.2,2,9,8,1,,1,0.0040391829726272865,0.0040391829726272865,0.0040391829726272865,1
A,hybrid_tdvp,rxx,0.2,2,9,8,2,,1,0.0040978289938437,0.0040978289938437,0.0040978289938437,1
A,hybrid_tdvp,rxx,0.2,2,9,8,4,,1,0.004125500678112681,0.004125500678112681,0.004125500678112681,1
A,hybrid_tdvp,rxx,0.2,2,9,8,8,,1,0.004139003195776203,0.004139003195776203,0.004139003195776203,1
A,hybrid_tdvp,ryy,0.025,2,9,16,1,,1,0.0,0.0,0.0,1
A,hybrid_tdvp,ryy,0.025,2,9,16,2,,1,8.193890010943505e-11,8.193890010943505e-11,8.193890010943505e-11,1
A,hybrid_tdvp,ryy,0.025,2,9,16,4,,1,2.0470292128038636e-11,2.0470292128038636e-11,2.0470292128038636e-11,1
A,hybrid_tdvp,ryy,0.025,2,9,16,8,,1,5.114575429843171e-12,5.114575429843171e-12,5.114575429843171e-12,1
A,hybrid_tdvp,ryy,0.025,2,9,64,1,,1,0.0,0.0,0.0,1
A,hybrid_tdvp,ryy,0.025,2,9,64,2,,1,8.193890010943505e-11,8.193890010943505e-11,8.193890010943505e-11,1
A,hybrid_tdvp,ryy,0.025,2,9,64,4,,1,2.0470292128038636e-11,2.0470292128038636e-11,2.0470292128038636e-11,1
A,hybrid_tdvp,ryy,0.025,2,9,64,8,,1,5.114575429843171e-12,5.114575429843171e-12,5.114575429843171e-12,1
A,hybrid_tdvp,ryy,0.025,2,9,8,1,,1,7.978525790730551e-05,7.978525790730551e-05,7.978525790730551e-05,1
A,hybrid_tdvp,ryy,0.025,2,9,8,2,,1,7.980366723381316e-05,7.980366723381316e-05,7.980366723381316e-05,1
A,hybrid_tdvp,ryy,0.025,2,9,8,4,,1,7.981516289712332e-05,7.981516289712332e-05,7.981516289712332e-05,1
A,hybrid_tdvp,ryy,0.025,2,9,8,8,,1,7.98214873100056e-05,7.98214873100056e-05,7.98214873100056e-05,1
A,hybrid_tdvp,ryy,0.05,2,9,16,1,,1,0.0,0.0,0.0,1
A,hybrid_tdvp,ryy,0.05,2,9,16,2,,1,5.773159728050814e-15,5.773159728050814e-15,5.773159728050814e-15,1
A,hybrid_tdvp,ryy,0.05,2,9,16,4,,1,8.192535538853463e-11,8.192535538853463e-11,8.192535538853463e-11,1
A,hybrid_tdvp,ryy,0.05,2,9,16,8,,1,2.0472512574087887e-11,2.0472512574087887e-11,2.0472512574087887e-11,1
A,hybrid_tdvp,ryy,0.05,2,9,64,1,,1,0.0,0.0,0.0,1
A,hybrid_tdvp,ryy,0.05,2,9,64,2,,1,5.773159728050814e-15,5.773159728050814e-15,5.773159728050814e-15,1
A,hybrid_tdvp,ryy,0.05,2,9,64,4,,1,8.192535538853463e-11,8.192535538853463e-11,8.192535538853463e-11,1
A,hybrid_tdvp,ryy,0.05,2,9,64,8,,1,2.0472512574087887e-11,2.0472512574087887e-11,2.0472512574087887e-11,1
A,hybrid_tdvp,ryy,0.05,2,9,8,1,,1,0.0003185140922913332,0.0003185140922913332,0.0003185140922913332,1
A,hybrid_tdvp,ryy,0.05,2,9,8,2,,1,0.00031882336195709904,0.00031882336195709904,0.00031882336195709904,1
A,hybrid_tdvp,ryy,0.05,2,9,8,4,,1,0.0003190104804561278,0.0003190104804561278,0.0003190104804561278,1
A,hybrid_tdvp,ryy,0.05,2,9,8,8,,1,0.000319112148358891,0.000319112148358891,0.000319112148358891,1
A,hybrid_tdvp,ryy,0.1,2,9,16,1,,1,1.3322676295501878e-15,1.3322676295501878e-15,1.3322676295501878e-15,1
A,hybrid_tdvp,ryy,0.1,2,9,16,2,,1,4.440892098500626e-16,4.440892098500626e-16,4.440892098500626e-16,1
A,hybrid_tdvp,ryy,0.1,2,9,16,4,,1,0.0,0.0,0.0,1
A,hybrid_tdvp,ryy,0.1,2,9,16,8,,1,8.18833889582038e-11,8.18833889582038e-11,8.18833889582038e-11,1
A,hybrid_tdvp,ryy,0.1,2,9,64,1,,1,1.3322676295501878e-15,1.3322676295501878e-15,1.3322676295501878e-15,1
A,hybrid_tdvp,ryy,0.1,2,9,64,2,,1,4.440892098500626e-16,4.440892098500626e-16,4.440892098500626e-16,1
A,hybrid_tdvp,ryy,0.1,2,9,64,4,,1,0.0,0.0,0.0,1
A,hybrid_tdvp,ryy,0.1,2,9,64,8,,1,8.18833889582038e-11,8.18833889582038e-11,8.18833889582038e-11,1
A,hybrid_tdvp,ryy,0.1,2,9,8,1,,1,0.0012449569523014237,0.0012449569523014237,0.0012449569523014237,1
A,hybrid_tdvp,ryy,0.1,2,9,8,2,,1,0.0012514557237768287,0.0012514557237768287,0.0012514557237768287,1
A,hybrid_tdvp,ryy,0.1,2,9,8,4,,1,0.0012548912064218598,0.0012548912064218598,0.0012548912064218598,1
A,hybrid_tdvp,ryy,0.1,2,9,8,8,,1,0.0012566579685366897,0.0012566579685366897,0.0012566579685366897,1
A,hybrid_tdvp,ryy,0.2,2,9,16,1,,1,0.0,0.0,0.0,1
A,hybrid_tdvp,ryy,0.2,2,9,16,2,,1,0.0,0.0,0.0,1
A,hybrid_tdvp,ryy,0.2,2,9,16,4,,1,0.0,0.0,0.0,1
A,hybrid_tdvp,ryy,0.2,2,9,16,8,,1,0.0,0.0,0.0,1
A,hybrid_tdvp,ryy,0.2,2,9,64,1,,1,0.0,0.0,0.0,1
A,hybrid_tdvp,ryy,0.2,2,9,64,2,,1,0.0,0.0,0.0,1
A,hybrid_tdvp,ryy,0.2,2,9,64,4,,1,0.0,0.0,0.0,1
A,hybrid_tdvp,ryy,0.2,2,9,64,8,,1,0.0,0.0,0.0,1
A,hybrid_tdvp,ryy,0.2,2,9,8,1,,1,0.004343033797991502,0.004343033797991502,0.004343033797991502,1
A,hybrid_tdvp,ryy,0.2,2,9,8,2,,1,0.004522667424727289,0.004522667424727289,0.004522667424727289,1
A,hybrid_tdvp,ryy,0.2,2,9,8,4,,1,0.004597455647526116,0.004597455647526116,0.004597455647526116,1
A,hybrid_tdvp,ryy,0.2,2,9,8,8,,1,0.004632029224674761,0.004632029224674761,0.004632029224674761,1
