layer,no_noise_z,x_noise_0_01_z,x_noise_0_1_z
input,1.0000000000,1.0000000000,1.0000000000
single-qubit layer,-0.6936612003,-0.6936612003,-0.6936612003
sequential 0-1,-0.6936612003,-0.6936612003,-0.6936612003
sequential 1-2,0.4189674011,0.4174077115,0.3725852252
sequential 2-3,0.5343198468,0.5159629280,0.3836350814
sequential 3-4,0.5343198468,0.5159629280,0.3836350814
