gamma,target_seed,method,initial_validation_fidelity,final_validation_fidelity,best_validation_fidelity,best_iteration,final_noiseless_fidelity,train_trajectories,validation_trajectories
0.001,128,independent,0.079870481018813,0.7924506046080089,0.7924506046080089,80,0.9213989585106784,16,32
0.001,128,cross,0.07868598633852698,0.7938077894070926,0.7938077894070926,80,0.9281156291570728,4,12
0.012,128,independent,0.05764352868864815,0.19225102887279222,0.19225102887279222,80,0.5847240235031018,16,32
0.012,128,cross,0.04813323075647497,0.1991645212381676,0.1991645212381676,80,0.5531948098078809,4,12
0.023000000000000003,128,independent,0.06014849019991736,0.08494982523542728,0.08494982523542728,80,0.22066181465586027,16,32
0.023000000000000003,128,cross,0.05765656287531246,0.07406281418025101,0.07431033501302065,79,0.22175978519952388,4,12
0.034,128,independent,0.06595890021995025,0.07644660748021032,0.07644660748021032,80,0.14053404079519782,16,32
0.034,128,cross,0.0646681981327703,0.07413048679072155,0.07420962520252919,79,0.14172771755456434,4,12
0.045000000000000005,128,independent,0.07162014289951887,0.07540819530973726,0.07546568808727364,79,0.10406045653357884,16,32
0.045000000000000005,128,cross,0.06315575693677657,0.061140903275136056,0.06404736545131094,7,0.09879096714340448,4,12
0.05600000000000001,128,independent,0.07524029661174043,0.07871512466217673,0.07871512466217673,80,0.09244087696898022,16,32
0.05600000000000001,128,cross,0.05531157407480839,0.05939001324158726,0.05983980139865885,77,0.0929188970557088,4,12
0.067,128,independent,0.06381766904480443,0.062075334755149605,0.06381766904480443,0,0.09949303214335956,16,32
0.067,128,cross,0.05233294622947656,0.053755337461485066,0.054928327257944914,71,0.08829332592619238,4,12
0.07800000000000001,128,independent,0.05352040179640631,0.05233489966788628,0.05354424362048745,6,0.10125859609882402,16,32
0.07800000000000001,128,cross,0.050750735942342494,0.04727957387438892,0.051005880658958926,1,0.0931390676493473,4,12
0.08900000000000001,128,independent,0.06470764997794896,0.06527992460420833,0.06567688551501549,79,0.09314516331650513,16,32
0.08900000000000001,128,cross,0.07003858117682489,0.07284643967054295,0.07299367938295483,79,0.10380134961005875,4,12
0.1,128,independent,0.056909813576641224,0.05702008414644311,0.05746278191465971,43,0.09251914674830404,16,32
0.1,128,cross,0.06253440744217494,0.062340387825463604,0.06336831585423515,8,0.09705063095914893,4,12
