gamma,target_seed,method,initial_validation_fidelity,final_validation_fidelity,best_validation_fidelity,best_iteration,final_noiseless_fidelity,train_trajectories,validation_trajectories
0.001,126,independent,0.06320326847529542,0.7526451166251564,0.7526451166251564,80,0.8722118730597491,16,32
0.001,126,cross,0.06703808132452736,0.7612013259523737,0.7612013259523737,80,0.880663600362458,4,12
0.012,126,independent,0.06240248699242256,0.11752893543724353,0.11752893543724353,80,0.34044146937951014,16,32
0.012,126,cross,0.06601255014244194,0.11644718692072516,0.11644718692072516,80,0.2954336369665662,4,12
0.023000000000000003,126,independent,0.0680078419165559,0.07493165010667766,0.07558321585155439,72,0.08896534886082907,16,32
0.023000000000000003,126,cross,0.09312128061398119,0.09145074757224686,0.09775517312549149,36,0.09789824537815185,4,12
0.034,126,independent,0.07267556280022887,0.0746976109559784,0.07476674756995025,76,0.06945372557848342,16,32
0.034,126,cross,0.09340953791118446,0.09390677911085932,0.09510450917563755,59,0.07909775250520897,4,12
0.045000000000000005,126,independent,0.09271659686870876,0.09091519951520766,0.09271659686870876,0,0.06406070170218173,16,32
0.045000000000000005,126,cross,0.09295140638979932,0.09463504087923123,0.09476547280132376,79,0.06392907620572925,4,12
0.05600000000000001,126,independent,0.0731391221427798,0.07394999280391949,0.07410374675025139,79,0.05512547764511073,16,32
0.05600000000000001,126,cross,0.07405555444710658,0.07652118468550473,0.07673521421496209,77,0.0513534335263439,4,12
0.067,126,independent,0.07374481076526734,0.07271768191989045,0.07382604480945476,49,0.06262526093548804,16,32
0.067,126,cross,0.07425204996310075,0.07701834071923996,0.07811610623115196,73,0.05452106252193547,4,12
0.07800000000000001,126,independent,0.06404548634622995,0.0651028973213442,0.06522680502358405,75,0.06290864785785319,16,32
0.07800000000000001,126,cross,0.07063398818630917,0.07167773511000805,0.07262551375566018,54,0.0617627730553635,4,12
0.08900000000000001,126,independent,0.0704100644608156,0.07154768005919075,0.07203648037674162,72,0.05377589041567416,16,32
0.08900000000000001,126,cross,0.0690958443620421,0.07236053019919057,0.0727351193710233,76,0.0639689958112259,4,12
0.1,126,independent,0.06242437795438843,0.06286980743169798,0.06334923330756063,75,0.07232965216086032,16,32
0.1,126,cross,0.06024602379672086,0.058951488852687216,0.06024602379672086,0,0.06447964843356027,4,12
