gamma,target_seed,method,initial_validation_fidelity,final_validation_fidelity,best_validation_fidelity,best_iteration,final_noiseless_fidelity,train_trajectories,validation_trajectories
0.001,125,independent,0.0038469846728646784,0.47389084185919905,0.47389084185919905,80,0.52989878893604,16,32
0.001,125,cross,0.0019156190053052702,0.1969964900108709,0.1969964900108709,80,0.2101554663547964,4,12
0.012,125,independent,0.03564909299342385,0.2497994985766668,0.2497994985766668,80,0.6085854254019984,16,32
0.012,125,cross,0.028748006890699687,0.2139872787328514,0.2139872787328514,80,0.34577028595160103,4,12
0.023000000000000003,125,independent,0.06009603760499803,0.0950411143570163,0.0950411143570163,80,0.0474023707600453,16,32
0.023000000000000003,125,cross,0.0643602723932498,0.07111157720565069,0.07246622016060923,34,0.054102925427733026,4,12
0.034,125,independent,0.024083912621771626,0.03420518600074149,0.03420518600074149,80,0.008341854232843398,16,32
0.034,125,cross,0.020744326198569144,0.029074251406620382,0.029074251406620382,80,0.007816690624231471,4,12
0.045000000000000005,125,independent,0.05032071667815614,0.0543634254368488,0.0543634254368488,80,0.0011476123377575013,16,32
0.045000000000000005,125,cross,0.07477693583864874,0.08137742604272573,0.08216296227086131,70,0.003402917537443444,4,12
0.05600000000000001,125,independent,0.04216657031371317,0.04373564709877738,0.04373564709877738,80,0.0008752175184994593,16,32
0.05600000000000001,125,cross,0.08257160444111303,0.08721806935552358,0.08747975203520879,77,0.00017692888548918244,4,12
0.067,125,independent,0.05090134338572707,0.051292051154709487,0.05150251137380224,55,9.424465444808512e-05,16,32
0.067,125,cross,0.055466749265797706,0.05802181014649705,0.05802181014649705,80,7.32162304425078e-05,4,12
0.07800000000000001,125,independent,0.04197077094444908,0.04063367242877896,0.04212102173332075,4,2.8242232691192525e-05,16,32
0.07800000000000001,125,cross,0.026176906475140486,0.02594201158011146,0.02747338442957889,37,9.886244691846688e-05,4,12
0.08900000000000001,125,independent,0.0783026605409954,0.07494696391708798,0.0783026605409954,0,1.7107235257993e-06,16,32
0.08900000000000001,125,cross,0.07668965741547472,0.06812955435883117,0.07729478935139618,13,8.562863444332509e-05,4,12
0.1,125,independent,0.1061134943157334,0.10875775234584173,0.10890734938560394,77,0.00019610625424506818,16,32
0.1,125,cross,0.06190207492005778,0.06297731865006741,0.0643073274505986,66,0.00022856300008856846,4,12
