Iteration,Noiseless,Noisy_Independent,Noisy_Cross,Noisy_Cross_CRN
0,0.02730191560830134,0.08427662262857785,0.08427662262857785,0.0975585536628171
1,0.028550624806774113,0.06767385511565191,0.0667003748205051,0.09940016177946542
2,0.02983060766743227,0.08524814672096545,0.08393625462687593,0.10128138934396658
3,0.031141657725260754,0.0880105206057997,0.086989512727164,0.10320281104367461
4,0.03248362963203283,0.04055586709327332,0.04016077302598589,0.10516497504993254
5,0.03385645515418382,0.0966764258292109,0.09634814573800057,0.10716839954122012
6,0.03526015908739194,0.07329878144463754,0.07211686538053061,0.1092135690767865
7,0.036694874890281295,0.11195706080719181,0.11223334451829677,0.11130093083072208
8,0.038160859851682286,0.08730005449635851,0.08684914961280843,0.11343089069866705
9,0.039658509622955376,0.05689799638622343,0.05522382549511264,0.11560380929165989
10,0.04118837196866061,0.045095355174835164,0.044094582621214365,0.11781999783405786
11,0.04275115961496093,0.04468948962426504,0.043484881691278454,0.1200797139849357
12,0.04434776210524648,0.1160625219282175,0.11656534402574488,0.12238315760488505
13,0.04597925660629136,0.030851818389351617,0.030867056557958968,0.12473046649266666
14,0.04764691764571248,0.09367940298315541,0.09136910046578206,0.12712171211863815
15,0.049352225802642515,0.05693611710430117,0.055912787007995624,0.12955689538432139
16,0.05109687541871851,0.025992288813581056,0.025544948743429736,0.13203594243976557
17,0.052882781446290314,0.14290841799289697,0.14254690241773332,0.13455870059250946
18,0.05471208560613471,0.022797806860920273,0.0220195471493757,0.1371249343438894
19,0.056587162089145854,0.1500923761017489,0.1510556980274133,0.13973432159012594
20,0.058510623107118194,0.20264252916310124,0.2020582636582891,0.14238645002698885
