iteration,mean_fidelity,raw_mean_fidelity,loss,step_size,gradient_norm,mean_jump_count,traj_0,traj_1,traj_2,traj_3,traj_4,traj_5,traj_6,traj_7,traj_8,traj_9,traj_10,traj_11,traj_12,traj_13,traj_14,traj_15,traj_16,traj_17,traj_18,traj_19,traj_20,traj_21,traj_22,traj_23,traj_24,traj_25,traj_26,traj_27,traj_28,traj_29,traj_30,traj_31,traj_32,traj_33,traj_34,traj_35,traj_36,traj_37,traj_38,traj_39,traj_40,traj_41,traj_42,traj_43,traj_44,traj_45,traj_46,traj_47,traj_48,traj_49
10,0.8375096333050998,0.8375096333050998,0.16249036669490025,0.1,0.04581159797192932,0.24,9.9090076437018637e-01,9.9090076437018637e-01,3.2141067460972916e-01,9.9090076437018637e-01,9.9090076437018637e-01,9.9090076437018637e-01,8.0279296400973259e-05,9.9090076437018637e-01,3.8221089390988485e-07,9.9090076437018637e-01,9.9090076437018637e-01,9.9090076437018637e-01,9.9090076437018637e-01,9.9090076437018637e-01,9.9090076437018637e-01,9.9090076437018637e-01,9.9090076437018637e-01,9.9090076437018637e-01,1.8300603904022978e-05,9.9090076437018637e-01,9.9090076437018637e-01,9.9090076437018637e-01,9.9090076437018637e-01,9.9090076437018637e-01,9.9090076437018637e-01,3.7829579640066016e-02,9.9090076437018637e-01,9.9090076437018637e-01,9.9090076437018637e-01,9.9090076437018637e-01,4.9936192450056888e-01,6.0778222805823412e-01,9.9090076437018637e-01,9.9090076437018637e-01,9.9090076437018637e-01,9.9090076437018637e-01,6.9603568325078258e-01,9.9090076437018637e-01,9.9090076437018637e-01,9.9090076437018637e-01,9.9090076437018637e-01,7.8952210069740000e-02,9.9090076437018637e-01,9.9090076437018637e-01,9.9090076437018637e-01,9.9090076437018637e-01,9.9090076437018637e-01,9.9090076437018637e-01,3.5375338570639800e-07,9.8888023882400944e-01
11,0.9045750015042934,0.9045750015042932,0.09542499849570663,0.1,0.040289160768503834,0.16,9.9090198704399124e-01,5.0123306188517780e-01,9.9090198704399124e-01,9.9090198704399124e-01,9.9090198704399124e-01,9.9090198704399124e-01,9.9090198704399124e-01,9.9090198704399124e-01,9.9090198704399124e-01,9.9090198704399124e-01,9.9090198704399124e-01,9.9090198704399124e-01,4.8929282892764209e-01,9.9090198704399124e-01,9.9090198704399124e-01,5.1990419446772218e-01,9.9090198704399124e-01,9.9090198704399124e-01,9.9090198704399124e-01,9.9090198704399124e-01,1.1078190872525613e-07,9.9090198704399124e-01,1.8556800808577567e-01,9.9090198704399124e-01,9.9090198704399124e-01,9.9090198704399124e-01,9.9090198704399124e-01,9.9090198704399124e-01,9.9090198704399124e-01,9.9090198704399124e-01,9.9090198704399124e-01,9.9090198704399124e-01,9.9090198704399124e-01,9.9090198704399124e-01,9.9090198704399124e-01,9.9090198704399124e-01,9.9090198704399124e-01,9.9090198704399124e-01,9.9090198704399124e-01,9.9090198704399124e-01,9.9090198704399124e-01,9.9090198704399124e-01,9.9090198704399124e-01,9.9090198704399124e-01,9.9090198704399124e-01,3.8475966984301562e-04,9.9090198704399124e-01,9.2358166850497725e-01,9.9090198704399124e-01,9.9090198704399124e-01
12,0.8617245018008208,0.86172450180082,0.13827549819917917,0.1,0.029526891345776914,0.2,9.9091949479509889e-01,9.9091949479509889e-01,9.9091949479509889e-01,2.5543713021371380e-04,9.9091949479509889e-01,9.9091949479509889e-01,9.9091949479509889e-01,9.9091949479509889e-01,9.9091949479509889e-01,9.9091949479509889e-01,9.9091949479509889e-01,9.9091949479509889e-01,9.9091949479509889e-01,9.9091949479509889e-01,9.9091949479509889e-01,9.9091916280768910e-01,9.9091949479509889e-01,9.9091949479509889e-01,4.4249515151407277e-04,1.1078610919995943e-03,9.9091949479509889e-01,9.9091949479509889e-01,9.9091949479509889e-01,9.9091949479509889e-01,9.9091949479509889e-01,9.9091949479509889e-01,9.9091949479509889e-01,9.9091949479509889e-01,9.9091949479509889e-01,9.9091949479509889e-01,9.9091949479509889e-01,9.9091949479509889e-01,9.9091949479509889e-01,9.9091949479509889e-01,9.9091949479509889e-01,9.9091949479509889e-01,8.1051805379411516e-07,9.9091949479509889e-01,9.9091949479509889e-01,9.9091949479509889e-01,9.9091949479509889e-01,8.4272843014570054e-01,9.9091949479509889e-01,9.9091949479509889e-01,9.9091949479509889e-01,9.9091949479509889e-01,4.7723117507255877e-04,7.1403837703061593e-03,9.9091949479509889e-01,6.1545399165143355e-01
13,0.8032412394833319,0.8032412394833329,0.19675876051666807,0.1,0.07693164934903174,0.3,9.9092955409435823e-01,4.0726181436842407e-01,9.9092955409435823e-01,3.0531306113414047e-01,9.9092955409435823e-01,9.9092955409435823e-01,9.9092955409435823e-01,6.5107496342683251e-03,9.9092955409435823e-01,9.9092955409435823e-01,9.9092955409435823e-01,9.9092955409435823e-01,7.8179269955835429e-04,9.9092955409435823e-01,9.9092955409435823e-01,9.9092955409435823e-01,9.9092955409435823e-01,9.9092955409435823e-01,9.9092955409435823e-01,9.9092955409435823e-01,6.1851222504534853e-01,9.9092955409435823e-01,9.9092955409435823e-01,9.9092955409435823e-01,9.9092955409435823e-01,5.0296436875454958e-02,9.9092955409435823e-01,9.9092955409435823e-01,9.9092955409435823e-01,9.9092955409435823e-01,2.0786548359343409e-03,6.1154741546330549e-01,9.9092955409435823e-01,9.9092955409435823e-01,9.9092955409435823e-01,1.9813373836660841e-01,3.0531306113414047e-01,9.9092955409435823e-01,9.9092955409435823e-01,9.9092955409435823e-01,9.9092955409435823e-01,2.0598978730521430e-04,9.9092955409435823e-01,9.9092955409435823e-01,9.9092955409435823e-01,7.8397923649871869e-04,9.9092955409435823e-01,9.9092955409435823e-01,9.9092955409435823e-01,9.9092955409435823e-01
14,0.8270269761281003,0.8270269761281033,0.17297302387189972,0.1,0.038979990490885616,0.26,9.9092762667631196e-01,9.9092762667631196e-01,9.9092762667631196e-01,9.9092762667631196e-01,9.9092762667631196e-01,9.9092762667631196e-01,6.1883743146710446e-04,9.9092762667631196e-01,9.9092762667631196e-01,9.9092762667631196e-01,9.9092762667631196e-01,5.3424505654534127e-06,3.4948271718168700e-01,9.9092762667631196e-01,9.9092762667631196e-01,9.9092762667631196e-01,9.9092762667631196e-01,9.9092762667631196e-01,9.9092762667631196e-01,3.6896422005809693e-01,9.9092762667631196e-01,9.9092762667631196e-01,9.9092762667631196e-01,9.9092762667631196e-01,9.9092762667631196e-01,9.9092762667631196e-01,9.9092762667631196e-01,9.9092762667631196e-01,9.9092762667631196e-01,9.9092762667631196e-01,9.9092762667631196e-01,9.9092762667631196e-01,2.8852115313767789e-03,9.9092762667631196e-01,5.7164006783580422e-05,9.9092762667631196e-01,9.9092762667631196e-01,9.9092762667631196e-01,2.6558582065206763e-06,9.9092762667631196e-01,9.9092762667631196e-01,9.9092762667631196e-01,9.9092762667631196e-01,9.9092762667631196e-01,1.2938974956616996e-03,9.9092762667631196e-01,9.9092762667631196e-01,9.9092762667631196e-01,6.0666623786844276e-06,9.9092762667631196e-01
15,0.922893578094274,0.9228935780942752,0.07710642190572603,0.1,0.04387927189162943,0.12,9.9093211589823060e-01,9.9093211589823060e-01,9.9093211589823060e-01,9.9093211589823060e-01,9.9093211589823060e-01,9.9093211589823060e-01,9.9093211589823060e-01,9.9093211589823060e-01,9.9093211589823060e-01,9.9093211589823060e-01,9.9093211589823060e-01,1.4832770994422492e-01,9.9093211589823060e-01,9.9093211589823060e-01,9.9093211589823060e-01,9.9093211589823060e-01,9.9093211589823060e-01,9.9093211589823060e-01,9.9093211589823060e-01,4.8860399872696880e-01,9.9093211589823060e-01,4.8784052458226236e-04,9.9093211589823060e-01,9.9093211589823060e-01,9.9093211589823060e-01,9.9093211589823060e-01,9.9093211589823060e-01,9.9093211589823060e-01,9.9093211589823060e-01,9.9093211589823060e-01,9.9093211589823060e-01,9.9093211589823060e-01,9.9093211589823060e-01,5.9378568845350255e-01,9.9093211589823060e-01,9.9093211589823060e-01,9.9093211589823060e-01,9.9093211589823060e-01,9.9093211589823060e-01,9.9093211589823060e-01,9.9093211589823060e-01,9.9093211589823060e-01,9.9093211589823060e-01,9.9093211589823060e-01,9.9093211589823060e-01,3.2152845164403787e-01,9.9093211589823060e-01,9.9093211589823060e-01,9.9093211589823060e-01,9.9093211589823060e-01
16,0.7996659841868055,0.799665984186805,0.20033401581319454,0.1,0.03800666263568817,0.32,9.9093366355125712e-01,1.9299163739873625e-04,5.2230260551045883e-02,9.9093366355125712e-01,9.9093366355125712e-01,9.9093366355125712e-01,9.9093366355125712e-01,9.9093366355125712e-01,9.9093366355125712e-01,9.9093366355125712e-01,5.2587099338845880e-03,9.9093366355125712e-01,5.9844959021480049e-01,5.7469468898506515e-01,9.9093366355125712e-01,2.0520107126437346e-04,9.9093366355125712e-01,9.9093366355125712e-01,9.9093366355125712e-01,9.9093366355125712e-01,9.9093366355125712e-01,1.7457831398516749e-01,9.9093366355125712e-01,9.9093366355125712e-01,9.9093366355125712e-01,9.9093366355125712e-01,9.9093366355125712e-01,9.9093366355125712e-01,9.9093366355125712e-01,9.9093366355125712e-01,2.7406452896900279e-04,9.9093366355125712e-01,9.9093366355125712e-01,8.1534910836546914e-01,9.9093366355125712e-01,9.9093366355125712e-01,1.7515222362481125e-01,9.9093366355125712e-01,9.9093366355125712e-01,9.9093366355125712e-01,9.2234875333147703e-01,9.9093366355125712e-01,9.9093366355125712e-01,9.9093366355125712e-01,9.9093366355125712e-01,1.2499426665426683e-05,9.9093366355125712e-01,9.9093366355125712e-01,7.2522877440660148e-06,9.9093366355125712e-01
17,0.8769108988840378,0.87691089888404,0.12308910111596216,0.1,0.03809900250960318,0.18,9.9094219144087092e-01,9.9094219144087092e-01,9.9094219144087092e-01,9.9094219144087092e-01,9.9094219144087092e-01,9.9094219144087092e-01,7.6917653242597382e-08,2.8419554579773281e-02,9.9094219144087092e-01,9.9094219144087092e-01,9.9094219144087092e-01,9.9094219144087092e-01,9.9094219144087092e-01,9.9094219144087092e-01,9.9094219144087092e-01,9.9094219144087092e-01,9.9094219144087092e-01,9.2332310459706812e-01,9.9094219144087092e-01,9.9094219144087092e-01,9.9094219144087092e-01,3.7500761464122234e-01,9.9094219144087092e-01,9.9094219144087092e-01,9.9094219144087092e-01,9.9094219144087092e-01,9.9094219144087092e-01,9.9094219144087092e-01,9.9094219144087092e-01,9.9094219144087092e-01,9.9094219144087092e-01,9.9094219144087092e-01,9.9094219144087092e-01,9.9094219144087092e-01,9.9094219144087092e-01,5.0002433808740199e-01,9.9094219144087092e-01,9.9094219144087092e-01,9.9094219144087092e-01,9.9094219144087092e-01,4.1327906826659176e-03,9.9094219144087092e-01,9.9094219144087092e-01,9.9094219144087092e-01,9.9094219144087092e-01,1.1586479418307820e-03,9.9094219144087092e-01,9.9094219144087092e-01,9.9094219144087092e-01,3.9390677623769405e-01
18,0.7983411374947358,0.7983411374947363,0.2016588625052642,0.1,0.04403354980723022,0.22,9.9094163523430334e-01,5.6757615752338775e-01,9.9094163523430334e-01,9.9094163523430334e-01,9.9094163523430334e-01,9.9094163523430334e-01,9.9094163523430334e-01,9.9094163523430334e-01,9.9094163523430334e-01,3.6471793426502942e-05,1.3276802034343917e-05,9.9094163523430334e-01,9.9094163523430334e-01,9.9094163523430334e-01,9.9094163523430334e-01,1.7739845262792203e-01,9.9094163523430334e-01,3.6832126105075504e-02,9.9094163523430334e-01,9.9094163523430334e-01,9.9094163523430334e-01,2.6831987295155386e-04,4.9911828195564754e-06,9.9094163523430334e-01,9.9094163523430334e-01,9.9094163523430334e-01,9.9094163523430334e-01,4.6889263422429862e-02,9.9094163523430334e-01,9.9094163523430334e-01,5.9723699207746170e-05,9.9094163523430334e-01,9.9094163523430334e-01,9.9094163523430334e-01,9.9094163523430334e-01,9.9094163523430334e-01,9.9094163523430334e-01,9.9094163523430334e-01,9.9094163523430334e-01,9.9094163523430334e-01,5.4755602929529669e-02,9.9094163523430334e-01,9.9094163523430334e-01,9.9094163523430334e-01,9.9094163523430334e-01,9.9094163523430334e-01,3.8649871464017360e-01,9.9094163523430334e-01,9.9094163523430334e-01,9.9094163523430334e-01
19,0.8234164281246436,0.8234164281246447,0.17658357187535645,0.1,0.05512600275990531,0.32,9.9094050891306285e-01,9.9094050891306285e-01,9.9094050891306285e-01,8.0418258362513451e-01,9.9094050891306285e-01,9.9094050891306285e-01,4.8564501465509574e-01,9.9094050891306285e-01,9.9094050891306285e-01,2.8160742493483098e-06,9.9094050891306285e-01,9.0688078300938590e-01,9.9094050891306285e-01,9.9094050891306285e-01,9.9094050891306285e-01,9.9094050891306285e-01,3.5690896419762852e-01,9.9094050891306285e-01,9.9094050891306285e-01,9.9094050891306285e-01,9.9094050891306285e-01,5.7020005424694875e-01,8.1137544321915567e-01,9.9094050891306285e-01,9.9094050891306285e-01,9.9094050891306285e-01,9.9094050891306285e-01,3.8003310964361769e-02,1.4651623342821324e-01,8.3869830115370281e-01,9.9094050891306285e-01,1.8783160425104647e-01,9.9094050891306285e-01,9.9094050891306285e-01,9.9094050891306285e-01,9.9094050891306285e-01,9.9094050891306285e-01,3.4354567701490774e-01,9.9094050891306285e-01,9.9094050891306285e-01,9.9094050891306285e-01,9.9094050891306285e-01,9.9094050891306285e-01,7.1673936520613045e-03,4.9058700236973081e-06,9.9094050891306285e-01,9.9094050891306285e-01,9.9094050891306285e-01,9.9094050891306285e-01,9.9094050891306285e-01
